date,open,high,low,close,volume,return
2013-02-08,11.12,11.135,10.99,11.07,6413866,0.0
2013-02-11,11.06,11.22,11.015,11.2,5735378,0.01174345076784089
2013-02-12,11.23,11.33,11.17,11.31,5020220,0.009821428571428648
2013-02-13,11.31,11.43,11.31,11.34,4476002,0.0026525198938991412
2013-02-14,11.31,11.38,11.21,11.21,4892310,-0.011463844797177991
2013-02-15,11.22,11.24,11.11,11.17,4121581,-0.003568242640499597
2013-02-19,11.17,11.37,11.17,11.37,4547950,0.017905102954342
2013-02-20,11.36,11.42,11.31,11.37,8651025,0.0
2013-02-21,11.35,11.36,11.04,11.06,4101511,-0.027264731750219817
2013-02-22,11.12,11.23,11.08,11.23,3545679,0.015370705244122984
2013-02-25,11.27,11.32,10.89,10.9,7176690,-0.029385574354407806
2013-02-26,10.91,11.01,10.8,10.95,5059220,0.004587155963302614
2013-02-27,11.07,11.795,11.01,11.64,11982211,0.06301369863013706
2013-02-28,11.67,11.79,11.605,11.62,8717028,-0.001718213058419349
2013-03-01,11.56,11.94,11.52,11.93,7874637,0.026678141135972444
2013-03-04,11.92,12.07,11.82,12.02,9997338,0.007544006705783701
2013-03-05,12.04,12.23,12.01,12.18,6466157,0.01331114808652245
2013-03-06,12.28,12.42,12.25,12.36,6689277,0.01477832512315258
2013-03-07,12.35,12.38,12.25,12.32,5021000,-0.003236245954692518
2013-03-08,12.39,12.3925,12.21,12.33,4384102,0.0008116883116882079
2013-03-11,12.3,12.53,12.3,12.51,4884931,0.014598540145985384
2013-03-12,12.48,12.625,12.46,12.55,4151156,0.003197442046362964
2013-03-13,12.52,12.71,12.46,12.64,4768378,0.007171314741035939
2013-03-14,12.63,12.73,12.53,12.57,8852209,-0.005537974683544333
2013-03-15,12.52,12.61,12.38,12.5,8932008,-0.005568814638027053
2013-03-18,12.4,12.53,12.27,12.39,8102782,-0.008799999999999919
2013-03-19,12.46,12.49,12.29,12.45,4869950,0.004842615012106366
2013-03-20,12.5,12.72,12.5,12.68,7321847,0.01847389558232937
2013-03-21,12.63,12.69,12.415,12.42,4838142,-0.02050473186119872
2013-03-22,12.47,12.505,12.37,12.41,5043381,-0.0008051529790660261
2013-03-25,12.49,12.54,12.25,12.3,6163167,-0.008863819500402825
2013-03-26,12.39,12.51,12.34,12.39,5049491,0.007317073170731714
2013-03-27,12.33,12.55,12.26,12.54,4543436,0.012106537530266248
2013-03-28,12.57,12.61,12.47,12.57,4008708,0.0023923444976077235
