date,open,high,low,close,volume,return
2013-02-08,2.58,2.6,2.58,2.59,5971768,0.0
2013-02-11,2.59,2.7,2.59,2.67,22410941,0.030888030888030826
2013-02-12,2.705,2.78,2.69,2.77,13675442,0.03745318352059934
2013-02-13,2.81,2.83,2.73,2.75,11481985,-0.0072202166064981865
2013-02-14,2.74,2.75,2.69,2.75,13283766,0.0
2013-02-15,2.77,2.79,2.7,2.71,10701483,-0.014545454545454528
2013-02-19,2.75,2.82,2.73,2.82,19800627,0.040590405904058935
2013-02-20,2.84,2.84,2.68,2.7,21248537,-0.04255319148936154
2013-02-21,2.69,2.69,2.52,2.6,30775707,-0.03703703703703709
2013-02-22,2.64,2.67,2.55,2.61,20240826,0.0038461538461538325
2013-02-25,2.64,2.65,2.53,2.53,16876652,-0.03065134099616862
2013-02-26,2.54,2.545,2.44,2.46,17515069,-0.02766798418972327
2013-02-27,2.48,2.55,2.45,2.53,10651779,0.028455284552845406
2013-02-28,2.56,2.57,2.48,2.49,11378841,-0.015810276679841695
2013-03-01,2.5,2.51,2.42,2.42,19688305,-0.028112449799196915
2013-03-04,2.44,2.45,2.36,2.4,14569980,-0.008264462809917328
2013-03-05,2.45,2.47,2.4,2.43,13934046,0.012500000000000178
2013-03-06,2.45,2.46,2.4,2.43,10834534,0.0
2013-03-07,2.44,2.57,2.43,2.55,21069551,0.04938271604938249
2013-03-08,2.57,2.6409,2.52,2.56,11330708,0.0039215686274509665
2013-03-11,2.57,2.6038,2.51,2.59,13393248,0.01171875
2013-03-12,2.59,2.63,2.57,2.61,9499486,0.007722007722007707
2013-03-13,2.62,2.63,2.57,2.6,7482024,-0.003831417624520994
2013-03-14,2.62,2.63,2.58,2.63,9201910,0.011538461538461497
2013-03-15,2.6,2.62,2.58,2.6,15805090,-0.011406844106463754
2013-03-18,2.59,2.68,2.55,2.65,12991702,0.019230769230769162
2013-03-19,2.66,2.7,2.62,2.67,19316166,0.007547169811320753
2013-03-20,2.7,2.75,2.69,2.75,13498164,0.029962546816479474
2013-03-21,2.73,2.75,2.63,2.64,17021519,-0.039999999999999925
2013-03-22,2.66,2.67,2.53,2.54,18353247,-0.037878787878787956
2013-03-25,2.57,2.6,2.49,2.51,11252749,-0.011811023622047334
2013-03-26,2.52,2.54,2.5,2.54,6327445,0.01195219123505975
2013-03-27,2.5,2.6182,2.5,2.55,5897548,0.003937007874015741
2013-03-28,2.55,2.57,2.52,2.55,4868149,0.0
2013-04-01,2.54,2.57,2.42,2.44,14442961,-0.04313725490196074
2013-04-02,2.445,2.45,2.38,2.39,11373699,-0.020491803278688492
2013-04-03,2.4,2.41,2.32,2.32,14433813,-0.029288702928870425
2013-04-04,2.34,2.37,2.32,2.33,11177494,0.004310344827586299
2013-04-05,2.3,2.31,2.28,2.29,13724935,-0.01716738197424894
2013-04-08,2.31,2.61,2.26,2.59,44665957,0.13100436681222694
2013-04-09,2.58,2.63,2.44,2.63,33859582,0.015444015444015413
2013-04-10,2.65,2.66,2.57,2.61,20685570,-0.0076045627376425395
2013-04-11,2.55,2.57,2.46,2.52,12901015,-0.03448275862068961
2013-04-12,2.5,2.5,2.43,2.48,10712680,-0.015873015873015928
2013-04-15,2.45,2.465,2.4,2.4,11522233,-0.032258064516129115
2013-04-16,2.43,2.44,2.4,2.44,10953864,0.016666666666666607
2013-04-17,2.41,2.47,2.4,2.4,14815585,-0.016393442622950838
2013-04-18,2.4,2.56,2.2887,2.51,27156231,0.04583333333333339
2013-04-19,2.44,2.5,2.39,2.47,25040150,-0.015936254980079556
2013-04-22,2.47,2.51,2.43,2.46,14131636,-0.004048582995951455
2013-04-23,2.5,2.55,2.47,2.53,14550354,0.028455284552845406
2013-04-24,2.54,2.62,2.5222,2.61,16537782,0.031620553359683834
2013-04-25,2.63,2.72,2.63,2.68,20957069,0.026819923371647514
2013-04-26,2.66,2.68,2.6,2.64,17303811,-0.014925373134328401
2013-04-29,2.66,2.7,2.65,2.68,11207562,0.015151515151515138
2013-04-30,2.68,2.82,2.67,2.82,32634737,0.05223880597014907
2013-05-01,2.81,3.28,2.79,3.22,87978171,0.14184397163120588
2013-05-02,3.16,3.48,3.14,3.41,74152155,0.05900621118012417
2013-05-03,3.47,3.8,3.47,3.6,87232441,0.055718475073313734
2013-05-06,3.72,3.75,3.53,3.61,51355130,0.002777777777777768
2013-05-07,3.65,3.6689999999999996,3.44,3.54,35308690,-0.01939058171745145
2013-05-08,3.54,3.85,3.47,3.83,56990167,0.08192090395480234
2013-05-09,3.91,3.99,3.83,3.86,47162748,0.007832898172323688
2013-05-10,3.79,3.97,3.79,3.95,30568682,0.023316062176165886
2013-05-13,3.95,4.22,3.94,4.17,54844269,0.05569620253164542
2013-05-14,4.31,4.32,4.18,4.26,53216673,0.021582733812949506
2013-05-15,4.29,4.42,4.26,4.38,39001790,0.028169014084507005
2013-05-16,3.9,3.94,3.66,3.83,80170941,-0.12557077625570767
2013-05-17,3.93,4.095,3.9,4.07,33913307,0.06266318537859017
2013-05-20,4.18,4.2,4.07,4.1,35426188,0.007371007371007154
2013-05-21,4.15,4.2,3.95,4.02,36538269,-0.019512195121951237
2013-05-22,4.08,4.1,3.91,3.96,28730930,-0.01492537313432829
2013-05-23,3.81,4.05,3.79,4.01,33132585,0.012626262626262541
2013-05-24,4.03,4.06,3.97,4.05,20618023,0.009975062344139696
2013-05-28,4.13,4.15,4.02,4.05,19583458,0.0
2013-05-29,4.01,4.05,3.96,3.98,16274206,-0.01728395061728394
2013-05-30,4.0,4.06,3.99,4.04,15112740,0.015075376884422065
2013-05-31,4.07,4.11,3.99,4.0,17656307,-0.00990099009900991
2013-06-03,4.02,4.03,3.81,3.96,23924829,-0.010000000000000009
2013-06-04,3.95,4.04,3.94,4.01,19589204,0.012626262626262541
2013-06-05,4.01,4.03,3.89,3.91,15404512,-0.024937655860349017
2013-06-06,3.87,3.94,3.81,3.94,20824777,0.007672634271099765
2013-06-07,3.98,3.99,3.875,3.91,12020714,-0.0076142131979695105
2013-06-10,3.95,4.08,3.92,4.06,32331263,0.038363171355498604
2013-06-11,4.0,4.11,3.96,3.96,20169748,-0.024630541871921152
2013-06-12,4.0,4.03,3.9,3.9,14595453,-0.015151515151515138
2013-06-13,3.9,3.96,3.87,3.95,14191747,0.012820512820512997
2013-06-14,3.98,4.04,3.91,3.94,14365373,-0.0025316455696202667
2013-06-17,4.12,4.14,4.015,4.05,31946265,0.027918781725888353
2013-06-18,4.1,4.11,4.05,4.09,22809923,0.009876543209876631
2013-06-19,4.15,4.18,4.04,4.07,24142854,-0.004889975550122161
2013-06-20,4.02,4.03,3.86,3.87,26595035,-0.04914004914004921
2013-06-21,3.97,4.04,3.9,4.0,32687651,0.03359173126614978
2013-06-24,4.07,4.09,3.99,4.05,29059395,0.012499999999999956
2013-06-25,4.11,4.15,4.06,4.15,26649162,0.024691358024691468
2013-06-26,4.2,4.21,4.1207,4.14,19796509,-0.002409638554217053
2013-06-27,4.19,4.19,4.06,4.08,17396616,-0.01449275362318836
2013-06-28,4.08,4.12,4.02,4.08,13310896,0.0
2013-07-01,4.11,4.13,4.07,4.1,10681446,0.004901960784313708
2013-07-02,4.09,4.12,3.95,3.97,17714401,-0.03170731707317065
2013-07-03,4.0,4.07,3.955,4.06,11320780,0.022670025188916698
2013-07-05,4.08,4.1,4.03,4.07,8965372,0.0024630541871923928
2013-07-08,4.08,4.085,3.98,4.0,16896414,-0.017199017199017286
2013-07-09,4.02,4.08,4.01,4.05,9550819,0.012499999999999956
2013-07-10,4.06,4.06,3.96,3.98,19120119,-0.01728395061728394
