date,open,high,low,close,volume,return
2013-02-08,13.2,13.943,12.9,13.41,56017540,0.0
2013-02-11,13.21,13.85,13.19,13.57,26677475,0.011931394481730084
2013-02-12,13.55,13.66,13.44,13.51,14440678,-0.004421518054532059
2013-02-13,13.51,13.74,13.395,13.73,18115351,0.016284233900814238
2013-02-14,13.66,14.07,13.64,14.0,26297456,0.01966496722505462
2013-02-15,14.0599,14.52,14.0,14.37,13936895,0.026428571428571468
2013-02-19,14.38,14.65,13.98,14.63,15248518,0.018093249826026447
2013-02-20,14.56,14.62,14.2,14.24,13828477,-0.02665755297334249
2013-02-21,14.2399,14.4,14.14,14.28,10724233,0.002808988764044784
2013-02-22,14.31,14.56,14.23,14.51,8591652,0.016106442577030755
2013-02-25,14.5,14.7,14.32,14.33,7976315,-0.012405237767057153
2013-02-26,14.32,14.41,14.08,14.18,11966735,-0.010467550593161179
2013-02-27,14.21,14.4,14.03,14.26,11665378,0.005641748942172065
2013-02-28,14.27,14.54,14.25,14.295,7461309,0.0024544179523142695
2013-03-01,14.26,14.375,14.04,14.35,4564863,0.0038474991255683655
2013-03-04,14.3,14.48,14.22,14.365,3956515,0.001045296167247356
2013-03-05,14.45,14.58,14.38,14.57,4901484,0.014270797076227026
2013-03-06,14.6,14.82,14.55,14.65,8825921,0.005490734385724005
2013-03-07,14.64,15.01,14.59,14.97,11065128,0.021843003412969297
2013-03-08,14.95,14.95,14.67,14.84,4701241,-0.00868403473613899
2013-03-11,14.78,14.8501,14.69,14.82,5364111,-0.0013477088948786742
2013-03-12,14.8,14.88,14.69,14.86,5648445,0.0026990553306343035
2013-03-13,14.91,15.05,14.81,14.979000000000001,6654984,0.00800807537012127
2013-03-14,15.0799,15.0799,14.86,15.03,4185123,0.003404766673342552
2013-03-15,15.0,15.02,14.57,14.65,12516822,-0.02528276779773775
2013-03-18,14.36,14.54,14.2,14.37,7492259,-0.019112627986348163
2013-03-19,14.37,14.4125,13.97,14.01,10076054,-0.025052192066805756
2013-03-20,14.19,14.3,14.03,14.219000000000001,9771638,0.01491791577444701
2013-03-21,14.17,14.3,14.06,14.06,8257542,-0.011182220971938994
2013-03-22,14.14,14.42,14.07,14.34,8123155,0.019914651493598834
2013-03-25,14.3201,14.43,14.16,14.35,3784313,0.0006973500697349255
2013-03-26,14.36,14.51,14.23,14.46,3214233,0.0076655052264809065
2013-03-27,14.36,14.53,14.21,14.48,5114005,0.0013831258644536604
2013-03-28,14.41,14.58,14.3,14.57,3323833,0.006215469613259694
2013-04-01,14.53,14.61,14.35,14.44,2651220,-0.008922443376801703
2013-04-02,14.64,14.8,14.44,14.73,5013370,0.020083102493074767
2013-04-03,14.71,14.8,14.46,14.53,4101467,-0.01357773251866945
2013-04-04,14.48,14.58,14.27,14.52,3422455,-0.0006882312456985007
2013-04-05,14.31,14.455,14.14,14.43,3453807,-0.006198347107438051
2013-04-08,14.43,14.68,14.39,14.66,3719378,0.015939015939016032
2013-04-09,14.67,14.79,14.49,14.67,4696944,0.0006821282401090478
2013-04-10,14.66,15.0,14.63,14.88,4660284,0.014314928425357865
2013-04-11,14.93,14.93,14.64,14.695,6068562,-0.012432795698924748
2013-04-12,14.77,14.79,14.59,14.66,3825881,-0.0023817625042531487
2013-04-15,14.64,14.65,14.27,14.28,6302106,-0.02592087312414737
2013-04-16,14.34,14.51,14.32,14.43,8874110,0.010504201680672232
