date,open,high,low,close,volume,return
2013-02-08,32.595,32.695,32.405,32.54,542314,0.0
2013-02-11,32.56,32.665,32.005,32.05,701892,-0.015058389674247108
2013-02-12,32.125,32.345,32.025,32.1,552566,0.0015600624024962872
2013-02-13,32.16,32.25,31.95,32.055,674542,-0.0014018691588785215
2013-02-14,32.095,32.5,31.92,32.165,1125182,0.0034316019341755766
2013-02-15,32.285,32.855,32.19,32.62,2687682,0.014145810663764857
2013-02-19,32.665,33.25,32.605,33.24,1151124,0.019006744328632807
2013-02-20,33.225,33.45,33.02,33.055,805700,-0.005565583634175808
2013-02-21,33.06,33.16,32.81,32.925,576986,-0.003932839207381744
2013-02-22,32.965,33.435,32.93,33.435,466722,0.015489749430524169
2013-02-25,33.51,33.5425,32.9,32.9,786192,-0.016001196351129177
2013-02-26,32.98,33.2,32.7,32.825,543368,-0.0022796352583585033
2013-02-27,32.785,32.94,32.64,32.79,858930,-0.0010662604722011526
2013-02-28,32.89,33.06,32.75,32.81,911024,0.0006099420555047974
2013-03-01,32.8,33.0,32.64,32.8,1210866,-0.00030478512648601797
2013-03-04,32.83,33.605,32.8201,33.605,772376,0.02454268292682915
2013-03-05,33.76,34.18,33.631,34.015,718936,0.01220056539205494
2013-03-06,34.055,34.165,33.625,33.94,640378,-0.0022049095987065614
2013-03-07,34.0,34.09,33.57,33.69,688188,-0.007365939893930418
2013-03-08,33.845,33.85,33.57,33.74,472350,0.0014841199168893482
2013-03-11,33.705,34.115,33.661,34.095,543262,0.010521636040308202
2013-03-12,34.18,34.18,33.995,34.085,453922,-0.00029329813755674117
2013-03-13,34.095,34.285,33.9455,34.24,357146,0.004547454892181335
2013-03-14,34.26,34.44,34.145,34.415,526996,0.005110981308411144
2013-03-15,34.315,34.5138,34.12,34.425,1013254,0.00029057097195983594
2013-03-18,34.07,34.295,33.91,34.02,572304,-0.011764705882352788
2013-03-19,34.13,34.47,34.085,34.345,436696,0.009553203997648252
2013-03-20,34.52,34.5725,34.34,34.47,336762,0.003639539962148719
2013-03-21,34.355,34.5,34.075,34.105,403314,-0.010588917899622907
2013-03-22,34.29,34.635,34.2675,34.47,489742,0.010702243072863382
2013-03-25,34.58,34.91,34.47,34.615,517694,0.00420655642587775
2013-03-26,34.8,35.175,34.65,35.17,382906,0.016033511483460883
2013-03-27,34.96,35.095,34.73,35.095,342400,-0.0021324992891670336
2013-03-28,35.135,35.73,34.985,35.7,847166,0.017238922923493494
2013-04-01,35.675,35.675,35.28,35.525,620552,-0.004901960784313819
2013-04-02,35.7,35.9749,35.5851,35.93,532048,0.011400422237860752
2013-04-03,35.995,35.995,35.11,35.17,532838,-0.0211522404675758
2013-04-04,35.29,35.38,34.91,35.035,611492,-0.0038384987205005716
2013-04-05,34.93,34.93,34.56,34.715,556670,-0.009133723419437523
