date,open,high,low,close,volume,return
2013-02-08,27.8,28.0,27.755,27.9,6185855,0.0
2013-02-11,27.83,27.94,27.6,27.93,4296644,0.0010752688172044333
2013-02-12,27.76,28.0,27.65,27.9,5801687,-0.0010741138560688146
2013-02-13,27.96,28.45,27.93,28.17,7495006,0.00967741935483879
2013-02-14,28.1,28.2108,28.03,28.1,4819320,-0.002484913028043989
2013-02-15,28.16,28.36,27.8,27.99,5957227,-0.003914590747331026
2013-02-19,28.1,28.255,27.96,28.24,5143728,0.008931761343336841
2013-02-20,28.2,28.2556,27.82,27.86,4998870,-0.013456090651558061
2013-02-21,27.84,27.86,27.2,27.32,4828252,-0.01938262742282837
2013-02-22,27.58,27.66,27.415,27.63,4117222,0.011346998535871178
2013-02-25,27.8,27.88,26.82,26.82,5875738,-0.02931596091205202
2013-02-26,26.98,27.12,26.67,27.07,5813117,0.00932140193885167
2013-02-27,27.03,27.46,26.9001,27.4,4790832,0.012190616919098618
2013-02-28,27.4,27.5,27.12,27.14,7027014,-0.0094890510948904
2013-03-01,26.99,27.35,26.74,27.2,5713141,0.002210759027265974
2013-03-04,27.16,27.59,27.09,27.58,3704435,0.013970588235294068
2013-03-05,27.82,28.01,27.74,27.84,4400990,0.009427121102248082
2013-03-06,28.03,28.2,27.73,27.75,6377933,-0.003232758620689613
2013-03-07,27.82,28.08,27.77,28.01,5108774,0.009369369369369496
2013-03-08,28.22,28.65,28.18,28.52,5928058,0.018207782934666072
2013-03-11,28.4,28.71,28.18,28.63,3581124,0.0038569424964935983
2013-03-12,28.56,28.715,28.49,28.61,3926080,-0.0006985679357317531
2013-03-13,28.63,28.97,28.57,28.87,4211904,0.009087731562390733
2013-03-14,28.92,29.125,28.82,28.99,4715355,0.004156563907169897
2013-03-15,28.86,29.07,28.52,28.85,11056531,-0.004829251466022644
2013-03-18,28.29,28.48,28.27,28.36,6457571,-0.016984402079722738
2013-03-19,28.47,28.62,28.07,28.21,5373757,-0.005289139633286255
2013-03-20,28.4,28.63,28.15,28.26,5981560,0.0017724211272598378
2013-03-21,28.1,28.225,27.81,27.85,3528263,-0.014508138711960328
2013-03-22,27.96,28.38,27.94,28.27,4357612,0.015080789946140039
2013-03-25,28.32,28.48,28.08,28.19,4117873,-0.0028298549699327102
2013-03-26,28.3,28.48,28.205,28.31,3729007,0.004256828662646317
2013-03-27,28.12,28.12,27.77,27.9,5716304,-0.014482515012363084
2013-03-28,27.92,28.07,27.76,27.99,4985229,0.003225806451612856
2013-04-01,27.91,28.23,27.693,27.87,4327933,-0.004287245444801635
2013-04-02,27.93,28.14,27.9,28.12,3906690,0.008970218873340485
2013-04-03,28.19,28.19,27.38,27.43,6493536,-0.024537695590327258
2013-04-04,27.49,27.745,27.39,27.47,6988879,0.0014582573824279965
2013-04-05,27.02,27.41,26.85,27.36,4524657,-0.004004368401892999
2013-04-08,27.33,27.53,27.15,27.5,3902524,0.005116959064327409
2013-04-09,27.58,27.88,27.45,27.71,3789183,0.007636363636363663
