date,open,high,low,close,volume,return
2013-02-08,39.11,39.18,38.83,39.01,4102221,0.0
2013-02-11,38.79,38.88,38.56,38.72,4202308,-0.007433991284286012
2013-02-12,38.93,39.18,38.835,39.02,3119081,0.00774793388429762
2013-02-13,38.64,38.75,36.97,37.46,7954961,-0.03997949769349052
2013-02-14,37.03,37.51,36.8,37.35,9914589,-0.002936465563267432
2013-02-15,37.2,37.5,36.84,36.92,5937564,-0.011512717536813932
2013-02-19,36.65,36.78,36.01,36.51,9797059,-0.011105092091007629
2013-02-20,36.31,36.4,35.43,35.43,7425760,-0.02958093672966311
2013-02-21,35.18,35.55,34.88,35.36,6358582,-0.0019757267852102967
2013-02-22,35.39,35.47,34.82,34.99,6276101,-0.010463800904977338
2013-02-25,34.96,35.2,34.43,34.43,6945205,-0.01600457273506728
2013-02-26,34.74,34.89,34.37,34.63,4834553,0.005808887598025114
2013-02-27,34.89,35.57,34.89,35.55,5285805,0.026566560785445947
2013-02-28,35.62,36.15,35.56,35.77,5297204,0.0061884669479608245
2013-03-01,35.59,36.09,35.43,35.85,3680961,0.002236511042773115
2013-03-04,35.86,36.2,35.72,36.14,3523502,0.008089260808926024
2013-03-05,36.3,36.56,36.1,36.2,4224201,0.0016602102933038765
2013-03-06,36.25,36.4,36.08,36.14,2860281,-0.0016574585635359407
2013-03-07,36.07,36.47,36.0601,36.24,2769930,0.0027670171555063128
2013-03-08,36.2,36.39,35.52,35.67,5663099,-0.01572847682119205
2013-03-11,35.48,35.93,35.37,35.64,4648216,-0.000841042893187538
2013-03-12,35.59,35.64,35.26,35.34,3239703,-0.008417508417508324
2013-03-13,35.21,35.77,35.06,35.71,3691448,0.010469722693831285
2013-03-14,35.25,36.155,35.01,35.73,12683939,0.000560067208064785
2013-03-15,34.04,35.26,33.54,34.95,18675536,-0.02183039462636427
2013-03-18,33.95,34.5,33.76,33.92,9384797,-0.029470672389127373
2013-03-19,33.75,33.8301,33.1,33.21,8909154,-0.02093160377358494
2013-03-20,33.55,33.78,33.4,33.64,4088542,0.012947907256850355
2013-03-21,33.18,33.88,33.08,33.63,6554377,-0.0002972651605230858
2013-03-22,33.46,34.16,33.46,34.04,7011836,0.0121914956883733
2013-03-25,34.0,34.19,33.35,33.64,6083345,-0.011750881316098694
2013-03-26,33.49,33.9,33.34,33.77,4123818,0.003864447086801448
2013-03-27,33.41,33.7,33.33,33.63,4008951,-0.004145691442108412
2013-03-28,33.895,34.4,33.85,34.3,5273344,0.019922688076122297
2013-04-01,34.35,34.4,33.85,33.96,2974822,-0.0099125364431486
2013-04-02,34.1,34.39,33.95,34.22,2978561,0.007656065959952718
2013-04-03,33.98,34.21,33.11,33.63,9063548,-0.01724137931034475
2013-04-04,33.05,33.21,32.66,33.1,9166479,-0.015759738328873008
2013-04-05,32.68,33.63,32.65,33.55,5232915,0.013595166163141936
2013-04-08,33.43,33.74,33.36,33.74,2934721,0.005663189269746738
2013-04-09,33.83,33.95,33.61,33.93,2993176,0.005631298162418474
2013-04-10,34.02,34.23,33.92,34.08,2862861,0.004420866489831976
2013-04-11,34.13,34.22,34.02,34.12,3372192,0.0011737089201877549
2013-04-12,33.9,34.16,33.8,34.13,2675208,0.0002930832356391466
2013-04-15,33.88,34.0001,33.17,33.17,4156578,-0.028127746850278412
2013-04-16,33.67,33.69,33.28,33.31,4691500,0.004220681338559018
2013-04-17,33.45,33.46,32.95,33.23,5344274,-0.0024016811768239332
2013-04-18,33.83,33.88,33.2,33.27,5184306,0.0012037315678605776
2013-04-19,33.58,33.69,33.25,33.39,4469030,0.0036068530207393756
2013-04-22,33.37,33.5,32.93,33.16,4836291,-0.006888289907157952
2013-04-23,33.4,33.65,33.26,33.53,4892277,0.011158021712907251
2013-04-24,33.69,33.92,33.25,33.32,4002284,-0.006263048016701522
2013-04-25,34.25,34.867,34.07,34.61,6263936,0.038715486194477844
2013-04-26,34.77,34.8,34.271,34.46,4317827,-0.004334007512279636
2013-04-29,34.54,34.96,34.32,34.82,3193285,0.010446894950667529
