date,open,high,low,close,volume,return
2013-02-08,13.96,14.16,13.9,14.16,1716539,0.0
2013-02-11,14.1799,14.27,14.09,14.22,3221848,0.004237288135593209
2013-02-12,14.18,14.5,14.16,14.36,3306773,0.009845288326300938
2013-02-13,14.35,14.4,14.14,14.25,2253042,-0.007660167130919215
2013-02-14,14.21,14.33,14.17,14.2,1382265,-0.0035087719298245723
2013-02-15,14.23,14.31,14.17,14.27,2511649,0.004929577464788837
2013-02-19,14.23,14.32,14.14,14.25,2447680,-0.0014015416958653715
2013-02-20,14.19,14.23,14.02,14.13,2683840,-0.008421052631578885
2013-02-21,14.14,14.44,14.13,14.23,4932538,0.007077140835102691
2013-02-22,14.27,14.42,14.23,14.36,1574366,0.009135628952916308
2013-02-25,14.42,14.54,14.18,14.19,2041541,-0.011838440111420656
2013-02-26,14.19,14.23,13.92,14.01,4283917,-0.012684989429175508
2013-02-27,13.99,14.34,13.95,14.2,3954419,0.013561741613133504
2013-02-28,14.2,14.23,14.1,14.16,3911462,-0.0028169014084505895
2013-03-01,14.04,14.07,13.61,13.94,6134015,-0.015536723163841804
2013-03-04,13.92,14.31,13.89,14.31,3797175,0.026542324246771942
2013-03-05,14.39,14.66,14.36,14.64,4441630,0.023060796645702375
2013-03-06,14.65,14.81,14.64,14.7,2875351,0.004098360655737654
2013-03-07,14.67,14.7,14.53,14.56,6813296,-0.00952380952380949
2013-03-08,14.67,14.67,14.32,14.48,4162726,-0.005494505494505475
2013-03-11,14.48,14.62,14.34,14.58,3096476,0.006906077348066253
2013-03-12,14.09,14.24,13.86,14.05,8682274,-0.036351165980795574
2013-03-13,14.04,14.14,13.955,14.1,2938286,0.003558718861209842
2013-03-14,14.1,14.2,14.02,14.095,2532685,-0.00035460992907798694
2013-03-15,14.09,14.11,13.85,13.92,2534200,-0.012415750266051795
2013-03-18,13.69,13.84,12.57,13.6,4805999,-0.02298850574712641
2013-03-19,13.61,13.625,13.23,13.37,5422599,-0.016911764705882404
2013-03-20,13.47,13.56,13.32,13.39,2530240,0.0014958863126404154
2013-03-21,13.29,13.41,13.22,13.360999999999999,2147300,-0.00216579536967898
2013-03-22,13.36,13.46,13.15,13.32,2613230,-0.0030686325873811038
2013-03-25,13.39,13.715,13.24,13.64,6089964,0.02402402402402415
2013-03-26,13.68,13.75,13.55,13.74,2823687,0.007331378299120228
2013-03-27,13.68,13.91,13.63,13.81,2797670,0.005094614264919972
2013-03-28,13.84,13.93,13.78,13.93,1554335,0.008689355539464039
2013-04-01,13.96,13.96,13.59,13.62,2413467,-0.022254127781766053
2013-04-02,13.66,13.8,13.54,13.56,1150282,-0.004405286343612258
2013-04-03,13.56,13.6,13.222000000000001,13.24,2534552,-0.02359882005899705
2013-04-04,13.27,13.47,13.18,13.42,1861718,0.013595166163141936
2013-04-05,13.27,13.3,13.115,13.27,2381332,-0.011177347242921076
2013-04-08,13.26,13.32,13.17,13.31,1367835,0.0030143180105501877
2013-04-09,13.3,13.38,13.1887,13.32,1687039,0.0007513148009015147
2013-04-10,13.31,13.53,13.31,13.509,1286080,0.01418918918918921
2013-04-11,13.47,13.5,13.3,13.33,2093335,-0.013250425642164498
2013-04-12,13.33,13.4,13.2,13.36,1236504,0.0022505626406601476
2013-04-15,13.33,13.33,13.01,13.1,5996579,-0.019461077844311392
2013-04-16,13.18,13.21,12.96,12.98,3743443,-0.009160305343511421
2013-04-17,12.96,12.96,12.59,12.66,4015336,-0.024653312788906034
2013-04-18,12.7,12.7,12.51,12.54,2056019,-0.009478672985782088
2013-04-19,12.58,12.59,12.36,12.4,1498958,-0.011164274322168932
2013-04-22,12.43,12.6,12.33,12.56,1779091,0.012903225806451646
2013-04-23,12.6,12.74,12.52,12.67,1219215,0.00875796178343946
2013-04-24,12.65,12.76,12.53,12.72,3418725,0.003946329913180779
2013-04-25,12.86,13.82,12.85,13.72,11329088,0.07861635220125796
2013-04-26,13.75,13.86,13.6,13.65,2838941,-0.005102040816326592
2013-04-29,13.73,13.89,13.569,13.84,2344147,0.01391941391941387
2013-04-30,13.8,13.91,13.67,13.8,2241153,-0.0028901734104045396
2013-05-01,13.82,14.01,13.71,13.72,2224688,-0.005797101449275366
2013-05-02,13.71,13.88,13.7,13.82,1381486,0.007288629737609353
2013-05-03,13.92,14.025,13.89,13.89,1168574,0.005065123010130179
2013-05-06,13.86,13.91,13.73,13.84,2335899,-0.003599712023038215
