date,open,high,low,close,volume,return
2013-02-08,80.5,81.67,80.02,80.89,410858,0.0
2013-02-11,80.56,80.56,79.18,79.31,365140,-0.019532698726665854
2013-02-12,79.55,80.01,79.24,80.0,444225,0.008700037826251394
2013-02-13,80.87,80.91,79.675,80.03,769538,0.0003750000000000142
2013-02-14,79.95,80.13,79.12,79.48,439128,-0.006872422841434411
2013-02-15,79.47,79.67,79.22,79.54,680439,0.0007549068948162763
2013-02-19,79.82,79.98,79.07,79.39,411383,-0.0018858436007040957
2013-02-20,79.49,79.74,77.93,77.99,567489,-0.01763446277868752
2013-02-21,78.0,78.05,76.19,77.03,1125346,-0.012309270419284424
2013-02-22,79.31,86.32,76.25,85.02,4161098,0.10372582110865891
2013-02-25,83.89,85.56,82.92,83.3,1602615,-0.02023053399200192
2013-02-26,83.99,86.98,83.33,86.74,2008745,0.04129651860744299
2013-02-27,87.4,89.14,85.85,87.13,1342924,0.004496195526861868
2013-02-28,86.94,87.25,84.21,86.39,1619131,-0.008493056352576578
2013-03-01,85.77,86.92,85.77,86.49,1022746,0.0011575413821043323
2013-03-04,85.91,87.01,85.74,86.99,456575,0.005781015146259616
2013-03-05,86.96,87.67,86.67,87.61,859647,0.007127256006437488
2013-03-06,88.14,90.9,88.01,89.98,2069589,0.027051706426207023
2013-03-07,90.6,90.6,89.49,89.8,785968,-0.002000444543231894
2013-03-08,90.0,90.34,86.76,89.06,2929876,-0.008240534521158027
2013-03-11,89.14,89.49,88.69,88.95,732233,-0.0012351223894003782
2013-03-12,89.44,89.64,88.9,89.5,1509072,0.006183249016301184
2013-03-13,90.83,90.95,89.41,89.88,1206771,0.004245810055865773
2013-03-14,89.88,90.19,87.925,90.11,638740,0.002558967512238608
2013-03-15,90.32,90.73,89.12,90.09200000000001,1342613,-0.0001997558539561517
2013-03-18,88.93,99.93,88.7,98.04,5333771,0.08822092971628992
2013-03-19,99.65,100.65,97.88,100.38,4223332,0.0238678090575275
2013-03-20,101.0,106.29,100.75,105.77,2545673,0.05369595536959548
2013-03-21,104.28,104.9,101.48,102.36,2077232,-0.03223976552897789
2013-03-22,102.6,103.29,102.0,103.28,2966544,0.008987885892926872
2013-03-25,103.5,103.9,102.06,102.44,1376262,-0.008133230054221618
2013-03-26,102.9,103.2,102.32,102.99,903483,0.005368996485747735
2013-03-27,102.62,105.55,102.62,104.29,807206,0.012622584716962981
2013-03-28,104.43,105.068,103.84,104.18,585947,-0.001054751174609292
2013-04-01,104.65,105.29,102.96,103.78,391162,-0.0038395085429066
2013-04-02,104.47,105.53,103.78,103.8,527816,0.00019271535941411955
2013-04-03,103.91,104.14,101.07,102.28,1098761,-0.014643545279383385
