date,open,high,low,close,volume,return
2013-02-08,20.85,20.91,20.75,20.91,2245976,0.0
2013-02-11,20.91,20.97,20.8,20.92,3130021,0.0004782400765184214
2013-02-12,20.88,21.06,20.83,21.05,3336860,0.006214149139579295
2013-02-13,20.87,21.01,20.66,20.78,3449257,-0.01282660332541563
2013-02-14,20.76,20.86,20.39,20.43,6193957,-0.01684311838306074
2013-02-15,20.43,20.57,20.32,20.41,6050495,-0.0009789525208027117
2013-02-19,20.5,20.8,20.43,20.51,5022602,0.00489955903968653
2013-02-20,20.48,20.83,20.48,20.7,3801480,0.009263773768893202
2013-02-21,20.64,20.785,20.54,20.67,2942679,-0.0014492753623187582
2013-02-22,20.71,20.92,20.68,20.9,3329429,0.011127237542331692
2013-02-25,20.94,21.17,20.52,20.52,3592201,-0.018181818181818188
2013-02-26,20.63,20.9,20.5,20.7,4635619,0.00877192982456143
2013-02-27,20.75,21.53,20.75,21.23,9133934,0.025603864734299542
2013-02-28,21.28,21.52,21.16,21.43,4968167,0.009420631182289085
2013-03-01,21.48,21.56,21.27,21.53,3290166,0.004666355576294912
2013-03-04,21.48,21.67,21.43,21.65,2023444,0.005573618207152631
2013-03-05,21.71,21.95,21.68,21.86,3459916,0.009699769053117757
2013-03-06,21.89,21.9,21.61,21.71,2226932,-0.006861848124428138
2013-03-07,21.7,21.78,21.6,21.63,2092422,-0.0036849378166744495
2013-03-08,21.72,21.87,21.63,21.82,2884381,0.00878409616273701
2013-03-11,21.8,21.92,21.76,21.85,1452873,0.001374885426214556
2013-03-12,21.88,21.94,21.74,21.77,1791921,-0.0036613272311213363
2013-03-13,21.82,21.88,21.74,21.87,1769231,0.0045934772622875375
2013-03-14,21.86,21.9,21.74,21.84,2410269,-0.001371742112482921
2013-03-15,23.84,24.01,22.83,23.41,24508061,0.07188644688644685
2013-03-18,23.04,23.515,22.96,23.11,7814263,-0.012815036309269612
2013-03-19,23.21,23.27,22.84,22.97,3201265,-0.0060579835569017915
2013-03-20,23.04,23.22,22.99,23.12,2797217,0.006530256856769778
2013-03-21,23.0,23.47,22.95,23.44,5155902,0.01384083044982698
2013-03-22,23.4,23.65,23.36,23.43,3449932,-0.0004266211604095904
2013-03-25,23.5,23.65,23.2,23.41,3283362,-0.0008536064874092864
2013-03-26,23.55,23.76,23.49,23.75,2972058,0.014523707817172049
2013-03-27,23.6,23.8,23.56,23.67,2390498,-0.003368421052631465
2013-03-28,23.71,24.05,23.64,23.96,3164205,0.01225179552175737
2013-04-01,23.89,23.9875,23.7,23.8,2003776,-0.006677796327211993
2013-04-02,23.86,24.08,23.84,23.96,2891492,0.006722689075630228
2013-04-03,23.98,24.04,23.66,23.73,2647065,-0.009599332220367351
2013-04-04,23.78,24.02,23.75,23.94,3438460,0.008849557522123908
2013-04-05,23.64,23.93,23.522,23.87,3279977,-0.0029239766081871066
2013-04-08,23.85,24.08,23.82,24.07,2957716,0.008378718056137435
2013-04-09,24.15,24.2,23.92,23.94,4060477,-0.00540091400083087
2013-04-10,24.0,24.15,23.96,24.1,2946329,0.006683375104427736
2013-04-11,24.18,24.26,24.105,24.23,1973781,0.0053941908713692754
2013-04-12,24.18,24.24,24.02,24.02,2731706,-0.008666941807676465
2013-04-15,24.0,24.0399,23.51,23.51,3853246,-0.021232306411323787
2013-04-16,23.67,23.86,23.54,23.85,3585441,0.014461931093151748
2013-04-17,23.74,23.84,23.42,23.57,3483155,-0.011740041928721245
2013-04-18,23.58,23.88,23.56,23.74,2735979,0.007212558336868735
2013-04-19,23.84,24.16,23.75,24.14,1775546,0.016849199663016012
2013-04-22,24.11,24.19,23.86,24.02,1719601,-0.004971002485501308
2013-04-23,24.11,24.2,23.91,24.19,1753279,0.007077435470441262
2013-04-24,24.28,24.34,24.12,24.19,1915664,0.0
2013-04-25,24.34,24.44,24.22,24.32,1680358,0.005374121537825571
2013-04-26,24.3,24.43,24.25,24.26,1515257,-0.002467105263157854
2013-04-29,24.36,24.7,24.26,24.52,2232345,0.010717230008243872
2013-04-30,24.56,24.69,24.37,24.68,2904290,0.006525285481239873
2013-05-01,24.68,24.73,24.27,24.34,3022956,-0.013776337115072979
2013-05-02,24.1,24.4,23.93,24.14,3703476,-0.008216926869350827
2013-05-03,24.17,24.59,23.96,24.34,5146599,0.008285004142501995
2013-05-06,24.3,24.32,24.12,24.18,3518738,-0.006573541495480728
2013-05-07,24.25,24.42,24.19,24.38,3904679,0.008271298593879317
2013-05-08,24.33,24.47,24.12,24.22,1995550,-0.00656275635767023
2013-05-09,23.9701,24.295,23.95,24.09,3433787,-0.005367464905037145
2013-05-10,24.1,24.23,24.03,24.21,2137448,0.00498132004981322
2013-05-13,24.1,24.19,24.0,24.08,3067048,-0.005369681949607741
2013-05-14,23.83,24.3001,23.76,24.13,3972300,0.0020764119601328623
2013-05-15,24.1,24.53,24.06,24.41,2756282,0.011603812681309611
2013-05-16,24.33,24.41,24.07,24.1,2381430,-0.012699713232281806
2013-05-17,24.16,24.37,24.075,24.3,2542982,0.008298755186721962
2013-05-20,24.21,24.39,24.15,24.27,2061749,-0.0012345679012346622
2013-05-21,24.29,24.52,24.19,24.37,1703403,0.004120313143799015
2013-05-22,24.34,24.48,23.68,23.74,2619770,-0.025851456709068632
2013-05-23,23.57,23.94,23.45,23.86,3266039,0.005054759898904804
2013-05-24,23.65,23.785,23.44,23.56,2005580,-0.012573344509639539
2013-05-28,23.63,23.87,23.31,23.43,2122277,-0.005517826825127248
2013-05-29,23.26,23.34,22.81,23.04,2357995,-0.016645326504481472
2013-05-30,23.14,23.6,23.06,23.2,2396167,0.00694444444444442
2013-05-31,23.15,23.72,23.09,23.18,4219517,-0.0008620689655172153
2013-06-03,23.19,23.42,22.97,23.2,3310829,0.0008628127696290733
