date,open,high,low,close,volume,return
2013-02-08,93.74,97.87,93.63,96.15,1521147,0.0
2013-02-11,96.13,96.62,95.08,96.52,638630,0.0038481539261570052
2013-02-12,96.53,96.97,95.615,96.16,857633,-0.003729796933278018
2013-02-13,96.07,96.15,93.82,93.96,1413661,-0.022878535773710462
2013-02-14,94.13,96.94,93.65,96.45,1373550,0.026500638569604273
2013-02-15,96.07,96.55,94.95,96.44,1225489,-0.00010368066355626038
2013-02-19,96.72,97.85,96.66,97.79,654167,0.013998340937370513
2013-02-20,97.84,97.98,94.47,94.67,1082843,-0.03190510277124459
2013-02-21,95.54,95.54,90.56,92.85,1358901,-0.01922467518749349
2013-02-22,93.55,96.4,93.55,94.75,1442080,0.020463112547119078
2013-02-25,95.24,95.41,90.11,90.21,1364327,-0.047915567282321936
2013-02-26,90.79,91.25,87.05,89.07,1684041,-0.01263717991353508
2013-02-27,89.23,90.758,88.81,89.5,989781,0.004827663635343038
2013-02-28,89.74,90.63,89.1,89.96,1182193,0.005139664804469257
2013-03-01,89.12,89.24,87.715,88.39,1304471,-0.01745220097821243
2013-03-04,88.13,89.275,87.17,88.22,1235714,-0.001923294490327021
2013-03-05,89.09,89.6,88.26,88.89,922884,0.007594649739288251
2013-03-06,89.22,89.3625,87.71,87.93,793584,-0.010799865001687392
2013-03-07,88.63,91.385,88.29,90.92,1035514,0.03400432161946987
2013-03-08,91.25,92.82,90.16,92.5,791984,0.017377914650241966
2013-03-11,91.96,92.29,90.55,91.36,667127,-0.012324324324324287
2013-03-12,91.73,91.99,90.8,91.48,791084,0.0013134851138354442
2013-03-13,91.34,95.39,91.01,94.09,1519866,0.02853082641014426
2013-03-14,94.18,97.0,94.15,96.82,1226111,0.02901477308959488
2013-03-15,96.7,97.95,95.9,96.19,1111357,-0.0065069200578392605
2013-03-18,94.99,97.27,94.535,96.38,1061297,0.0019752573032538745
2013-03-19,96.39,96.475,92.53,93.01,722114,-0.03496576053123046
2013-03-20,94.02,95.64,93.86,94.7,883042,0.018170089237716347
2013-03-21,94.23,94.99,93.33,93.45,585958,-0.013199577613516422
2013-03-22,94.11,95.07,93.55,94.93,1155030,0.015837346174424782
2013-03-25,95.46,97.47,95.1,97.16,1336399,0.023490993363531
2013-03-26,97.75,98.84,97.02,98.69,1407482,0.015747221078633133
2013-03-27,97.74,99.39,97.28,98.36,1358908,-0.003343803830175296
2013-03-28,98.18,98.87,97.29,97.43,659939,-0.00945506303375343
2013-04-01,97.49,97.62,95.76,97.35,514006,-0.0008211023298779763
2013-04-02,97.51,97.51,93.4101,94.02,970526,-0.034206471494607094
2013-04-03,94.01,94.25,90.72,91.07,827400,-0.031376302914273624
2013-04-04,91.01,91.17,88.76,89.68,834411,-0.015262984517404043
2013-04-05,88.42,89.87,87.82,89.23,993472,-0.0050178412132024786
2013-04-08,89.04,91.91,89.02,91.85,852511,0.029362322088983372
2013-04-09,91.83,92.59,91.25,92.14,708162,0.0031573217201961157
2013-04-10,92.72,93.11,90.97,91.01,718661,-0.012263946168873385
2013-04-11,91.18,91.98,90.01,90.11,592133,-0.009889023184265544
2013-04-12,88.75,88.95,85.735,86.5,1754706,-0.04006214626567528
2013-04-15,85.34,85.39,80.19,80.5,1688230,-0.06936416184971095
2013-04-16,81.95,83.9,80.835,83.48,1607142,0.037018633540372825
2013-04-17,82.1,82.1,78.58,81.16,2215724,-0.027791087685673288
2013-04-18,81.24,82.92,79.45,82.39,1362696,0.015155248891079331
2013-04-19,82.3,82.74,80.11,82.7,1405620,0.003762592547639221
2013-04-22,82.84,85.535,82.02,85.21,1320554,0.030350665054413417
2013-04-23,85.07,85.348,83.58,84.39,1216401,-0.00962328365215337
2013-04-24,84.46,87.42,84.46,86.72,930810,0.02760990638701255
2013-04-25,87.28,87.8,86.15,86.44,1034524,-0.0032287822878228623
2013-04-26,86.3,86.34,84.05,85.08,927148,-0.015733456732993978
2013-04-29,85.55,86.79,84.95,86.16,988756,0.012693935119887145
2013-04-30,86.49,87.05,85.1,86.13,725476,-0.00034818941504177747
2013-05-01,84.88,84.95,80.01,83.74,973021,-0.02774875188668291
2013-05-02,82.55,82.55,78.74,80.14,3883673,-0.042990207786004264
2013-05-03,81.34,83.7799,80.54,83.29,2139834,0.0393062141252809
2013-05-06,83.51,84.1575,82.21,82.57,1321888,-0.008644495137471675
2013-05-07,83.25,84.75,82.65,83.47,1932435,0.01089984255782972
2013-05-08,83.63,85.93,83.39,84.33,1103238,0.010303102911225492
2013-05-09,84.31,84.54,82.54,82.81,1198659,-0.018024427842997737
2013-05-10,81.76,82.005,80.29,81.48,1646870,-0.01606086221470837
2013-05-13,81.86,82.25,80.81,81.45,1222400,-0.0003681885125184081
2013-05-14,82.05,83.76,82.05,82.51,1095254,0.013014119091467213
2013-05-15,81.7,82.28,80.51,81.04,1143252,-0.017816022300327194
2013-05-16,80.77,81.56,80.14,81.0,2049201,-0.000493583415597354
2013-05-17,81.42,83.33,81.42,83.2,1158330,0.02716049382716057
2013-05-20,83.1,84.94,83.0,84.16,1765808,0.011538461538461497
2013-05-21,83.58,84.73,82.69,82.7,1466368,-0.017347908745247054
