date,open,high,low,close,volume,return
2013-02-08,39.91,40.35,39.69,39.88,5288271,0.0
2013-02-11,39.78,40.29,39.675,40.03,3729944,0.0037612838515546088
2013-02-12,39.99,40.17,39.46,39.48,5217488,-0.013739695228578652
2013-02-13,39.46,39.675,39.11,39.22,3942399,-0.006585612968591614
2013-02-14,39.05,39.57,38.9,39.52,3935053,0.007649158592554883
2013-02-15,39.63,39.82,38.965,39.15,3924106,-0.009362348178137747
2013-02-19,39.22,39.59,39.2,39.53,4758772,0.009706257982120103
2013-02-20,39.42,39.57,38.89,38.93,3690825,-0.015178345560333928
2013-02-21,38.78,38.79,38.04,38.33,6533864,-0.015412278448497352
2013-02-22,38.57,38.96,38.45,38.89,2968999,0.014609966084007331
2013-02-25,39.05,39.2,37.91,37.94,4482690,-0.024427873489328955
2013-02-26,38.08,38.17,37.24,37.8,6108232,-0.0036900369003690647
2013-02-27,37.81,38.55,37.6,38.4,4724857,0.015873015873015817
2013-02-28,38.34,38.82,38.23,38.53,6007020,0.0033854166666666963
2013-03-01,38.32,39.1599,37.89,39.08,5413648,0.014274591227614764
2013-03-04,38.93,39.78,38.89,39.76,3637121,0.017400204708290623
2013-03-05,40.15,40.815,40.11,40.58,4997968,0.020623742454728422
2013-03-06,41.12,41.63,41.115,41.29,6186904,0.017496303597831497
2013-03-07,41.43,41.64,41.25,41.57,4349815,0.006781302978929649
2013-03-08,41.77,41.8,40.77,41.37,3817471,-0.004811161895597826
2013-03-11,41.29,42.16,41.29,41.84,4911539,0.011360889533478469
2013-03-12,41.76,42.5,41.71,42.13,6051154,0.00693116634799229
2013-03-13,42.76,43.52,42.4701,43.06,6230156,0.022074531212912474
2013-03-14,43.31,43.33,42.75,42.85,6024308,-0.0048769159312587185
2013-03-15,43.5,44.23,43.15,44.14,9863088,0.030105017502917164
2013-03-18,43.75,44.43,43.57,44.24,5555881,0.002265518803806099
2013-03-19,44.92,45.0,43.53,44.24,8234298,0.0
2013-03-20,44.45,45.0,44.35,44.96,5212802,0.016274864376130127
2013-03-21,44.66,44.98,44.35,44.46,5712500,-0.011120996441281172
2013-03-22,44.52,45.125,44.5,45.0,3760393,0.012145748987854255
