date,open,high,low,close,volume,return
2013-02-08,58.64,58.75,58.15,58.5,977273,0.0
2013-02-11,58.59,58.73,57.92,57.93,827475,-0.009743589743589798
2013-02-12,57.86,57.91,56.73,56.88,1640669,-0.018125323666493998
2013-02-13,56.89,57.3,56.68,56.97,1037180,0.0015822784810126667
2013-02-14,56.78,56.95,56.47,56.53,1743369,-0.007723363173600117
2013-02-15,56.64,57.41,56.53,57.32,1156911,0.013974880594374683
2013-02-19,57.25,57.85,57.13,57.54,960872,0.0038381018841591175
2013-02-20,57.49,57.61,56.83,56.84,1152080,-0.012165450121654375
2013-02-21,56.76,56.84,56.0,56.13,991832,-0.012491203377902882
2013-02-22,56.38,56.52,55.69,55.75,1222134,-0.006769998218421613
2013-02-25,56.16,56.6,55.64,55.64,1956849,-0.0019730941704035887
2013-02-26,55.92,56.03,55.16,55.8,993053,0.0028756290438531895
2013-02-27,55.71,56.335,55.71,56.17,898002,0.006630824372759969
2013-02-28,56.25,56.66,56.16,56.17,969173,0.0
2013-03-01,55.99,56.29,55.5,56.13,914909,-0.0007121239095602139
2013-03-04,55.99,56.2,55.74,55.99,1934044,-0.0024942098699447524
2013-03-05,56.15,56.72,55.97,56.41,1051436,0.007501339524915052
2013-03-06,56.4,56.96,56.31,56.34,917267,-0.0012409147314305091
2013-03-07,56.26,56.46,55.33,55.42,1364647,-0.016329428470003626
2013-03-08,55.53,56.025,55.395,55.94,1216762,0.00938289426199912
2013-03-11,55.92,56.52,55.776,56.25,1168539,0.005541651769753297
2013-03-12,56.28,56.84,55.961999999999996,56.2,1826522,-0.000888888888888828
2013-03-13,56.27,56.36,55.82,55.99,903857,-0.003736654804270434
2013-03-14,56.13,56.73,55.85,56.5,1381490,0.00910876942311134
2013-03-15,56.34,56.62,56.06,56.22,1025573,-0.004955752212389419
2013-03-18,55.9,56.02,55.48,55.52,965754,-0.01245108502312342
2013-03-19,55.71,56.62,55.69,56.25,1677176,0.013148414985590717
2013-03-20,56.5,56.85,56.25,56.51,2509461,0.004622222222222083
2013-03-21,56.31,56.63,56.0,56.3,745934,-0.003716156432489792
2013-03-22,56.33,56.6005,56.25,56.56,751361,0.004618117229129748
2013-03-25,56.71,57.03,56.18,56.4,889832,-0.0028288543140029265
2013-03-26,56.65,57.5,56.522,57.25,959709,0.01507092198581561
2013-03-27,56.8,56.84,56.35,56.4,1143495,-0.014847161572052459
2013-03-28,56.18,56.65,55.8,56.461000000000006,1933888,0.001081560283687999
2013-04-01,56.42,56.4925,56.01,56.32,695725,-0.0024972990205629486
2013-04-02,56.68,57.58,56.64,56.8,1224106,0.008522727272727293
2013-04-03,57.0,57.51,56.725,56.83,1315500,0.0005281690140845896
2013-04-04,57.0,57.92,56.91,57.68,914247,0.014956888967094795
2013-04-05,57.33,57.33,56.62,57.01,1159542,-0.011615811373092977
2013-04-08,56.89,57.03,56.52,57.03,585123,0.00035081564637784446
2013-04-09,56.98,57.03,56.5,56.65,899814,-0.006663159740487479
2013-04-10,56.64,57.36,56.41,57.3,954341,0.011473962930273585
