date,open,high,low,close,volume,return
2013-02-08,59.5,60.5,59.19,60.42,3503978,0.0
2013-02-11,60.27,60.42,59.31,59.7,2674716,-0.011916583912611745
2013-02-12,59.8,59.99,59.06,59.53,2572923,-0.0028475711892798072
2013-02-13,60.33,61.75,60.25,61.48,8369238,0.03275659331429526
2013-02-14,61.12,61.8,60.4,60.66,5414750,-0.013337670787247902
2013-02-15,60.9,60.9,58.73,59.25,5358023,-0.023244312561819913
2013-02-19,59.47,60.61,59.25,60.57,5944812,0.02227848101265817
2013-02-20,60.62,60.62,55.76,56.57,9360242,-0.06603929337956083
2013-02-21,56.35,56.42,54.88,54.88,6534504,-0.02987449178009538
2013-02-22,55.3,55.49,54.3501,54.98,4545319,0.0018221574344021718
2013-02-25,55.47,55.73,53.98,54.0,4826320,-0.017824663514005024
2013-02-26,54.34,54.42,52.685,53.73,5166497,-0.0050000000000000044
2013-02-27,53.57,54.45,53.55,54.14,3139306,0.0076307463242137885
2013-02-28,54.09,54.56,53.855,54.26,4214730,0.0022164758034723953
2013-03-01,53.87,54.06,53.57,53.88,2720161,-0.0070033173608550214
2013-03-04,53.69,53.79,53.18,53.53,3394606,-0.006495916852264361
2013-03-05,53.91,54.46,53.65,54.08,3159226,0.010274612366897085
2013-03-06,54.25,54.67,53.86,54.32,2834315,0.004437869822485174
2013-03-07,54.31,55.87,54.3,55.79,3987017,0.027061855670102997
2013-03-08,56.0,56.31,55.78,56.24,2687797,0.008065961641871455
2013-03-11,56.02,56.17,55.25,55.96,2598183,-0.004978662873399764
2013-03-12,56.08,56.5,55.675,55.86,3097609,-0.0017869907076483171
2013-03-13,55.31,56.48,55.31,55.69,3625473,-0.0030433225921947527
2013-03-14,55.76,57.79,55.7,57.68,4119415,0.03573352486981518
2013-03-15,57.5,58.53,57.36,58.06,4884296,0.006588072122052813
2013-03-18,57.62,58.48,57.35,57.97,3181022,-0.0015501205649328664
2013-03-19,57.93,58.12,56.82,57.26,3817646,-0.012247714335000826
2013-03-20,57.7,58.0,56.7,57.11,2894471,-0.002619629758993991
2013-03-21,56.79,57.7,56.65,56.91,2929479,-0.003502013657853298
2013-03-22,57.21,57.6,56.95,57.31,2472887,0.007028641714988737
2013-03-25,57.65,58.15,56.84,57.02,2427012,-0.005060198918164338
2013-03-26,57.23,57.45,56.8101,57.21,2273594,0.003332164152928696
2013-03-27,56.94,57.34,56.75,57.14,1745274,-0.0012235623142807794
2013-03-28,57.14,57.3,56.34,56.42,3734221,-0.01260063003150158
2013-04-01,56.19,56.27,55.03,55.52,3464630,-0.01595179014533854
2013-04-02,55.69,55.7,54.7,54.95,3133635,-0.01026657060518732
2013-04-03,54.95,55.05,53.62,53.85,2914455,-0.020018198362147466
2013-04-04,53.81,54.16,53.11,53.39,3221592,-0.008542246982358392
2013-04-05,52.97,54.5,52.79,54.0,3446759,0.011425360554411013
2013-04-08,54.06,54.72,53.79,54.44,2486447,0.008148148148148016
2013-04-09,54.49,55.59,54.2,55.23,2264329,0.014511388684790516
2013-04-10,55.52,56.08,55.16,55.8,2566982,0.010320478001086375
2013-04-11,55.95,56.69,55.46,56.54,2921677,0.013261648745519716
2013-04-12,56.25,56.505,54.92,55.05,5754904,-0.026353024407499204
2013-04-15,54.33,54.49,53.08,53.1,5543910,-0.03542234332425065
