date,open,high,low,close,volume,return
2013-02-08,65.07,66.695,65.07,66.64,3602500,0.0
2013-02-11,66.645,66.8425,66.06,66.67,3396172,0.0004501800720289051
2013-02-12,66.75,67.345,66.4,67.05,3462338,0.0056997150142492625
2013-02-13,67.05,67.2,66.35,66.8,3147304,-0.0037285607755406236
2013-02-14,69.035,69.1,66.54,66.665,5911818,-0.0020209580838321806
2013-02-15,66.63,67.0,63.89,64.595,6349340,-0.031050776269406888
2013-02-19,65.28,65.79,65.02,65.7,3935220,0.017106587197151635
2013-02-20,65.715,65.87,63.66,63.695,4943582,-0.03051750380517504
2013-02-21,63.245,63.53,61.775,62.02,5828468,-0.026297197582227705
2013-02-22,62.5,62.92,61.845,62.67,4546082,0.010480490164463063
2013-02-25,62.835,63.48,60.825,60.885,5190652,-0.028482527525131696
2013-02-26,61.185,61.925,60.38,61.75,3928572,0.01420711176808731
2013-02-27,61.555,63.565,61.385,63.46,4719778,0.027692307692307683
2013-02-28,63.22,63.98,62.8,62.855,4327516,-0.009533564450047383
2013-03-01,62.32,62.675,61.115,61.5,5726840,-0.021557553098401017
2013-03-04,61.39,61.44,60.5,60.895,3752444,-0.009837398373983675
2013-03-05,61.54,62.525,61.21,62.35,3914080,0.02389358732244018
2013-03-06,62.59,62.975,62.16,62.8,4088744,0.007217321571772128
2013-03-07,62.875,64.1155,62.685,63.78,2442506,0.015605095541401326
2013-03-08,64.095,64.46,63.745,64.34,2449376,0.008780181875196025
2013-03-11,64.165,64.685,63.7055,64.33,2083968,-0.00015542430836190668
2013-03-12,64.75,65.2,64.56,65.04,2585508,0.011036841287113353
2013-03-13,65.0,65.5885,64.745,64.94,2634902,-0.0015375153751538972
2013-03-14,65.245,66.005,65.135,65.915,2847736,0.015013858946720138
2013-03-15,65.735,66.42,65.205,65.21,4977548,-0.01069559280892074
2013-03-18,64.455,65.21,64.16,64.465,2773752,-0.011424628124520608
2013-03-19,64.55,64.76,63.355,63.635,2508450,-0.012875203598852192
2013-03-20,64.18,64.399,63.085,63.12,3784720,-0.008093030564940706
2013-03-21,62.635,63.425,61.925,61.95,4027588,-0.01853612167300367
2013-03-22,62.22,62.535,61.81,62.49,2767542,0.008716707021791725
2013-03-25,62.885,63.4,61.515,61.96,3086834,-0.008481357017122715
2013-03-26,62.24,64.695,62.185,64.45,4867882,0.04018721755971599
2013-03-27,63.945,64.335,63.095,64.1,3677384,-0.005430566330488884
2013-03-28,64.085,64.575,63.715,64.035,3040394,-0.0010140405616224646
2013-04-01,64.035,64.415,63.315,64.255,2257386,0.0034356211446864293
2013-04-02,64.4,65.025,64.0175,64.525,3105046,0.004202007625865756
2013-04-03,64.525,64.71,62.875,63.05,3338488,-0.022859356838434874
2013-04-04,63.035,63.035,61.315,61.43,4745632,-0.025693893735130757
2013-04-05,60.5,62.435,60.38,62.375,4257046,0.015383363177600584
