date,open,high,low,close,volume,return
2013-02-08,61.99,62.02,61.34,61.83,1294838,0.0
2013-02-11,61.76,61.76,60.79,61.37,653485,-0.0074397541646450405
2013-02-12,61.48,61.6,60.62,60.68,1095670,-0.011243278474824758
2013-02-13,60.72,61.1299,60.45,60.71,920229,0.0004943968358601669
2013-02-14,60.61,61.105,60.38,60.5,1363521,-0.0034590676988963676
2013-02-15,60.47,60.49,59.04,59.37,1121243,-0.018677685950413303
2013-02-19,59.58,60.72,59.58,60.72,912032,0.022738756947953576
2013-02-20,60.85,60.85,59.19,59.28,916948,-0.02371541501976282
2013-02-21,59.27,59.55,58.32,59.17,911869,-0.001855600539811042
2013-02-22,59.47,60.57,59.25,60.56,1130454,0.023491634274125373
2013-02-25,60.87,61.28,58.87,58.87,1271119,-0.027906208718626258
2013-02-26,59.13,59.73,57.86,59.69,1397320,0.013928996093086399
2013-02-27,59.53,61.8,59.48,61.61,1649573,0.03216619199195847
2013-02-28,61.53,63.39,61.26,63.09,1792470,0.0240220743385815
2013-03-01,62.63,63.95,62.38,63.92,1986947,0.013155809161515375
2013-03-04,63.78,64.1,62.05,62.68,2356688,-0.01939924906132673
2013-03-05,63.12,63.59,63.03,63.1,1601968,0.006700701978302526
2013-03-06,63.4,63.77,62.94,63.35,1368393,0.003961965134706924
2013-03-07,63.46,66.17,63.28,65.71,2106160,0.037253354380426096
2013-03-08,65.82,65.85,64.54,65.26,1381746,-0.006848272713437686
2013-03-11,65.15,65.36,64.26,65.14,3146799,-0.0018387986515476795
2013-03-12,65.25,65.48,64.65,65.41,1049964,0.0041449186367823465
2013-03-13,65.39,65.9,64.99,65.35,1694271,-0.0009172909341079727
2013-03-14,65.45,67.92,65.37,67.82,2310470,0.03779648048967088
2013-03-15,67.51,68.33,66.25,66.7,2325773,-0.016514302565614702
2013-03-18,65.92,67.09,65.89,66.49,1029999,-0.0031484257871066124
2013-03-19,66.69,67.29,65.75,67.09,2054421,0.009023913370431735
2013-03-20,67.48,67.6,66.37,67.2,1088078,0.0016395886123117265
2013-03-21,66.87,67.53,66.39,66.7,1074437,-0.007440476190476164
2013-03-22,67.02,67.3,66.69,66.89,1151259,0.0028485757121439192
2013-03-25,67.0,68.44,66.92,67.11,1269396,0.0032889819105994533
2013-03-26,67.39,68.23,67.02,68.18,988192,0.015943972582327604
2013-03-27,67.74,68.35,67.04,68.12,991842,-0.0008800234672925455
2013-03-28,68.12,68.41,67.65,67.75,1112696,-0.00543159130945392
2013-04-01,67.94,68.27,66.51,67.69,837538,-0.0008856088560885711
2013-04-02,67.92,68.21,66.95,67.27,983615,-0.006204756980351611
2013-04-03,67.13,67.2,64.95,65.33,1534837,-0.028839006986769666
2013-04-04,65.69,66.15,65.15,65.67,989613,0.005204347160569389
2013-04-05,64.99,67.82,64.99,67.44,1452476,0.026952946550936385
2013-04-08,67.28,69.27,66.88,69.26,2029977,0.026986951364175615
2013-04-09,69.23,70.07,68.4,69.4,1539096,0.0020213687554144766
2013-04-10,69.72,70.04,69.22,69.93,1647408,0.007636887608069243
2013-04-11,70.09,70.47,69.41,69.53,852179,-0.00572000572000575
2013-04-12,69.01,69.21,67.73,68.91,1228026,-0.008917014238458254
2013-04-15,68.58,68.68,65.56,65.59,2051664,-0.048178783921056345
2013-04-16,66.4,67.0,65.75,66.83,1235892,0.01890532093306896
2013-04-17,66.39,66.62,64.71,66.08,1840545,-0.011222504863085403
2013-04-18,66.33,67.75,65.58,66.95,1634547,0.013165859564164828
2013-04-19,67.15,67.2302,66.3275,66.66,1924766,-0.004331590739357849
2013-04-22,66.83,67.12,65.93,66.84,1122081,0.0027002700270029045
2013-04-23,67.1,67.83,66.52,67.79,1690446,0.014213046080191472
2013-04-24,68.13,69.31,67.82,68.58,1840697,0.011653636229532305
2013-04-25,71.25,75.59,71.25,73.96,3894079,0.0784485272674249
2013-04-26,73.95,74.5,73.46,73.85,1505161,-0.0014872904272579257
2013-04-29,74.41,76.91,74.41,75.75,1642286,0.025727826675693954
2013-04-30,75.69,75.85,74.65,75.12,1643376,-0.008316831683168213
2013-05-01,74.79,76.02,74.1201,75.83,2096429,0.009451544195953065
2013-05-02,76.0,76.4,73.62,74.4,1948936,-0.018857971778979188
2013-05-03,76.05,76.6,74.73,75.13,2029246,0.009811827956989205
2013-05-06,75.01,76.51,75.0,75.65,1292872,0.006921336350326213
2013-05-07,75.93,76.45,74.96,75.77,1938472,0.00158625247851929
2013-05-08,75.79,75.98,74.84,75.4,2293568,-0.0048831991553384135
2013-05-09,75.77,76.34,74.94,76.18,1518436,0.010344827586206806
2013-05-10,75.71,75.9,74.9,75.81,942731,-0.004856917826201124
2013-05-13,75.65,76.11,74.56,74.9,1059030,-0.012003693444136654
2013-05-14,75.16,76.59,74.93,76.53,1015098,0.021762349799733016
2013-05-15,76.12,78.39,75.88,77.36,1533527,0.010845420096694092
2013-05-16,76.97,77.88,76.25,76.56,1345069,-0.010341261633919352
2013-05-17,76.63,79.14,76.63,79.04,1459363,0.03239289446186011
2013-05-20,79.21,81.57,79.19,81.43,2384684,0.03023785425101222
2013-05-21,81.33,82.1325,80.78,81.0,2115646,-0.005280609112120915
2013-05-22,80.76,81.58,79.245,79.9,1716506,-0.013580246913580174
2013-05-23,79.3,80.44,78.19,79.86,1109077,-0.0005006257822278704
2013-05-24,79.38,80.78,78.89,80.58,1142950,0.009015777610818843
2013-05-28,81.54,82.22,80.51,80.83,1001083,0.00310250682551505
2013-05-29,80.36,81.12,80.18,80.59,977339,-0.0029691946059631213
2013-05-30,80.68,81.81,80.24,81.4,1078758,0.010050874798362086
2013-05-31,81.85,83.33,79.87,79.88,2359326,-0.018673218673218805
2013-06-03,79.99,81.26,79.3,79.77,1349935,-0.0013770655983975644
2013-06-04,79.63,80.43,78.35,79.17,1045118,-0.0075216246709288725
2013-06-05,78.93,79.36,77.44,77.5,1519776,-0.021093848680055594
2013-06-06,77.87,79.3,76.93,78.37,1773763,0.011225806451612863
2013-06-07,78.8,81.42,78.57,81.42,1204946,0.03891795329845604
2013-06-10,82.51,82.63,81.0,81.82,1045845,0.004912797838368954
2013-06-11,80.89,81.14,79.86,80.4,883096,-0.01735516988511354
2013-06-12,81.12,81.12,78.93,78.98,1053668,-0.017661691542288582
2013-06-13,78.63,80.12,78.55,80.03,980039,0.013294504937958918
2013-06-14,80.1,80.33,79.2,79.69,717146,-0.004248406847432218
2013-06-17,80.04,81.76,79.22,81.69,1069305,0.025097251850922264
