date,open,high,low,close,volume,return
2013-02-08,151.07,152.28,150.69,151.86,238385,0.0
2013-02-11,151.83,152.54,151.71,151.86,285700,0.0
2013-02-12,152.07,152.88,151.616,152.65,375918,0.005202159884103663
2013-02-13,153.29,153.29,152.21,152.85,201597,0.0013101867016049873
2013-02-14,152.6,153.53,152.06,152.49,120016,-0.002355250245338447
2013-02-15,152.5,152.56,151.555,151.69,260043,-0.005246245655452841
2013-02-19,152.28,153.66,151.63,153.65,314103,0.012921089063221203
2013-02-20,153.61,154.32,152.4,152.41,194954,-0.008070289619264592
2013-02-21,152.53,153.11,150.94,151.26,275230,-0.007545436651138382
2013-02-22,151.46,152.12,150.82,151.48,235108,0.0014544492926087393
2013-02-25,151.47,151.895,149.44,149.44,216189,-0.013467124372854467
2013-02-26,150.14,150.61,148.8201,149.85,275578,0.0027435760171306
2013-02-27,149.73,150.59,149.1201,149.74,152579,-0.0007340674007340064
2013-02-28,149.72,150.18,148.99,148.99,382421,-0.005008681714972596
2013-03-01,148.5,149.49,147.06,149.24,459577,0.0016779649640914496
2013-03-04,148.89,149.37,147.14,148.52,293092,-0.00482444384883407
2013-03-05,148.82,150.8,147.97,150.8,295953,0.015351467815782449
2013-03-06,151.08,151.08,149.13,150.79,164397,-6.63129973476062e-05
2013-03-07,150.8,151.362,149.11,149.62,232888,-0.007759135221168445
2013-03-08,150.2,150.5999,147.865,150.05,223301,0.002873947333244198
2013-03-11,150.04,150.18,148.97,149.89,146290,-0.0010663112295903332
2013-03-12,149.72,150.43,148.72,149.64,152944,-0.0016678897858429798
2013-03-13,149.88,150.78,148.87,149.98,196176,0.002272119754076485
2013-03-14,149.69,151.67,149.65,151.12,174630,0.007601013468462536
2013-03-15,151.22,152.67,150.746,152.59,507055,0.009727368978295292
2013-03-18,151.77,152.38,150.5,151.81,346686,-0.005111737335343092
2013-03-19,151.83,152.94,151.23,152.05,300479,0.0015809235228245733
2013-03-20,152.42,152.42,150.68,151.54,184678,-0.0033541598158501884
2013-03-21,150.97,152.09,150.0,150.29,176383,-0.008248647221855587
2013-03-22,150.79,151.19,149.44,149.97,244384,-0.0021292168474282835
2013-03-25,150.21,150.25,148.93,149.49,338660,-0.003200640128025567
2013-03-26,149.0,150.82,148.5,150.29,223516,0.005351528530336269
2013-03-27,150.02,150.97,149.8,150.85,225422,0.0037261294829995517
2013-03-28,150.74,151.12,149.24,150.58,352783,-0.001789857474312151
2013-04-01,150.5,151.75,149.67,151.5,298799,0.006109709124717755
2013-04-02,152.21,152.68,151.48,152.38,190424,0.005808580858085888
2013-04-03,152.88,152.88,151.11,151.9,229250,-0.0031500196876229625
2013-04-04,152.15,155.93,151.54,155.73,436274,0.02521395655036196
2013-04-05,154.61,157.22,154.5,156.62,211529,0.005715019585179615
2013-04-08,156.54,157.81,156.15,157.39,235339,0.004916358064104065
2013-04-09,156.0,157.02,152.64,155.8,771596,-0.010102293665416928
2013-04-10,155.83,156.62,155.25,155.47,324386,-0.002118100128369771
2013-04-11,155.47,157.4,155.14,156.72,233271,0.008040136360712768
2013-04-12,156.36,158.17,155.98,158.14,242645,0.009060745278202997
2013-04-15,157.26,157.78,154.56,155.01,271480,-0.019792588845326864
2013-04-16,155.67,157.12,154.3,156.91,231460,0.012257273724275874
2013-04-17,154.25,154.94,152.23,154.05,263268,-0.0182270091135045
2013-04-18,153.81,154.73,153.26,154.01,142142,-0.00025965595585863976
2013-04-19,154.33,155.33,153.59,155.21,111123,0.007791701837543075
2013-04-22,155.21,155.21,153.65,154.0,185610,-0.007795889440113446
2013-04-23,154.54,154.54,152.76,153.87,159357,-0.0008441558441558694
2013-04-24,154.11,154.89,152.52,152.99,186827,-0.005719113537401621
2013-04-25,153.21,153.76,151.59,152.55,281705,-0.0028760049676449517
2013-04-26,152.66,153.55,152.13,152.74,307649,0.0012454932808914077
2013-04-29,153.37,155.14,152.685,155.02,290193,0.01492732748461445
2013-04-30,154.8,157.26,154.11,157.05,399147,0.013095084505225119
2013-05-01,156.13,157.82,155.55,156.0,353215,-0.006685768863419317
2013-05-02,152.5,155.87,151.895,154.8,573086,-0.007692307692307665
2013-05-03,155.75,155.93,154.12,154.77,309452,-0.00019379844961242565
2013-05-06,154.81,155.535,154.14,154.9,201772,0.0008399560638365777
2013-05-07,154.79,157.87,154.79,157.75,167322,0.018398967075532457
2013-05-08,157.12,158.77,156.898,158.72,219775,0.006148969889064881
2013-05-09,159.0,159.76,157.93,159.1,301845,0.0023941532258064946
2013-05-10,158.96,162.33,158.83,161.98,260344,0.01810182275298544
2013-05-13,161.98,163.86,161.52,163.86,259532,0.011606371156933193
2013-05-14,163.69,164.76,163.4,164.76,347782,0.005492493592090586
2013-05-15,164.63,165.79,164.07,165.79,230199,0.006251517358582204
2013-05-16,165.77,167.54,165.77,166.68,208525,0.005368236926232006
2013-05-17,167.26,168.33,166.14,168.25,167142,0.009419246460283137
2013-05-20,167.84,169.16,167.24,168.98,167458,0.004338781575037087
2013-05-21,169.0,170.82,169.0,170.47,236581,0.00881761155166294
2013-05-22,170.47,171.11,166.6,167.72,348308,-0.016131870710388907
2013-05-23,166.61,166.61,164.18,164.31,563636,-0.02033150488910085
2013-05-24,164.08,164.13,162.395,163.9,418713,-0.002495283305946061
2013-05-28,165.53,165.65,161.8,163.54,394164,-0.002196461256864013
2013-05-29,162.05,162.55,158.51,161.13,435342,-0.014736455912926494
2013-05-30,159.66,161.38,158.24,158.33,491204,-0.017377273009371197
2013-05-31,157.86,159.83,157.02,157.14,413059,-0.007515947704162307
2013-06-03,157.07,160.775,156.5,157.95,495386,0.005154639175257714
2013-06-04,158.28,158.58,155.82,155.94,362360,-0.012725546058879322
2013-06-05,155.81,156.59,153.43,154.45,269414,-0.009554957034757061
2013-06-06,154.05,156.17,152.52,156.17,266296,0.011136290061508625
2013-06-07,156.26,156.49,153.68,155.95,219612,-0.0014087212652877934
2013-06-10,156.13,157.68,154.74,156.0,298738,0.0003206155819173162
2013-06-11,155.51,156.14,153.88,154.04,271824,-0.012564102564102564
2013-06-12,154.16,154.16,152.08,152.7,126750,-0.008699039210594672
2013-06-13,152.67,157.63,152.5,157.09,158806,0.028749181401440893
2013-06-14,156.85,158.958,155.57,156.7,125494,-0.002482653256095313
2013-06-17,157.83,158.33,154.34,155.44,124664,-0.008040842373962964
2013-06-18,155.93,157.045,154.96,155.62,162612,0.0011580030880082859
2013-06-19,155.86,156.52,151.55,152.41,317240,-0.020627168744377422
2013-06-20,150.99,151.355,147.56,148.43,266332,-0.026113772062200558
2013-06-21,149.15,153.75,149.14,152.6,305431,0.02809405106784335
2013-06-24,150.76,157.18,149.37,153.51,286526,0.00596330275229362
2013-06-25,154.16,157.27,152.99,156.5,221947,0.01947755846524668
2013-06-26,156.38,157.58,155.305,156.34,238384,-0.001022364217252325
2013-06-27,156.79,160.14,156.79,160.1,182781,0.024050147115261655
2013-06-28,159.89,161.475,158.7,158.92,585354,-0.007370393504059991
2013-07-01,159.74,161.3,158.32,159.15,162757,0.0014472690661968546
2013-07-02,159.15,161.75,158.49,160.72,208929,0.009864907320138228
