date,open,high,low,close,volume,return
2013-02-08,40.06,40.28,39.85,40.28,536440,0.0
2013-02-11,40.35,40.74,40.35,40.41,463389,0.003227408142998822
2013-02-12,40.48,40.61,40.32,40.35,508025,-0.0014847809948030921
2013-02-13,40.49,40.66,39.87,40.06,756691,-0.0071871127633209575
2013-02-14,40.04,40.04,39.53,39.54,1268707,-0.01298052920619075
2013-02-15,39.16,39.325,37.9501,38.7,2269237,-0.021244309559939167
2013-02-19,38.57,38.82,38.06,38.5,1404244,-0.0051679586563307955
2013-02-20,38.49,38.8399,38.37,38.4,945088,-0.0025974025974025983
2013-02-21,38.27,38.31,37.56,37.82,1358666,-0.015104166666666585
2013-02-22,37.8,38.28,37.4,38.12,833771,0.007932310946588972
2013-02-25,38.4,38.49,37.14,37.19,1092086,-0.024396642182581307
2013-02-26,37.18,37.31,36.5,37.29,1996413,0.0026888948642107557
2013-02-27,37.28,37.58,37.14,37.53,544381,0.006436041834271933
2013-02-28,37.56,37.77,37.41,37.44,1291965,-0.0023980815347722784
2013-03-01,37.39,37.62,36.89,37.52,1054982,0.002136752136752351
2013-03-04,37.54,38.51,37.53,38.44,860361,0.024520255863539342
2013-03-05,38.55,39.46,38.48,39.46,996152,0.026534859521331944
2013-03-06,39.59,39.599000000000004,39.08,39.17,816707,-0.0073492143943233446
2013-03-07,39.18,39.5,38.93,39.03,736783,-0.0035741639009445603
2013-03-08,39.13,39.23,38.77,39.21,880790,0.004611837048424272
2013-03-11,39.16,39.16,38.54,38.86,572250,-0.008926294312675331
2013-03-12,38.73,39.07,38.67,38.91,629133,0.001286670097786935
2013-03-13,38.79,39.42,38.09,38.12,991118,-0.020303263942431204
2013-03-14,38.06,38.41,37.88,38.12,1068263,0.0
2013-03-15,38.15,38.2,37.83,38.13,1238441,0.0002623294858343783
2013-03-18,38.0,38.41,37.88,38.41,629287,0.007343299239443768
2013-03-19,38.47,38.57,37.9705,38.21,617923,-0.005206977349648367
2013-03-20,38.38,38.66,38.24,38.64,447974,0.011253598534415099
2013-03-21,38.53,39.03,38.42,38.42,673264,-0.005693581780538248
2013-03-22,38.43,39.09,38.31,39.09,574760,0.01743883394065593
2013-03-25,39.16,39.45,38.83,39.14,957331,0.0012790995139420058
2013-03-26,39.24,39.53,39.2,39.49,706165,0.008942258559018867
2013-03-27,39.26,39.39,39.01,39.39,483242,-0.0025322866548493916
2013-03-28,39.46,39.61,39.19,39.27,1022289,-0.0030464584920030235
2013-04-01,39.24,39.44,38.87,39.44,558529,0.0043290043290042934
2013-04-02,39.57,39.86,39.42,39.61,496533,0.004310344827586299
2013-04-03,39.65,39.74,39.05,39.19,661585,-0.010603382984095022
2013-04-04,39.28,39.51,39.13,39.49,365894,0.007655014034192442
2013-04-05,39.17,39.76,39.01,39.75,352529,0.006583945302608196
2013-04-08,39.83,40.24,39.56,40.12,518136,0.00930817610062884
2013-04-09,40.24,40.68,40.01,40.53,830932,0.010219341974077922
2013-04-10,40.54,41.15,40.461,41.09,1153527,0.013816925734024155
2013-04-11,41.08,41.69,41.02,41.49,919554,0.009734728644438917
2013-04-12,41.33,41.57,41.27,41.54,572117,0.0012051096649794424
2013-04-15,41.25,41.5,40.81,40.88,1073147,-0.015888300433317237
2013-04-16,41.02,41.72,40.66,41.7,721922,0.020058708414872894
2013-04-17,41.35,41.57,40.9,41.2,869689,-0.011990407673860948
2013-04-18,41.33,41.38,40.98,41.22,497381,0.00048543689320368344
2013-04-19,41.34,42.05,41.05,42.01,610424,0.01916545366327016
2013-04-22,42.11,42.11,41.45,41.52,496673,-0.011663889550106998
2013-04-23,41.6,41.84,41.32,41.65,545576,0.003131021194604955
2013-04-24,41.77,41.95,41.49,41.86,552490,0.005042016806722671
2013-04-25,41.99,41.99,41.5,41.68,736305,-0.004300047778308613
2013-04-26,41.8,42.23,41.74,41.99,636657,0.007437619961612407
2013-04-29,42.77,43.13,42.32,42.96,674552,0.023100738271016885
2013-04-30,42.85,43.58,42.85,43.58,1737477,0.014432029795158119
2013-05-01,43.48,43.96,43.32,43.48,946540,-0.0022946305644792053
2013-05-02,43.65,44.13,43.48,44.0,661137,0.011959521619135272
2013-05-03,44.36,44.45,43.99,44.07,484542,0.0015909090909091983
2013-05-06,44.15,44.36,43.77,44.27,455899,0.004538234626730198
2013-05-07,44.36,44.42,44.14,44.19,395603,-0.0018070928393947305
2013-05-08,44.19,44.24,43.895,44.23,651879,0.0009051821679113559
2013-05-09,44.36,44.5,44.04,44.25,580803,0.00045218177707440077
2013-05-10,44.26,44.41,43.65,43.72,425144,-0.011977401129943499
2013-05-13,43.73,43.84,43.385,43.84,460911,0.0027447392497714773
2013-05-14,43.82,44.13,43.72,43.84,550717,0.0
2013-05-15,43.83,44.33,43.63,44.33,600442,0.011177007299269848
2013-05-16,44.18,44.64,43.82,44.03,510938,-0.006767426122264775
2013-05-17,44.13,44.5,43.92,44.47,461011,0.009993186463774562
2013-05-20,44.48,44.7,44.15,44.42,520034,-0.0011243534967393387
2013-05-21,44.54,44.985,44.54,44.95,395478,0.01193156235929771
2013-05-22,44.98,45.29,43.4515,43.61,607090,-0.02981090100111239
2013-05-23,43.54,43.69,42.7,43.38,1127943,-0.005274019720247547
2013-05-24,43.2,43.525,42.68,43.44,450533,0.0013831258644536604
2013-05-28,43.95,44.12,42.74,43.08,576432,-0.008287292817679592
2013-05-29,42.71,42.736000000000004,41.8,42.19,616674,-0.020659238625812426
2013-05-30,42.1,42.56,42.0,42.49,776662,0.007110689736904652
2013-05-31,42.26,42.65,41.88,41.89,646148,-0.01412096963991527
2013-06-03,41.99,42.53,41.5,42.24,601892,0.008355216042014835
2013-06-04,42.29,42.59,41.34,41.84,1214996,-0.009469696969696906
2013-06-05,41.68,42.27,41.58,41.9,617229,0.001434034416825991
2013-06-06,41.77,42.72,41.54,42.72,541752,0.019570405727923568
