date,open,high,low,close,volume,return
2013-02-08,33.26,33.62,33.19,33.61,853602,0.0
2013-02-11,33.64,33.74,33.38,33.55,1200931,-0.0017851829812556286
2013-02-12,33.9,34.61,33.7201,34.6,1581419,0.031296572280179014
2013-02-13,34.8,35.63,34.35,34.62,2525974,0.0005780346820807303
2013-02-14,34.52,34.6,34.05,34.22,1193212,-0.011554015020219466
2013-02-15,34.25,34.27,33.82,34.03,1222930,-0.005552308591466937
2013-02-19,34.14,34.385,33.57,33.9,1856816,-0.003820158683514596
2013-02-20,33.87,34.05,32.505,32.56,1738051,-0.039528023598819906
2013-02-21,32.61,33.49,32.52,33.42,2344106,0.026412776412776395
2013-02-22,33.5,34.14,33.4,34.13,1129050,0.021244763614602036
2013-02-25,34.27,34.335,33.08,33.1,2300996,-0.03017872839144453
2013-02-26,33.38,34.01,33.0,33.9,1243424,0.024169184290030232
2013-02-27,33.82,34.89,33.78,34.55,888992,0.019174041297935096
2013-02-28,34.57,34.96,34.41,34.55,1046296,0.0
2013-03-01,34.21,34.51,33.51,34.37,1488071,-0.005209840810419641
2013-03-04,34.18,34.98,34.0732,34.92,866612,0.016002327611289058
2013-03-05,35.0,35.47,34.91,35.47,945844,0.015750286368843014
2013-03-06,35.48,36.095,35.44,36.04,1733758,0.016069918240766867
2013-03-07,35.97,35.98,35.39,35.85,1146519,-0.005271920088790183
2013-03-08,36.13,36.34,35.76,36.02,627704,0.00474198047419816
2013-03-11,36.06,36.17,35.56,35.85,1050385,-0.00471960022209883
2013-03-12,35.87,35.94,35.29,35.59,1055150,-0.007252440725244003
2013-03-13,35.58,36.005,35.42,35.96,1078008,0.010396178701882475
2013-03-14,36.03,36.34,35.84,36.33,816354,0.01028921023359275
2013-03-15,36.36,36.56,36.03,36.35,1883298,0.0005505092210296159
2013-03-18,35.85,36.57,35.71,36.26,1050877,-0.002475928473177569
2013-03-19,36.47,36.63,35.74,36.37,1053843,0.0030336458907886943
2013-03-20,36.74,37.78,36.69,37.67,1299848,0.03574374484465226
2013-03-21,38.16,38.16,36.21,36.29,1524128,-0.03663392620122119
2013-03-22,36.56,36.88,36.35,36.68,593373,0.010746762193441839
2013-03-25,37.0,37.46,36.61,37.11,949907,0.011723009814612828
2013-03-26,37.13,37.19,36.09,36.73,1428759,-0.010239827539746726
2013-03-27,36.6,36.81,36.32,36.74,610460,0.000272257010618171
2013-03-28,36.83,37.47,36.76,37.43,808489,0.018780620577027785
2013-04-01,37.34,37.36,36.12,36.23,893485,-0.032059845044082325
2013-04-02,36.5,36.9,35.53,35.68,1274408,-0.015180789401048722
2013-04-03,35.71,35.79,34.25,34.58,1649439,-0.030829596412556115
2013-04-04,34.59,34.75,33.78,34.25,1583316,-0.00954308849045682
2013-04-05,33.76,34.688,33.2,34.43,1721299,0.005255474452554809
2013-04-08,34.56,35.37,34.17,35.15,1215130,0.02091199535288979
2013-04-09,35.31,35.34,34.91,35.09,965061,-0.0017069701280225669
2013-04-10,35.12,35.73,34.97,35.56,926900,0.013394129381590236
2013-04-11,35.61,36.49,35.4,36.18,664722,0.017435320584926917
2013-04-12,36.1,37.165,35.96,36.7,1912444,0.014372581536760798
2013-04-15,36.54,36.61,34.4,34.45,2541233,-0.06130790190735691
2013-04-16,34.86,35.51,34.86,35.48,1700175,0.029898403483308966
2013-04-17,35.04,35.04,34.23,34.79,1348650,-0.019447576099210773
2013-04-18,34.9,35.1,34.59,35.06,1308387,0.007760850819201082
2013-04-19,35.12,36.5,34.97,36.46,1064509,0.03993154592127768
2013-04-22,36.52,36.66,35.6,36.3,922519,-0.00438837081733412
2013-04-23,36.68,37.1,36.23,36.71,1458368,0.011294765840220489
2013-04-24,36.73,37.1,35.97,36.24,1965747,-0.012803050939798388
2013-04-25,36.47,37.12,36.25,36.66,2002582,0.011589403973509826
2013-04-26,36.72,37.08,36.49,36.76,1007110,0.0027277686852156258
2013-04-29,36.81,37.03,36.36,36.45,1260528,-0.00843307943416749
2013-04-30,36.46,36.898,36.07,36.39,2238107,-0.0016460905349794386
2013-05-01,36.42,36.72,36.06,36.26,2168387,-0.0035724100027481054
2013-05-02,36.26,37.721,36.26,37.43,1965461,0.032266960838389425
2013-05-03,39.72,41.67,38.5,39.72,5297905,0.06118087095912372
2013-05-06,39.88,40.41,39.361,40.13,1520998,0.010322255790533807
2013-05-07,40.15,40.75,39.9,40.67,886418,0.013456267131821464
2013-05-08,40.66,40.66,40.0,40.46,1110212,-0.005163511187607606
2013-05-09,40.5,40.8,40.46,40.53,1000985,0.0017301038062282892
2013-05-10,40.56,40.925,40.35,40.73,508643,0.004934616333579944
2013-05-13,40.69,41.39,40.37,41.32,961088,0.014485637122514161
2013-05-14,41.41,42.59,41.35,42.56,1092027,0.030009680542110395
2013-05-15,42.47,43.6,42.15,43.52,1237464,0.022556390977443552
2013-05-16,43.21,43.44,42.61,42.79,1291476,-0.016773897058823595
2013-05-17,43.12,43.72,43.0,43.54,1218550,0.01752745968684266
2013-05-20,43.1,43.76,42.85,43.34,1156186,-0.0045934772622874265
2013-05-21,43.31,43.63,42.79,43.42,1022143,0.001845869866174299
2013-05-22,43.34,43.88,42.8,42.94,2165934,-0.011054813450023127
2013-05-23,42.16,42.99,41.762,42.69,1065059,-0.005822077317186758
2013-05-24,42.43,42.86,41.94,42.76,938094,0.0016397282736004826
2013-05-28,43.58,44.04,42.75,43.26,957897,0.011693171188026152
2013-05-29,42.73,42.79,41.65,42.19,1481897,-0.024734165510864603
2013-05-30,42.5,42.87,42.19,42.62,561162,0.010191988622896497
2013-05-31,42.34,43.0,42.12,42.28,685205,-0.007977475363678987
2013-06-03,42.25,42.46,40.64,41.73,1183499,-0.013008514664143878
2013-06-04,41.74,42.29,40.21,40.37,1519901,-0.03259046249700459
2013-06-05,40.38,40.38,38.8501,38.92,2234517,-0.035917760713400915
2013-06-06,38.81,39.05,38.25,38.98,3196448,0.0015416238437819807
2013-06-07,39.4,40.175,38.78,40.06,2021404,0.027706516162134598
2013-06-10,40.3,40.3,38.448,39.03,2259080,-0.02571143285072397
2013-06-11,38.27,39.35,38.11,38.62,881733,-0.010504739943633212
2013-06-12,39.1,39.24,38.3,38.4,939076,-0.005696530295183799
2013-06-13,38.4,39.67,38.4,39.5,641460,0.02864583333333348
2013-06-14,39.44,40.165,39.23,40.1,1015292,0.0151898734177216
2013-06-17,40.57,41.48,40.5,41.27,1379084,0.029177057356608582
2013-06-18,41.22,41.98,40.94,41.91,936121,0.015507632662951076
2013-06-19,41.74,42.2,41.31,41.4,1101121,-0.012168933428775897
2013-06-20,40.76,40.85,38.23,38.67,1845660,-0.06594202898550716
2013-06-21,38.87,38.97,36.09,37.82,4787280,-0.02198086371864494
2013-06-24,37.06,37.06,35.87,36.9,2301767,-0.02432575356953992
2013-06-25,37.78,39.24,37.715,38.02,1459616,0.030352303523035307
2013-06-26,38.1,38.69,37.86,38.07,1056260,0.0013150973172013636
2013-06-27,38.45,39.059,38.15,38.97,1010611,0.023640661938534313
2013-06-28,38.95,38.95,38.19,38.74,2400642,-0.005901975878881083
2013-07-01,38.83,39.91,38.83,39.27,1464201,0.013680949922560748
2013-07-02,39.26,39.64,38.345,38.78,1840280,-0.012477718360071388
2013-07-03,38.47,39.69,38.47,39.25,1199028,0.012119649303764746
2013-07-05,39.57,39.63,38.63,39.56,815625,0.007898089171974654
2013-07-08,39.65,40.23,39.14,39.27,1100928,-0.0073306370070778115
2013-07-09,39.53,39.9,39.1,39.73,1477137,0.01171377641965865
2013-07-10,39.89,39.94,39.13,39.82,804456,0.002265290712308188
2013-07-11,40.6,42.16,40.542,41.91,1379773,0.05248618784530379
2013-07-12,42.02,42.63,41.67,42.29,996037,0.009067048437127134
2013-07-15,42.39,42.75,41.38,41.58,998683,-0.01678883896902339
2013-07-16,41.59,41.84,40.96,41.12,851355,-0.011063011063011108
2013-07-17,41.34,41.38,40.24,41.05,861880,-0.0017023346303501885
