date,open,high,low,close,volume,return
2013-1-2,54.56,55.32,54.1,55.18,755628,0.0
2013-1-3,55.05,55.17,54.56,54.89,467697,-0.005255527364987245
2013-1-4,55.02,55.32,54.81,55.0,405084,0.002004008016031955
2013-1-7,55.01,55.82,54.61,55.81,581231,0.0147272727272727
2013-1-8,55.61,56.04,55.57,55.74,611057,-0.001254255509765323
2013-1-9,55.7,56.16,55.42,55.98,449883,0.004305705059203246
2013-1-10,56.2,56.76,55.96,56.71,605615,0.013040371561271913
2013-1-11,55.7,57.03,55.58,56.57,360694,-0.002468700405572233
2013-1-14,56.9,56.93,56.15,56.93,405812,0.006363797065582544
2013-1-15,56.89,57.33,56.51,57.2,224397,0.004742666432461018
2013-1-16,57.27,57.28,56.63,57.17,293225,-0.0005244755244755428
2013-1-17,57.47,58.78,57.46,58.19,502925,0.017841525275493986
2013-1-18,58.0,59.12,58.0,59.08,613387,0.015294724179412356
2013-1-22,59.29,59.29,58.43,58.73,439509,-0.005924170616113722
2013-1-23,58.59,58.7,57.94,58.02,710400,-0.012089221862761734
2013-1-24,58.2,59.43,58.2,59.36,614049,0.023095484315753145
2013-1-25,59.55,60.26,59.35,60.26,589076,0.015161725067385445
2013-1-28,60.44,60.6,58.94,59.34,672499,-0.015267175572518998
2013-1-29,59.15,59.52,58.9,59.08,494342,-0.004381530165150083
2013-1-30,59.34,59.82,58.79,59.51,478070,0.007278266756939766
2013-1-31,59.87,60.0,59.27,59.84,259710,0.005545286506469571
2013-2-1,60.23,60.4,59.94,60.03,395218,0.003175133689839571
2013-2-4,60.0,60.22,59.63,59.78,454309,-0.004164584374479419
2013-2-5,60.12,60.77,59.79,59.89,821834,0.0018400802944127381
2013-2-6,59.86,60.4,59.72,59.9,985261,0.0001669727834363588
2013-2-7,59.98,60.24,59.34,59.55,798889,-0.005843071786310494
2013-2-8,64.07,68.23,64.07,66.01,3410116,0.10848026868178007
2013-2-11,66.4,66.7,64.35,66.15,1158339,0.0021208907741252503
2013-2-12,66.16,66.57,65.73,66.03,574430,-0.0018140589569162202
2013-2-13,66.03,66.46,65.88,66.04,340541,0.00015144631228247718
2013-2-14,65.93,66.59,65.82,66.53,587022,0.007419745608721939
2013-2-15,66.77,68.54,66.6,68.47,677598,0.02915977754396515
2013-2-19,68.55,69.56,68.09,69.55,708177,0.01577333138600845
2013-2-20,69.66,70.75,68.47,68.65,499998,-0.012940330697339908
2013-2-21,68.23,68.25,66.69,67.7,505291,-0.0138383102694829
2013-2-22,68.13,68.54,67.51,67.97,575273,0.003988183161004466
2013-2-25,68.15,68.65,67.23,67.28,442582,-0.010151537442989467
2013-2-26,67.45,67.93,67.04,67.45,588163,0.0025267538644471177
2013-2-27,67.75,68.32,67.17,68.23,529332,0.011564121571534525
2013-2-28,68.37,70.68,68.3,69.81,871211,0.02315696907518694
2013-3-1,69.57,70.58,69.13,70.34,587667,0.007592035524996543
2013-3-4,70.41,72.09,70.28,71.18,679829,0.011941996019334766
2013-3-5,71.62,72.19,71.25,72.07,745412,0.012503512222534319
2013-3-6,72.26,72.9,71.49,72.25,919002,0.0024975718051893914
2013-3-7,70.5,70.84,69.87,69.88,2095643,-0.03280276816609007
2013-3-8,70.37,71.09,69.35,70.52,1170795,0.009158557527189526
2013-3-11,70.59,70.6,70.0,70.41,339229,-0.00155984117980712
2013-3-12,70.35,70.58,70.06,70.4,288151,-0.00014202528049978014
2013-3-13,70.57,70.68,70.27,70.5,735750,0.0014204545454543638
2013-3-14,70.54,70.75,70.32,70.56,524270,0.0008510638297871687
2013-3-15,70.44,70.57,69.33,69.52,755756,-0.014739229024943401
2013-3-18,69.06,69.9,67.33,69.46,475790,-0.0008630609896432828
2013-3-19,69.44,69.9,68.7,68.83,375282,-0.009069968327094613
2013-3-20,69.12,70.34,69.03,69.74,398907,0.013220979224175533
2013-3-21,69.6,72.5,69.46,72.38,1991217,0.03785488958990535
2013-3-22,72.55,76.0,72.19,75.82,2079569,0.0475269411439625
2013-3-25,76.01,76.88,74.57,75.46,982113,-0.004748087575837556
2013-3-26,76.13,77.46,75.75,76.69,911207,0.016300026504108223
2013-3-27,76.5,76.5,75.37,76.05,686440,-0.00834528621723829
2013-3-28,76.11,76.73,75.41,76.67,530439,0.008152531229454363
2013-4-1,76.73,77.91,76.54,77.24,970060,0.007434459371331581
2013-4-2,77.52,78.13,77.05,77.83,827122,0.007638529259451188
2013-4-3,78.0,78.37,75.92,77.27,915449,-0.007195168957985332
2013-4-4,77.48,77.72,75.95,77.26,1195578,-0.00012941633234098138
2013-4-5,76.0,76.07,74.05,75.25,1509731,-0.02601604970230398
2013-4-8,75.3,76.57,75.3,76.44,480989,0.015813953488372112
2013-4-9,76.72,77.52,76.3,77.08,618700,0.008372579801151137
2013-4-10,77.21,78.87,77.11,78.36,882834,0.01660612350804369
2013-4-11,78.73,78.73,77.41,77.57,538052,-0.010081674323634604
2013-4-12,77.4,77.84,76.59,77.03,517885,-0.006961454170426595
2013-4-15,76.66,76.66,73.08,73.81,843771,-0.04180189536544199
2013-4-16,74.25,75.4,73.94,75.05,691259,0.016799891613602513
2013-4-17,74.68,74.89,73.21,74.1,636360,-0.012658227848101333
2013-4-18,74.3,74.3,72.14,72.42,660800,-0.02267206477732786
2013-4-19,72.56,73.59,70.09,73.44,934077,0.014084507042253502
2013-4-22,73.77,75.49,73.16,75.3,1039222,0.025326797385620825
2013-4-23,75.74,77.34,75.58,77.22,1006252,0.025498007968127512
2013-4-24,77.2,77.6,75.85,75.93,574913,-0.016705516705516565
2013-4-25,76.26,76.41,74.94,74.99,957222,-0.01237982352166489
2013-4-26,75.04,75.9,74.55,75.48,518948,0.00653420456060827
2013-4-29,75.9,76.08,74.85,75.44,883458,-0.0005299417064124068
2013-4-30,75.08,77.14,75.01,76.9,1186940,0.01935312831389191
2013-5-1,76.58,77.0,74.67,74.9,715655,-0.026007802340702213
2013-5-2,75.23,77.25,74.71,77.2,1216814,0.030707610146862407
2013-5-3,85.18,85.56,78.88,80.34,2132382,0.040673575129533734
2013-5-6,81.1,82.0,80.68,81.97,1051887,0.020288772715957082
2013-5-7,82.39,82.5,81.6,82.17,988836,0.0024399170428206496
2013-5-8,81.34,82.91,81.08,82.84,956030,0.008153827430935845
2013-5-9,82.99,83.05,81.36,81.58,534401,-0.015210043457267064
2013-5-10,81.63,81.9,80.37,81.25,747012,-0.004045109095366484
2013-5-13,80.78,82.47,80.51,82.35,732581,0.0135384615384615
2013-5-14,82.24,84.54,82.24,84.21,905389,0.022586520947176725
2013-5-15,82.41,82.75,81.5,81.9,1619699,-0.027431421446383886
2013-5-16,81.19,81.5,80.09,81.22,1839278,-0.008302808302808384
2013-5-17,81.38,82.75,81.32,82.05,813575,0.010219157842895843
2013-5-20,82.26,83.67,82.26,83.43,1011369,0.016819012797075095
2013-5-21,83.5,84.31,82.6,84.01,654588,0.006951935754524685
2013-5-22,83.95,84.44,81.4,81.84,632194,-0.02583025830258301
2013-5-23,80.32,82.97,80.1,82.06,541969,0.0026881720430107503
2013-5-24,81.65,82.95,81.12,82.54,575529,0.005849378503534064
2013-5-28,83.87,85.31,83.64,84.35,638104,0.0219287618124544
2013-5-29,84.35,87.45,84.05,85.91,1412778,0.018494368701837516
2013-5-30,86.25,88.83,86.25,87.39,700766,0.017227330927715112
2013-5-31,87.33,88.8,86.15,87.08,925976,-0.003547316626616337
2013-6-3,87.1,87.21,83.66,86.14,926441,-0.010794671566375702
2013-6-4,86.15,86.96,84.78,85.33,877142,-0.009403296958439777
2013-6-5,85.22,85.82,83.65,84.13,555272,-0.014063049337864841
2013-6-6,83.59,85.49,82.69,85.42,1000713,0.015333412575775585
2013-6-7,86.53,87.2,85.53,87.11,557676,0.0197845937719503
2013-6-10,87.49,88.5,87.23,88.1,670950,0.011364940879347918
2013-6-11,86.79,88.22,86.11,87.58,448825,-0.00590238365493756
2013-6-12,88.0,88.08,86.45,87.54,970092,-0.00045672527974416344
2013-6-13,87.22,88.18,86.41,87.79,484775,0.0028558373315055174
2013-6-14,87.95,88.46,86.73,87.65,352662,-0.0015947146599840645
2013-6-17,89.1,89.75,87.75,88.07,903434,0.004791785510553259
2013-6-18,88.37,89.74,88.26,89.12,724270,0.011922334506642596
2013-6-19,89.18,89.53,87.84,88.15,604471,-0.01088420107719923
2013-6-20,87.3,87.48,83.5,83.94,1141068,-0.04775950085082259
2013-6-21,83.94,84.54,80.28,83.8,2786109,-0.0016678579938050886
2013-6-24,82.95,83.24,80.43,82.38,1100298,-0.016945107398568027
2013-6-25,83.04,84.06,82.32,83.4,500319,0.01238164603059011
2013-6-26,84.34,85.52,84.17,84.91,655991,0.01810551558752982
2013-6-27,85.65,85.69,82.09,83.17,1285766,-0.020492285949829214
2013-6-28,82.88,83.18,81.18,81.3,1513391,-0.022484068774798693
2013-7-1,81.55,83.69,81.1,82.88,630672,0.019434194341943378
2013-7-2,82.9,83.6,82.02,82.41,557457,-0.005670849420849389
2013-7-3,82.0,83.32,81.75,83.24,401641,0.010071593253246025
2013-7-5,83.9,84.42,82.14,84.34,494124,0.013214800576645924
2013-7-8,84.9,85.31,83.58,84.26,542616,-0.000948541617263432
2013-7-9,84.5,85.85,83.45,85.8,768512,0.018276762402088753
2013-7-10,85.9,86.0,84.68,85.67,387204,-0.0015151515151514694
2013-7-11,86.67,87.07,85.38,86.65,506041,0.011439243609198124
2013-7-12,86.2,87.41,85.82,85.97,561689,-0.007847663012117811
2013-7-15,86.27,86.53,85.03,86.13,411886,0.0018611143422122556
2013-7-16,85.95,86.19,84.59,84.94,464537,-0.01381632416115175
2013-7-17,85.0,85.8,84.56,85.57,364177,0.007417000235460325
2013-7-18,85.83,87.3,85.83,87.0,426580,0.016711464298235335
2013-7-19,86.77,87.07,86.19,86.87,278438,-0.0014942528735631955
2013-7-22,87.15,88.08,86.81,87.61,570027,0.008518475883503962
2013-7-23,87.76,88.01,86.79,87.08,286113,-0.006049537724004073
2013-7-24,87.45,87.96,87.08,87.74,279514,0.007579237482774337
2013-7-25,87.34,88.64,87.22,87.61,486410,-0.0014816503305219442
2013-7-26,87.81,90.92,87.59,90.46,587325,0.03253053304417297
2013-7-29,90.43,90.43,88.58,89.12,378743,-0.014813177094848418
2013-7-30,89.42,90.04,88.71,89.57,360860,0.0050493716337520755
2013-7-31,89.59,91.62,89.59,89.77,1021247,0.002232890476722149
2013-8-1,90.32,92.94,90.32,91.85,1145439,0.02317032416174669
2013-8-2,95.95,100.87,94.21,98.44,1688431,0.0717474142623844
2013-8-5,100.3,100.3,97.99,98.78,514346,0.003453880536367304
2013-8-6,98.54,99.27,97.02,98.19,364003,-0.005972869001822256
2013-8-7,98.05,98.5,97.0,97.94,410952,-0.002546084122619363
2013-8-8,98.54,99.5,97.77,98.9,398951,0.009801919542577142
2013-8-9,98.26,99.06,97.32,98.67,389688,-0.0023255813953488857
2013-8-12,98.67,98.67,97.15,97.25,598281,-0.01439140569575359
2013-8-13,97.65,97.65,96.04,97.45,738829,0.0020565552699229883
2013-8-14,97.83,100.3,96.75,99.43,817323,0.02031811185223198
2013-8-15,98.16,99.15,96.16,97.52,646640,-0.019209494116464
2013-8-16,97.0,99.59,96.12,97.67,474769,0.0015381460213290676
2013-8-19,97.72,99.64,97.32,97.51,324988,-0.001638169345756113
2013-8-20,98.0,98.4,97.2,97.8,388325,0.002974053943185284
2013-8-21,97.86,98.18,96.4,96.96,689071,-0.008588957055214785
2013-8-22,97.42,104.8,96.97,103.12,1039884,0.06353135313531366
2013-8-23,104.04,104.35,101.59,102.82,725093,-0.002909231962761938
2013-8-26,102.9,108.38,102.9,104.7,1616411,0.01828438047072556
2013-8-27,104.0,104.0,101.71,103.17,808602,-0.014613180515759328
2013-8-28,103.04,103.87,101.73,103.09,643827,-0.0007754192110109859
2013-8-29,103.08,105.22,103.02,104.48,295209,0.013483364050829394
2013-8-30,105.12,106.18,102.13,103.11,325220,-0.013112557427258809
2013-9-3,104.33,106.13,104.33,105.8,509185,0.026088643196586103
2013-9-4,105.9,106.9,103.77,103.99,692693,-0.017107750472589833
2013-9-5,104.22,105.21,103.43,104.01,463102,0.00019232618521014544
2013-9-6,104.42,104.54,100.88,103.33,353137,-0.006537832900682661
2013-9-9,103.78,104.1,102.84,103.21,575876,-0.0011613277847672965
2013-9-10,104.47,106.26,104.15,106.09,500353,0.0279042728417791
2013-9-11,106.3,110.42,106.3,107.41,2114343,0.012442266000565416
2013-9-12,107.5,108.61,106.73,107.24,747949,-0.0015827204170933973
2013-9-13,107.32,107.72,106.03,107.23,496622,-9.324878776562073e-05
2013-9-16,108.82,109.81,107.54,108.47,441885,0.011563928005222435
2013-9-17,109.08,109.82,107.94,109.57,349311,0.01014105282566602
2013-9-18,109.57,111.18,108.41,110.98,425039,0.01286848589942502
2013-9-19,111.5,112.5,110.1,110.73,404629,-0.002252658136601138
2013-9-20,111.07,111.64,109.14,110.68,1441930,-0.0004515488124265943
2013-9-23,110.92,111.88,108.96,109.87,650455,-0.007318395374051323
2013-9-24,110.09,111.08,108.15,110.42,597017,0.005005916082643003
2013-9-25,110.3,111.75,108.8,110.93,653276,0.0046187284912153626
2013-9-26,110.87,111.99,109.37,110.1,560546,-0.00748219597944666
2013-9-27,109.8,111.99,109.35,111.17,732575,0.009718437783832856
2013-9-30,110.0,111.26,109.0,110.16,522260,-0.009085184852028472
2013-10-1,110.37,112.13,110.31,111.37,600037,0.010984023238925333
2013-10-2,110.79,113.68,109.51,113.6,727317,0.02002334560474095
2013-10-3,113.61,113.61,110.6,111.15,727262,-0.021566901408450634
2013-10-4,111.09,112.25,110.86,112.04,636256,0.008007197480881745
2013-10-7,111.02,112.15,110.5,111.81,498629,-0.0020528382720457206
2013-10-8,111.74,112.25,104.28,104.57,1362514,-0.0647527054825151
2013-10-9,103.91,104.7,98.41,103.09,1281303,-0.014153198814191303
2013-10-10,104.61,107.95,104.48,107.08,888734,0.03870404500921509
2013-10-11,107.35,108.24,106.37,106.59,762740,-0.004576017930519205
2013-10-14,105.74,106.45,104.73,106.1,1323362,-0.004597054132657985
2013-10-15,105.69,108.39,105.6,106.79,892480,0.006503298774740873
2013-10-16,107.71,111.33,107.62,110.41,660437,0.03389830508474567
2013-10-17,110.49,111.4,109.71,111.3,643480,0.008060864052169103
2013-10-18,111.88,112.61,111.25,112.49,459999,0.010691823899370956
2013-10-21,113.25,113.62,111.09,112.32,601166,-0.0015112454440394663
2013-10-22,113.01,114.16,112.0,113.36,744931,0.0092592592592593
2013-10-23,112.51,112.52,109.17,111.09,604630,-0.020024700070571555
2013-10-24,111.06,111.98,109.4,110.41,1423601,-0.006121163020974096
2013-10-25,111.43,111.71,109.0,109.58,1045593,-0.007517435014944285
2013-10-28,109.74,109.93,108.13,108.47,729337,-0.010129585690819454
2013-10-29,109.09,111.24,108.98,111.24,575278,0.025537014842813566
2013-10-30,111.4,113.65,107.16,107.16,1601133,-0.03667745415318224
2013-10-31,117.0,120.51,112.0,115.35,1793320,0.0764277715565509
2013-11-1,115.08,116.95,113.17,114.16,851036,-0.010316428261811894
2013-11-4,114.5,115.18,113.25,114.4,681946,0.0021023125437982237
2013-11-5,114.02,116.67,113.01,116.27,745234,0.016346153846153788
2013-11-6,116.53,117.1,113.6,114.71,519908,-0.013417046529629384
2013-11-7,115.02,115.38,110.5,111.18,715011,-0.03077325429343547
2013-11-8,112.08,114.09,111.49,113.6,482436,0.021766504767044337
