date,open,high,low,close,volume,return
2013-02-08,28.54,28.73,28.5,28.57,6316645,0.0
2013-02-11,28.51,28.65,28.35,28.53,5589830,-0.0014000700035001756
2013-02-12,28.43,28.75,28.24,28.55,7175443,0.000701016473887206
2013-02-13,28.75,28.87,28.44,28.67,9281737,0.004203152364273155
2013-02-14,28.74,29.36,27.67,27.75,19226730,-0.032089291942797415
2013-02-15,27.59,27.92,27.22,27.76,12860643,0.0003603603603603567
2013-02-19,27.69,27.8,27.46,27.68,7090948,-0.0028818443804035088
2013-02-20,27.81,27.81,27.05,27.1,7246810,-0.020953757225433467
2013-02-21,27.02,27.04,26.33,26.51,13893819,-0.02177121771217716
2013-02-22,26.4,27.12,26.31,27.11,9287457,0.022632968691059796
2013-02-25,27.11,27.17,26.33,26.33,11123163,-0.028771670970121788
2013-02-26,26.65,26.85,26.19,26.83,13364433,0.01898974553740973
2013-02-27,26.8,27.58,26.72,27.4,13116386,0.021244875139768915
2013-02-28,27.5,27.57,26.89,27.15,10310470,-0.009124087591240837
2013-03-01,26.83,27.49,26.75,27.21,9018734,0.0022099447513812542
2013-03-04,27.14,27.29,26.99,27.09,6586922,-0.004410143329658278
2013-03-05,27.22,27.79,27.19,27.58,9191097,0.018087855297157507
2013-03-06,27.76,27.96,27.62,27.91,9002872,0.011965192168237992
2013-03-07,27.86,28.14,27.79,27.88,9429418,-0.001074883554281647
2013-03-08,27.91,28.19,27.89,28.0,5910491,0.004304160688665792
2013-03-11,27.95,28.39,27.55,28.31,19122052,0.011071428571428621
2013-03-12,28.26,28.64,28.09,28.37,10681744,0.0021193924408338116
2013-03-13,28.38,28.38,28.0475,28.07,10274635,-0.010574550581600284
2013-03-14,28.05,28.23,28.04,28.16,6440215,0.0032062700391877197
2013-03-15,27.96,28.26,27.8,28.21,12115378,0.0017755681818181213
2013-03-18,27.95,28.15,27.73,28.04,13758186,-0.006026231832683471
2013-03-19,28.1,28.2,27.9,28.1,12636519,0.0021398002853068032
2013-03-20,28.25,29.3,28.19,29.2,25402300,0.039145907473309594
2013-03-21,28.91,29.17,28.57,28.63,13447060,-0.019520547945205524
2013-03-22,28.615,28.71,27.96,28.22,12643375,-0.014320642682500884
2013-03-25,28.39,28.48,28.02,28.16,6669835,-0.002126151665485465
2013-03-26,28.28,28.35,27.99,28.15,6872018,-0.00035511363636364646
2013-03-27,28.05,28.27,27.96,28.06,5444328,-0.003197158081705176
2013-03-28,28.02,28.09,27.64,27.82,9268297,-0.008553100498930766
2013-04-01,27.65,28.09,27.65,27.8,8834797,-0.0007189072609633529
2013-04-02,27.96,28.3,27.53,27.93,16188021,0.004676258992805771
2013-04-03,28.0,28.1,27.66,27.8,11199677,-0.0046544933762978635
2013-04-04,27.75,28.0,27.51,27.74,8571727,-0.0021582733812950394
2013-04-05,27.38,27.56,27.11,27.52,11792722,-0.007930785868781487
2013-04-08,27.5,27.64,27.4,27.59,11572829,0.0025436046511628785
2013-04-09,27.77,27.78,27.5,27.53,9639722,-0.002174700978615385
2013-04-10,27.69,28.51,27.68,28.37,12927800,0.030512168543407103
2013-04-11,28.49,29.76,28.44,29.72,22305042,0.04758547761720111
2013-04-12,29.57,29.84,29.55,29.62,15619284,-0.003364737550470953
2013-04-15,29.41,29.69,28.84,28.91,14020377,-0.023970290344361933
2013-04-16,29.17,29.515,29.17,29.47,8007748,0.01937046004842613
2013-04-17,29.03,29.33,28.7709,29.27,10670370,-0.0067865626060400475
2013-04-18,29.25,29.38,28.75,28.98,11105963,-0.009907755380936134
2013-04-19,29.1,29.26,28.905,29.15,7167244,0.005866114561766667
2013-04-22,29.2,29.34,28.85,29.25,6738184,0.0034305317324185847
2013-04-23,29.34,29.92,29.28,29.85,8438175,0.020512820512820662
2013-04-24,29.91,30.8,29.86,30.45,21489103,0.02010050251256268
2013-04-25,30.06,30.78,30.0,30.71,14505614,0.0085385878489328
2013-04-26,30.79,30.8,30.03,30.5,13738736,-0.006838163464669478
