date,open,high,low,close,volume,return
2013-02-08,150.78,151.97,150.35,151.6,3612229,0.0
2013-02-11,151.42,152.87,150.9601,152.24,3751274,0.004221635883905117
2013-02-12,152.48,154.32,151.79,154.11,4307556,0.012283236994219626
2013-02-13,154.11,154.85,153.28,154.52,4368576,0.002660437349944811
2013-02-14,153.84,156.719,153.62,155.93,5035367,0.00912503235827078
2013-02-15,156.4,156.54,154.08,154.99,4254701,-0.0060283460527159605
2013-02-19,155.69,159.0,155.25,158.65,5103120,0.023614426737208927
2013-02-20,158.22,158.5,154.56,155.18,5029164,-0.021872045382918315
2013-02-21,153.72,153.95,149.8,150.88,8318209,-0.02770975641190887
2013-02-22,152.37,154.13,152.05,154.09,4772567,0.021275185577942723
2013-02-25,155.19,155.69,147.6,147.65,6293823,-0.041793756895320944
2013-02-26,148.11,149.46,146.71,148.0,5686528,0.002370470707754757
2013-02-27,147.87,152.05,147.76,151.65,4695202,0.024662162162162105
2013-02-28,151.35,152.4,149.76,149.76,4955778,-0.012462908011869556
2013-03-01,148.12,151.7,147.22,150.53,4538535,0.0051415598290598385
2013-03-04,150.01,152.47,149.71,152.18,3209074,0.010961270178701854
2013-03-05,153.45,154.96,152.8,152.96,4585541,0.0051255092653437195
2013-03-06,154.06,155.05,152.8,154.13,3593180,0.007649058577405832
2013-03-07,154.7,157.19,154.5,156.62,3880142,0.016155193667683143
2013-03-08,155.89,156.23,152.01,152.98,6615219,-0.023240965393947266
2013-03-11,152.45,154.32,152.36,153.3,3586235,0.0020917767028372225
2013-03-12,153.3,153.8,150.46,151.85,3430966,-0.009458577951728775
2013-03-13,152.03,152.86700000000002,150.58,151.91,3356342,0.0003951267698387717
2013-03-14,152.27,154.34,152.16,154.02,3868064,0.013889803172931536
2013-03-15,151.35,155.63,151.3,154.84,7300215,0.005323983898195106
2013-03-18,152.53,153.11,150.89,151.95,3788020,-0.01866442779643518
2013-03-19,152.61,153.09,147.82,148.84,4722737,-0.020467258966765267
2013-03-20,150.02,151.48,149.25,150.13,2881924,0.008667024993281425
2013-03-21,149.29,150.22,145.37,145.38,4690668,-0.03163924598681145
2013-03-22,146.51,147.7,145.61,146.6,3454453,0.00839180079790891
2013-03-25,147.99,148.66,144.68,146.11,3774824,-0.003342428376534645
2013-03-26,148.29,148.34,144.87,146.54,3859891,0.0029429881596056973
2013-03-27,145.88,148.63,145.86,147.84,3963793,0.008871297939129219
2013-03-28,148.12,149.06,147.13,147.15,3699431,-0.00466720779220775
2013-04-01,146.67,148.06,144.6,146.04,2581039,-0.007543323139653557
2013-04-02,145.27,147.485,144.769,146.68,3373885,0.0043823609969873
2013-04-03,146.46,146.87,142.18,143.41,4373140,-0.022293427870193727
2013-04-04,143.52,144.95,142.24,142.99,3424222,-0.0029286660623386584
2013-04-05,140.61,143.8,140.34,143.69,3865093,0.004895447234072314
2013-04-08,143.83,144.1184,141.84,143.82,2908606,0.000904725450622923
2013-04-09,144.32,147.57,144.0661,146.52,3262705,0.018773466833541974
2013-04-10,147.3,149.74,147.2401,149.46,3127314,0.02006552006551998
2013-04-11,149.46,150.589,148.22,149.07,2951176,-0.0026093938177439435
2013-04-12,148.4,149.6,147.01,149.12,3131338,0.00033541289327176926
2013-04-15,148.75,151.45,145.53,146.46,5554352,-0.01783798283261795
2013-04-16,148.13,148.43,142.14,144.1,8274291,-0.016113614638809337
2013-04-17,142.99,143.6,138.05,140.6,6361245,-0.024288688410825765
2013-04-18,140.09,140.9,137.42,138.6,4800130,-0.014224751066856278
2013-04-19,139.31,139.84,137.85,138.72,3960153,0.0008658008658009031
2013-04-22,139.01,139.85,137.29,139.52,3187099,0.005767012687428075
2013-04-23,140.44,143.39,139.92,142.94,3697458,0.02451261467889898
2013-04-24,143.27,144.45,142.951,143.93,2785148,0.006925982929900654
2013-04-25,144.11,146.05,143.75,144.76,2629425,0.005766692142013419
2013-04-26,144.5,145.41,143.07,144.11,2235158,-0.004490190660403237
2013-04-29,144.54,145.9,143.91,145.11,2715298,0.006939143709666196
2013-04-30,145.19,146.5399,144.56,146.07,2586099,0.0066156708703739575
2013-05-01,145.83,145.83,142.4,142.61,3508974,-0.02368727322516584
2013-05-02,142.68,143.67,140.39,143.67,4332074,0.007432858845803025
2013-05-03,145.31,146.84,145.06,145.37,4016656,0.011832672095775099
2013-05-06,145.92,149.54,145.64,148.45,3740373,0.021187315126917516
2013-05-07,149.41,149.94,147.55200000000002,149.32,3137584,0.005860559110811847
2013-05-08,149.13,150.99,148.4,150.26,3518252,0.0062952049290114775
2013-05-09,150.1,150.86,148.25,148.54,2818432,-0.011446825502462343
2013-05-10,148.57,149.18,147.501,149.1,2632404,0.0037700282752120007
2013-05-13,147.67,150.33,147.06,149.63,2975155,0.0035546613011401273
2013-05-14,149.5,154.94,149.5,154.52,5825641,0.032680612176702706
2013-05-15,154.04,156.278,153.79,155.61,4177478,0.0070541030287341044
2013-05-16,154.73,157.485,153.96,154.47,3233756,-0.007326007326007411
2013-05-17,155.41,158.7,155.0,158.18,4177328,0.02401760859713864
2013-05-20,157.58,160.49,157.52,158.9,4009907,0.004551776457200729
2013-05-21,158.67,161.7399,158.53,160.73,4077747,0.011516677155443578
2013-05-22,160.61,164.47,158.53,159.34,6168617,-0.008648043302432518
2013-05-23,156.36,158.8899,154.62,157.41,5619710,-0.012112463913643845
2013-05-24,155.57,158.92,155.29,158.72,3317060,0.00832221586938564
2013-05-28,160.92,162.68,159.91,160.7,4471541,0.012474798387096753
2013-05-29,159.74,164.13,159.41,162.87,4969048,0.013503422526446984
2013-05-30,162.66,165.45,161.0,164.35,4336049,0.009087001903358427
2013-05-31,163.95,165.828,162.07,162.08,4404918,-0.013811986613933569
