date,open,high,low,close,volume,return
2013-1-2,47.69,47.9,45.76,46.61,3514605,0.0
2013-1-3,46.52,46.57,44.38,44.55,4044276,-0.044196524350997635
2013-1-4,44.77,44.99,43.52,44.35,3190233,-0.0044893378226710245
2013-1-7,44.16,44.52,42.76,42.91,4739355,-0.032468996617812995
2013-1-8,42.91,43.61,42.91,43.52,3039917,0.014215800512701104
2013-1-9,43.75,44.09,43.26,43.74,2964721,0.005055147058823595
2013-1-10,44.15,44.54,43.7,44.44,3475445,0.016003657978966412
2013-1-11,44.34,44.68,44.0,44.67,3439240,0.00517551755175516
2013-1-14,44.7,45.98,44.49,45.82,3201512,0.025744347436758463
2013-1-15,45.65,46.87,45.63,46.36,3627630,0.011785246617197709
2013-1-16,46.33,47.3,45.67,46.36,3923474,0.0
2013-1-17,46.57,46.74,45.26,45.47,3164264,-0.019197584124245104
2013-1-18,45.47,45.58,43.56,44.26,4418713,-0.02661095227622612
2013-1-22,44.37,44.74,44.0,44.31,3183625,0.0011296882060551905
2013-1-23,44.41,46.74,44.24,45.9,4994702,0.03588354773188884
2013-1-24,45.59,47.2,45.2,46.81,3252136,0.019825708061002256
2013-1-25,46.86,47.35,46.7,47.27,2407477,0.009826960051271039
2013-1-28,47.3,48.2,46.78,47.95,1992987,0.014385445314152756
2013-1-29,49.17,50.8,48.72,50.5,4269323,0.05318039624608972
2013-1-30,51.0,51.2,49.93,50.36,2238543,-0.0027722772277227747
2013-1-31,50.34,52.5,50.13,52.22,4442187,0.03693407466243048
2013-2-1,52.79,53.77,52.26,52.77,3633067,0.01053236307927996
2013-2-4,52.42,53.68,52.15,53.09,2635646,0.0060640515444381204
2013-2-5,53.24,54.5,53.24,54.29,3206160,0.022603126765869286
2013-2-6,54.1,54.49,53.13,53.81,3084816,-0.008841407257321743
2013-2-7,53.95,55.06,53.46,54.56,4150004,0.013937929752834144
2013-2-8,54.75,56.26,54.69,56.26,3248395,0.03115835777126086
2013-2-11,56.55,57.07,56.06,56.15,3564420,-0.0019552079630288377
2013-2-12,56.05,56.19,54.43,55.32,3710858,-0.01478183437221725
2013-2-13,55.5,56.22,55.33,56.13,2020149,0.014642082429501047
2013-2-14,56.01,56.75,55.59,56.56,2041275,0.007660787457687501
2013-2-15,56.38,56.45,54.97,55.55,3023792,-0.017857142857142905
2013-2-19,55.6,56.49,55.55,56.32,2224258,0.013861386138613874
2013-2-20,55.78,56.22,53.65,53.72,4035684,-0.04616477272727271
2013-2-21,53.7,55.15,52.02,54.5,4995972,0.014519731943410275
2013-2-22,54.98,55.58,54.27,55.5,1965157,0.0183486238532109
2013-2-25,56.0,56.47,54.57,54.6,3237877,-0.01621621621621616
2013-2-26,53.56,54.5,51.7,54.3,7524794,-0.005494505494505586
2013-2-27,54.24,56.51,53.94,55.69,5609077,0.025598526703499047
2013-2-28,55.85,56.69,55.62,56.2,3458796,0.009157838031962795
2013-3-1,55.57,57.29,54.65,56.95,4445333,0.013345195729537407
2013-3-4,57.06,58.48,56.64,58.43,4099830,0.025987708516242325
2013-3-5,58.98,59.2,57.25,57.77,2599190,-0.011295567345541602
