date,open,high,low,close,volume,return
2013-02-08,44.81,45.4,44.61,45.39,387929,0.0
2013-02-11,45.23,45.4,45.0,45.23,176571,-0.0035250055078211995
2013-02-12,45.27,45.4,45.15,45.25,176363,0.0004421843908910539
2013-02-13,45.33,45.82,45.13,45.55,242203,0.006629834254143541
2013-02-14,45.39,45.48,45.04,45.2,251431,-0.007683863885839637
2013-02-15,45.1,45.59,45.0275,45.35,121880,0.0033185840707963266
2013-02-19,45.35,45.55,45.23,45.54,295441,0.004189636163175248
2013-02-20,45.45,45.95,45.38,45.44,480001,-0.002195871761089152
2013-02-21,45.35,45.44,44.6,44.63,225792,-0.017825704225352013
2013-02-22,44.85,45.19,44.8,44.95,263967,0.007170064978713864
2013-02-25,45.1,45.59,44.27,44.29,290073,-0.014682981090100244
2013-02-26,44.35,45.74,44.35,45.47,279332,0.02664258297584099
2013-02-27,45.47,47.14,44.77,47.12,365594,0.0362876621948538
2013-02-28,46.77,48.52,46.76,48.04,385872,0.019524617996604432
2013-03-01,47.78,48.57,47.29,47.91,415491,-0.0027060782681099793
2013-03-04,47.73,47.79,47.18,47.25,314805,-0.013775829680651164
2013-03-05,47.47,48.1,47.26,48.07,187127,0.017354497354497456
2013-03-06,48.37,49.18,48.35,49.17,224718,0.022883295194507935
2013-03-07,49.16,49.2,48.805,49.05,319591,-0.0024405125076266687
2013-03-08,49.35,50.76,49.35,50.56,294669,0.0307849133537208
2013-03-11,50.25,50.98,50.01,50.9,217166,0.006724683544303778
2013-03-12,50.7,51.425,50.66,51.34,227461,0.008644400785854822
2013-03-13,51.38,53.11,51.38,52.85,320253,0.02941176470588225
2013-03-14,52.89,54.12,52.59,54.08,283378,0.023273415326395375
2013-03-15,54.21,54.22,53.61,54.02,530082,-0.001109467455621238
2013-03-18,53.53,53.9,53.25,53.64,190758,-0.007034431691965937
2013-03-19,52.91,53.33,52.27,52.5,364085,-0.021252796420581643
2013-03-20,52.59,52.98,52.48,52.82,199325,0.0060952380952381535
2013-03-21,52.64,52.96,51.83,52.05,206168,-0.014577811435062538
2013-03-22,52.44,53.06,52.19,52.41,174187,0.006916426512968199
2013-03-25,52.63,53.19,52.11,52.36,181150,-0.0009540164090822145
2013-03-26,52.4,53.34,52.4,53.2,190432,0.016042780748663166
2013-03-27,52.89,53.08,52.63,52.96,121414,-0.004511278195488799
