date,open,high,low,close,volume,return
2013-1-2,68.75,68.94,66.69,68.14,554957,0.0
2013-1-3,68.0,68.82,67.54,67.72,288755,-0.006163780452010603
2013-1-4,66.25,66.65,62.31,64.38,2273714,-0.04932073242764334
2013-1-7,64.63,64.74,63.59,64.52,644672,0.0021745883814849876
2013-1-8,64.71,65.63,64.02,65.48,582356,0.014879107253565005
2013-1-9,64.72,65.63,64.45,65.43,428939,-0.0007635919364691324
2013-1-10,65.8,66.33,63.77,65.18,414544,-0.003820877273421952
2013-1-11,65.26,66.45,64.9,66.23,262773,0.016109235961951462
2013-1-14,66.12,69.31,65.91,68.96,780602,0.0412199909406612
2013-1-15,68.32,68.9,66.84,68.51,646775,-0.006525522041763154
2013-1-16,68.73,69.0,68.33,68.6,274069,0.001313676835498212
2013-1-17,68.76,68.84,67.87,68.12,318450,-0.0069970845481047705
2013-1-18,67.5,67.7,65.58,66.65,555156,-0.02157956547269524
2013-1-22,66.79,67.75,66.53,67.37,300334,0.010802700675168753
2013-1-23,67.72,67.72,66.11,66.86,318324,-0.007570135074959294
2013-1-24,66.52,67.9,66.12,67.53,394111,0.010020939276099261
2013-1-25,68.02,69.27,67.26,68.99,409713,0.02162002073152669
2013-1-28,68.99,69.46,68.02,68.05,178225,-0.013625163067111146
2013-1-29,68.07,68.07,65.5,65.72,429156,-0.034239529757531195
2013-1-30,66.17,66.5,65.38,65.69,399499,-0.00045648204503956347
2013-1-31,66.14,67.0,65.46,65.48,547679,-0.0031968336124218455
2013-2-1,66.37,66.62,64.85,66.37,479504,0.0135919364691508
2013-2-4,65.89,66.79,65.61,66.02,395256,-0.005273466927828929
2013-2-5,66.94,68.66,66.04,67.57,1103730,0.023477734019993868
2013-2-6,67.1,68.58,66.51,67.39,319894,-0.0026639040994522745
2013-2-7,67.28,67.6,66.2,66.99,239233,-0.00593559875352434
2013-2-8,67.47,69.14,66.95,67.22,331049,0.0034333482609345545
2013-2-11,67.23,67.31,66.34,67.25,292069,0.00044629574531396266
2013-2-12,67.47,68.25,67.15,67.55,367658,0.004460966542750855
2013-2-13,68.0,68.0,66.94,67.79,437467,0.003552923760177684
2013-2-14,67.46,70.11,67.03,69.48,829115,0.024929930668240008
2013-2-15,64.5,64.99,59.67,62.76,4395825,-0.0967184801381693
2013-2-19,62.55,63.68,60.24,62.12,1550757,-0.010197578075207159
2013-2-20,62.05,62.89,60.53,60.71,841257,-0.02269800386348997
2013-2-21,60.65,60.65,58.31,58.8,932003,-0.03146104430901009
2013-2-22,59.23,59.98,58.64,58.97,520706,0.002891156462585087
2013-2-25,59.0,59.59,57.5,57.55,531402,-0.02408004069866032
2013-2-26,57.56,58.23,56.89,57.33,422521,-0.0038227628149435366
2013-2-27,57.39,59.37,57.13,58.6,677517,0.02215245072387928
2013-2-28,58.98,59.65,58.53,59.29,897398,0.011774744027303718
2013-3-1,58.68,60.47,58.54,60.11,634565,0.013830325518637165
2013-3-4,60.22,60.89,59.62,60.22,598642,0.0018299783729829322
2013-3-5,60.27,61.69,59.93,60.5,656159,0.004649618067087413
2013-3-6,60.6,61.28,59.1,59.53,778075,-0.01603305785123965
2013-3-7,59.69,61.95,59.6,60.81,780265,0.021501763816563102
2013-3-8,61.49,61.62,60.0,60.57,509258,-0.003946719289590561
2013-3-11,60.57,62.32,60.33,61.58,334068,0.016674921578339053
2013-3-12,61.6,62.63,60.82,62.25,411323,0.010880155894771093
2013-3-13,62.65,62.75,61.57,62.68,397607,0.006907630522088315
2013-3-14,62.72,64.44,62.72,63.38,415360,0.011167836630504135
2013-3-15,63.05,64.5,62.97,63.38,457497,0.0
2013-3-18,62.55,64.37,61.22,63.81,248147,0.006784474597664847
2013-3-19,63.85,64.35,62.5,63.44,171835,-0.005798464190565844
2013-3-20,63.72,64.4,63.5,63.8,134954,0.005674653215636871
2013-3-21,63.5,65.6,63.42,64.93,294979,0.017711598746081636
2013-3-22,65.14,65.68,64.01,65.27,167785,0.005236408439858176
2013-3-25,65.46,66.32,64.76,65.58,151257,0.00474950206833169
2013-3-26,65.79,66.8,65.28,65.77,214793,0.002897224763647399
2013-3-27,65.71,67.09,65.0,66.29,276485,0.007906340276722101
2013-3-28,66.01,67.13,65.49,66.41,289573,0.0018102277869964656
2013-4-1,66.08,67.24,64.1,65.03,358656,-0.02078000301159455
2013-4-2,65.56,66.5,63.53,64.18,236937,-0.013070890358296117
2013-4-3,64.78,65.75,63.78,64.41,262304,0.00358367092552192
2013-4-4,64.54,65.66,61.6,63.29,454356,-0.017388604253997797
2013-4-5,62.45,63.37,61.67,62.29,281091,-0.01580028440511927
2013-4-8,61.96,62.99,61.55,62.1,289269,-0.0030502488360891755
2013-4-9,62.07,63.58,61.75,62.56,201364,0.007407407407407529
2013-4-10,62.54,64.62,62.28,63.5,286275,0.015025575447570327
2013-4-11,63.71,65.48,63.71,64.85,349547,0.021259842519685046
2013-4-12,64.27,65.85,64.05,64.62,140238,-0.0035466461063992094
2013-4-15,64.31,64.31,60.27,61.22,459947,-0.05261528938409166
2013-4-16,61.48,65.19,61.48,64.55,952791,0.054393988892518674
2013-4-17,63.66,63.66,60.82,61.93,505605,-0.04058869093725792
2013-4-18,62.37,62.7,60.51,61.33,456876,-0.009688357823348981
2013-4-19,61.65,62.6,60.61,62.29,252958,0.015653024620903233
2013-4-22,62.32,63.71,61.21,62.3,594930,0.0001605394124257753
2013-4-23,62.62,63.97,61.7,61.79,652750,-0.00818619582664526
2013-4-24,61.31,63.37,61.31,62.4,430248,0.009872147596698522
2013-4-25,62.75,63.15,61.65,62.02,444669,-0.006089743589743568
2013-4-26,62.21,62.28,61.73,61.79,460858,-0.0037084811351177915
2013-4-29,61.91,62.95,61.43,61.56,509340,-0.0037222851594108652
2013-4-30,62.25,63.68,60.73,63.57,868539,0.032651072124756375
2013-5-1,60.16,62.0,56.37,58.17,2459191,-0.0849457291175082
2013-5-2,57.34,58.94,57.25,57.78,765219,-0.006704486848891245
2013-5-3,58.32,59.01,57.53,58.48,860330,0.012114918656974671
2013-5-6,59.1,60.09,58.61,59.62,499890,0.01949384404924759
2013-5-7,59.79,60.08,59.15,59.83,500747,0.0035223079503523547
2013-5-8,59.73,60.15,59.59,60.03,344110,0.0033428046130703493
2013-5-9,60.0,61.76,59.98,61.06,323808,0.0171580876228552
2013-5-10,61.26,61.72,60.65,61.04,489534,-0.0003275466754012468
2013-5-13,61.0,61.45,60.69,61.14,322674,0.001638269986893759
2013-5-14,60.79,61.63,60.78,60.98,214434,-0.0026169447170428795
2013-5-15,61.0,61.11,59.59,59.69,427877,-0.021154476877664807
2013-5-16,59.91,61.05,59.4,60.49,465280,0.01340257999664951
2013-5-17,60.79,61.99,60.41,61.78,583928,0.021325838981649747
2013-5-20,61.65,61.72,58.91,59.16,526293,-0.042408546455163565
2013-5-21,59.04,60.05,58.69,59.67,434059,0.008620689655172598
2013-5-22,59.84,59.84,56.16,56.86,610596,-0.04709234120998829
2013-5-23,55.99,56.51,54.32,55.68,704201,-0.02075272599366862
2013-5-24,55.44,56.57,54.69,56.04,314748,0.006465517241379226
2013-5-28,56.88,57.63,55.82,56.11,394095,0.0012491077801570771
2013-5-29,55.94,57.3,55.94,56.9,366385,0.01407948672250936
2013-5-30,57.07,59.18,57.07,58.95,524505,0.03602811950790863
2013-5-31,58.84,59.47,58.47,59.3,868368,0.00593723494486853
2013-6-3,59.54,59.92,58.87,59.83,708592,0.00893760539628996
2013-6-4,59.47,61.55,59.4,60.0,965790,0.0028413839211098857
2013-6-5,59.82,61.08,59.2,59.27,514426,-0.012166666666666659
2013-6-6,59.43,62.49,59.29,62.15,787238,0.04859119284629654
2013-6-7,62.52,64.62,62.02,64.4,647077,0.03620273531777962
2013-6-10,64.08,65.78,64.05,65.1,831595,0.01086956521739113
2013-6-11,64.0,65.43,63.62,63.83,571688,-0.019508448540706547
2013-6-12,63.91,64.25,61.41,61.99,473060,-0.02882657057809801
2013-6-13,61.86,63.08,61.39,62.92,316429,0.015002419745120177
2013-6-14,62.98,63.18,61.79,62.05,277791,-0.01382708200890026
2013-6-17,62.23,62.98,61.8,62.19,340301,0.002256244963738885
2013-6-18,62.28,63.3,62.03,63.14,238947,0.015275767808329288
2013-6-19,63.18,63.67,61.66,61.99,337775,-0.018213493823249882
2013-6-20,61.43,61.68,60.16,60.18,316978,-0.02919825778351348
2013-6-21,60.57,60.59,59.17,59.53,408377,-0.010800930541708165
2013-6-24,59.0,59.24,57.57,58.75,609766,-0.013102637325718147
2013-6-25,59.68,61.0,58.75,59.47,377531,0.012255319148936072
2013-6-26,59.85,59.9,58.93,59.32,302106,-0.002522280141247668
2013-6-27,59.62,60.31,59.29,60.05,216724,0.012306136210384233
2013-6-28,59.94,60.88,59.32,60.73,332907,0.011323896752706064
2013-7-1,60.99,61.45,60.11,60.69,362097,-0.0006586530545035219
2013-7-2,60.72,60.94,58.43,59.26,476456,-0.02356236612291973
2013-7-3,58.97,60.01,58.56,59.39,142937,0.0021937225784678382
2013-7-5,59.81,61.18,59.5,61.1,298715,0.028792726048156192
2013-7-8,61.67,61.67,58.87,59.03,403322,-0.03387888707037645
2013-7-9,59.94,61.48,59.22,61.09,566605,0.03489750974080974
2013-7-10,60.87,61.13,59.54,60.0,724690,-0.017842527418562848
2013-7-11,60.69,60.77,57.87,58.28,1005650,-0.028666666666666618
2013-7-12,58.15,58.88,57.89,58.52,723409,0.0041180507892930596
2013-7-15,58.79,59.13,58.15,58.34,526970,-0.0030758714969241208
2013-7-16,58.38,58.84,57.5,57.61,386242,-0.012512855673637358
2013-7-17,57.63,58.13,57.63,57.86,553030,0.004339524388127014
2013-7-18,57.97,59.0,57.76,58.62,364967,0.013135153819564538
2013-7-19,58.57,59.74,58.3,59.6,269862,0.016717843739338267
2013-7-22,59.48,61.23,59.42,60.45,336870,0.014261744966443057
2013-7-23,60.95,61.44,60.5,60.73,255169,0.004631927212572329
2013-7-24,60.84,61.57,60.51,60.96,404865,0.0037872550633955004
2013-7-25,61.4,61.76,60.5,61.25,511851,0.004757217847769057
2013-7-26,61.13,61.15,60.29,60.6,365546,-0.0106122448979592
2013-7-29,60.69,61.48,60.33,61.35,794305,0.012376237623762387
2013-7-30,61.17,67.81,61.06,61.9,1507499,0.008964955175223999
2013-7-31,61.9,62.71,59.77,60.9,648415,-0.016155088852988664
2013-8-1,61.22,61.71,60.03,61.4,740025,0.008210180623973828
2013-8-2,61.41,61.9,61.04,61.37,313276,-0.00048859934853418
2013-8-5,61.4,61.88,60.74,60.79,398609,-0.009450871761446988
2013-8-6,60.57,60.88,58.19,58.46,415527,-0.03832867247902616
2013-8-7,58.39,58.4,56.59,57.54,595383,-0.01573725624358535
2013-8-8,58.1,58.42,57.54,57.6,393839,0.0010427528675704956
2013-8-9,57.72,58.4,56.84,57.57,489917,-0.0005208333333333037
2013-8-12,58.0,58.28,57.71,58.06,601504,0.008511377453534807
2013-8-13,58.05,58.08,57.54,57.74,362643,-0.0055115397864278215
2013-8-14,57.93,58.13,57.47,57.52,288293,-0.0038101835815725904
2013-8-15,57.02,57.07,55.58,55.74,343261,-0.030945757997218326
2013-8-16,55.77,56.0,55.35,55.41,569607,-0.00592034445640488
2013-8-19,55.27,55.67,54.54,54.73,575061,-0.012272153040967293
2013-8-20,54.86,55.74,54.81,55.65,593019,0.016809793531883832
2013-8-21,55.56,56.0,55.45,55.72,452837,0.0012578616352201255
2013-8-22,55.97,56.83,55.65,56.67,282554,0.01704953338119175
2013-8-23,56.88,57.16,56.53,56.64,351606,-0.000529380624669118
2013-8-26,56.86,57.1,56.04,56.18,403315,-0.008121468926553632
2013-8-27,55.72,56.19,54.88,54.96,447621,-0.021715913136347464
2013-8-28,54.86,55.3,54.47,54.86,406659,-0.00181950509461426
2013-8-29,54.79,55.22,54.2,54.45,258464,-0.007473569084943454
2013-8-30,54.44,54.69,53.28,53.76,246923,-0.012672176308540006
2013-9-3,54.21,55.61,53.91,54.54,441143,0.014508928571428603
