date,open,high,low,close,volume,return
2013-02-08,48.06,48.39,47.78,48.08,660554,0.0
2013-02-11,48.0,48.26,47.73,47.84,509108,-0.004991680532445808
2013-02-12,48.16,48.36,47.8697,48.14,682316,0.006270903010033413
2013-02-13,48.39,49.0,48.39,48.69,648038,0.011425010386373113
2013-02-14,48.53,49.21,48.45,48.9,852964,0.004313000616142926
2013-02-15,48.9,49.35,48.59,49.35,1095975,0.00920245398773023
2013-02-19,49.42,50.305,49.35,50.3,1338286,0.019250253292806496
2013-02-20,50.34,50.48,49.38,49.39,1143897,-0.01809145129224643
2013-02-21,49.15,49.27,48.04,48.62,978529,-0.015590200445434355
2013-02-22,48.87,49.1,48.53,49.1,711554,0.00987248046071576
2013-02-25,49.4,49.61,47.5475,47.58,1437542,-0.03095723014256624
2013-02-26,47.81,47.9,46.92,47.7,1106748,0.0025220680958386588
2013-02-27,47.58,48.71,47.48,48.57,616521,0.01823899371069171
2013-02-28,48.75,49.07,48.46,48.84,924163,0.005558987029030238
2013-03-01,48.24,48.545,47.34,48.0,1311129,-0.017199017199017286
2013-03-04,47.84,48.3,47.7,48.29,995528,0.006041666666666723
2013-03-05,48.77,50.15,48.7,50.03,1410215,0.036032304825015515
2013-03-06,50.35,50.69,50.15,50.24,867939,0.004197481511093448
2013-03-07,50.22,50.51,50.08,50.41,889563,0.0033837579617832514
2013-03-08,50.8,51.86,50.65,51.82,1213869,0.027970640745883735
2013-03-11,51.85,52.98,51.49,52.2,1521545,0.0073330760324199495
2013-03-12,52.23,52.47,51.875,52.0,800347,-0.003831417624521105
2013-03-13,52.1,52.7,52.0699,52.46,753731,0.008846153846153948
2013-03-14,52.6,53.36,52.55,53.36,979897,0.017155928326343828
2013-03-15,53.35,53.8,53.34,53.71,1140192,0.006559220389805054
2013-03-18,52.99,54.23,52.9,54.05,1237601,0.006330292310556596
2013-03-19,53.97,54.25,53.7225,54.19,1888883,0.002590194264569856
2013-03-20,54.46,54.5,54.06,54.19,1549652,0.0
2013-03-21,53.81,54.17,53.65,53.94,981991,-0.004613397305775924
2013-03-22,54.21,54.5,53.82,54.49,669025,0.010196514645902877
2013-03-25,54.6,55.0,53.84,54.31,660868,-0.0033033584143880024
2013-03-26,54.51,55.31,54.42,55.31,760025,0.01841281531946226
2013-03-27,54.94,55.54,54.51,55.53,695506,0.003977580907611689
2013-03-28,55.77,56.53,55.23,56.24,1213575,0.012785881505492647
2013-04-01,56.11,56.326,55.01,55.13,884049,-0.019736842105263164
2013-04-02,55.48,55.68,54.2,54.34,1188023,-0.014329766007618372
2013-04-03,54.25,54.37,52.3,52.54,1596394,-0.0331247699668753
2013-04-04,52.65,53.02,52.64,52.99,1070152,0.008564902931100127
2013-04-05,52.28,53.43,51.55,53.35,1134524,0.006793734666918239
2013-04-08,53.18,54.07,53.18,53.98,830244,0.011808809746953974
2013-04-09,53.91,54.0,53.06,53.56,669166,-0.0077806595035196935
2013-04-10,53.69,54.14,53.42,54.13,832300,0.010642270351008287
2013-04-11,54.1,54.895,53.89,54.63,786033,0.009237021984112248
2013-04-12,54.35,54.39,52.87,53.08,1708754,-0.028372688998718698
2013-04-15,52.6,52.6,50.21,50.35,1688577,-0.05143180105501122
2013-04-16,50.91,51.88,50.76,51.21,1146966,0.01708043694141015
2013-04-17,50.61,50.71,48.86,49.48,1446370,-0.033782464362429265
2013-04-18,49.66,49.93,49.19,49.43,1283033,-0.0010105092966854468
2013-04-19,49.69,50.2,49.27,50.04,788579,0.012340683795265983
2013-04-22,50.11,50.86,49.12,50.64,722193,0.011990407673860837
2013-04-23,50.92,51.05,50.12,51.05,554167,0.008096366508688613
2013-04-24,51.14,51.905,51.14,51.87,730104,0.01606268364348673
2013-04-25,52.11,52.76,51.88,52.2,582467,0.0063620589936379535
2013-04-26,52.14,52.27,51.43,51.65,433155,-0.010536398467433039
2013-04-29,51.84,52.53,51.68,52.03,1092182,0.007357212003872293
2013-04-30,50.81,51.63,49.51,50.48,2217220,-0.029790505477609197
2013-05-01,50.45,50.58,48.99,49.02,1624062,-0.02892234548335959
2013-05-02,49.28,49.97,49.01,49.85,992891,0.016931864545083553
2013-05-03,50.51,51.61,50.51,50.63,1048888,0.015646940822467315
2013-05-06,50.58,51.15,50.4,50.9,814326,0.005332806636381582
2013-05-07,50.94,51.33,50.53,51.1,577299,0.003929273084479323
2013-05-08,51.0,51.73,51.0,51.45,552142,0.006849315068493178
2013-05-09,51.28,51.58,50.38,50.53,1162929,-0.017881438289601537
2013-05-10,50.55,51.0,50.35,51.0,757388,0.009301405105877736
2013-05-13,50.9,50.95,49.99,50.2,698957,-0.015686274509803866
2013-05-14,50.25,51.37,50.25,51.37,749350,0.02330677290836647
2013-05-15,51.09,52.51,51.09,52.36,899384,0.01927194860813719
2013-05-16,52.06,52.88,51.92,52.76,1121895,0.007639419404125158
2013-05-17,52.88,54.16,52.772,54.09,756776,0.02520849128127378
2013-05-20,53.96,55.52,53.96,55.0,982102,0.016823812164910246
2013-05-21,54.95,55.36,54.47,55.05,643444,0.0009090909090907484
2013-05-22,55.02,55.7,54.38,54.57,859130,-0.008719346049046228
2013-05-23,53.81,55.27,53.48,55.0,1038975,0.007879787428990204
2013-05-24,54.62,55.09,54.35,54.99,675213,-0.0001818181818181719
2013-05-28,55.83,56.52,55.59,56.44,850927,0.026368430623749717
2013-05-29,56.04,56.59,55.58,56.06,959549,-0.006732813607370547
2013-05-30,56.25,57.35,55.92,57.16,852425,0.019621833749553952
2013-05-31,56.74,57.81,56.35,57.01,977387,-0.002624212736179077
2013-06-03,57.16,57.57,56.0,57.4,1322820,0.006840905104367634
2013-06-04,57.37,57.75,56.52,56.9,740757,-0.008710801393728262
2013-06-05,56.64,56.73,55.48,55.74,1364656,-0.020386643233743396
2013-06-06,55.7,56.15,55.45,55.92,1362138,0.0032292787944026013
2013-06-07,56.41,57.15,56.25,56.93,754354,0.018061516452074322
2013-06-10,57.06,57.065,56.46,57.01,711779,0.0014052344985069354
2013-06-11,55.73,56.53,55.6,56.06,696098,-0.016663743202946724
2013-06-12,56.5,56.74,55.02,55.04,1251493,-0.01819479129504109
2013-06-13,55.0,55.7,54.62,55.53,1015074,0.008902616279069742
2013-06-14,55.54,56.33,55.3501,55.83,660091,0.0054024851431657694
2013-06-17,56.43,57.14,56.02,56.82,732343,0.01773240193444381
2013-06-18,56.87,57.97,56.8401,57.78,542186,0.01689545934530101
2013-06-19,57.68,57.82,56.71,56.71,699136,-0.01851851851851849
2013-06-20,55.58,56.19,55.29,55.53,910926,-0.02080761770410866
2013-06-21,55.97,56.44,55.415,55.86,1268887,0.005942733657482435
2013-06-24,55.27,55.43,54.64,54.76,916884,-0.01969208736126027
2013-06-25,55.52,55.65,54.91,55.4,707682,0.011687363038714427
2013-06-26,55.88,56.07,54.58,54.88,957925,-0.009386281588447565
2013-06-27,55.37,55.79,55.14,55.7,784546,0.014941690962099186
2013-06-28,55.57,55.64,55.05,55.13,588631,-0.01023339317773786
2013-07-01,55.48,56.0,55.27,55.42,524628,0.005260293850897879
2013-07-02,55.29,55.8,54.265,54.62,603232,-0.014435221941537457
2013-07-03,53.99,55.02,53.99,54.56,292258,-0.0010984987184180506
2013-07-05,55.11,55.44,54.21,55.36,356286,0.014662756598240456
2013-07-08,55.66,55.85,54.77,54.92,692679,-0.007947976878612706
2013-07-09,55.39,56.59,55.39,55.98,625657,0.019300801165331283
2013-07-10,55.98,56.18,55.25,56.05,505655,0.0012504465880671667
2013-07-11,56.89,57.25,56.72,57.02,534571,0.017305976806422985
2013-07-12,57.09,57.78,57.09,57.76,630913,0.012977902490354243
2013-07-15,58.11,58.44,57.641999999999996,57.85,579031,0.0015581717451524923
2013-07-16,58.01,58.33,57.32,57.5,831749,-0.006050129645635338
2013-07-17,57.9,58.335,57.49,57.96,284291,0.008000000000000007
2013-07-18,57.98,59.368,57.905,59.19,429194,0.02122153209109734
2013-07-19,59.25,59.55,58.985,59.52,661739,0.005575266092245457
2013-07-22,59.5,59.79600000000001,59.33,59.5,562273,-0.00033602150537637154
2013-07-23,59.65,59.75,59.1,59.48,458549,-0.0003361344537815558
2013-07-24,59.57,59.64,59.25,59.39,532052,-0.001513113651647524
2013-07-25,59.08,60.14,59.08,60.08,867697,0.011618117528203298
2013-07-26,59.69,60.84,58.78,58.99,1198287,-0.018142476697736276
2013-07-29,58.71,59.14,58.15,58.19,1306432,-0.013561620613663394
2013-07-30,57.61,59.41,57.0,57.89,1195317,-0.005155525004296169
2013-07-31,57.29,60.119,56.25,59.2,1027597,0.022629124201070994
2013-08-01,60.05,61.54,60.01,61.49,1128872,0.03868243243243241
2013-08-02,61.33,62.33,61.1,62.33,1253808,0.013660757846804206
2013-08-05,61.59,61.98,61.0,61.23,1285580,-0.01764800256698218
2013-08-06,61.0,61.0575,59.39,59.49,1502497,-0.028417442430181183
2013-08-07,59.45,59.77,59.04,59.41,790857,-0.0013447638258531347
2013-08-08,59.72,60.74,59.72,60.65,695491,0.02087190708634923
2013-08-09,60.65,61.05,60.21,60.88,503207,0.0037922506183019067
2013-08-12,60.52,61.08,60.34,60.95,409831,0.001149802890932916
2013-08-13,60.97,61.23,60.27,60.98,295674,0.0004922067268251507
2013-08-14,60.89,61.38,60.63,61.26,308708,0.0045916693998031555
2013-08-15,60.76,61.29,60.47,61.08,802478,-0.002938295788442735
2013-08-16,60.98,61.65,60.8525,61.42,668453,0.005566470203012486
2013-08-19,61.27,61.71,59.89,59.97,1167471,-0.023607945294692345
2013-08-20,60.03,60.64,59.44,60.14,836416,0.002834750708687661
2013-08-21,60.07,60.48,59.79,59.82,737615,-0.005320917858330554
2013-08-22,60.07,60.77,59.93,60.35,832516,0.008859913072551073
2013-08-23,60.44,60.44,59.47,59.87,804772,-0.007953603976802004
2013-08-26,59.93,60.2975,59.69,59.85,494925,-0.0003340571237681056
2013-08-27,59.14,59.4,58.15,58.25,708007,-0.026733500417710943
2013-08-28,58.38,58.83,58.15,58.61,673354,0.006180257510729703
2013-08-29,58.52,58.93,57.98,58.08,626878,-0.009042825456406778
2013-08-30,58.13,58.65,57.73,58.28,758307,0.003443526170799016
2013-09-03,59.33,59.34,58.13,58.57,1075721,0.004975978037062401
2013-09-04,58.54,59.44,58.33,59.24,740765,0.011439303397643874
2013-09-05,59.09,59.505,58.98,59.02,746809,-0.003713706954760254
2013-09-06,59.21,59.55,58.0,58.08,1212212,-0.015926804473060052
2013-09-09,59.01,60.47,58.25,58.43,1187815,0.006026170798898001
2013-09-10,58.87,58.87,58.42,58.51,1371978,0.0013691596782474669
2013-09-11,58.11,58.4,57.17,57.61,2061479,-0.015381985985301605
2013-09-12,57.63,58.46,57.435,58.06,1049481,0.007811143898628803
2013-09-13,58.24,58.39,57.77,57.9,861163,-0.0027557698932140218
2013-09-16,58.93,59.06,58.33,58.57,992897,0.011571675302245232
2013-09-17,58.52,58.98,58.309,58.86,751494,0.004951340276592164
2013-09-18,58.79,59.86,58.71,59.68,1117733,0.013931362555215765
2013-09-19,59.92,60.053000000000004,59.51,59.73,860822,0.0008378016085790474
2013-09-20,59.69,59.85,58.65,59.06,1246742,-0.011217143813828767
2013-09-23,58.76,58.97,58.11,58.27,577046,-0.01337622756518797
2013-09-24,58.17,58.75,58.01,58.22,653121,-0.0008580744808650564
2013-09-25,58.16,58.53,57.67,58.28,598680,0.0010305736860185544
2013-09-26,58.45,58.68,57.88,58.26,469844,-0.0003431708991078475
2013-09-27,57.83,58.14,57.62,57.79,482694,-0.008067284586337098
2013-09-30,57.21,58.2,57.21,58.18,1077593,0.006748572417373255
2013-10-01,58.2,59.26,58.03,58.61,886435,0.007390855964248821
2013-10-02,58.28,58.84,57.94,58.62,752417,0.00017061934823403568
2013-10-03,58.51,58.78,56.87,57.32,711079,-0.022176731490958668
2013-10-04,57.36,57.69,57.15,57.54,557584,0.0038381018841591175
2013-10-07,57.04,57.54,56.63,57.26,689976,-0.0048661800486617945
2013-10-08,57.18,57.44,55.98,56.28,744857,-0.017114914425427785
2013-10-09,56.35,56.57,55.8,56.12,687637,-0.002842928216062579
2013-10-10,56.77,57.37,56.71,57.36,550286,0.022095509622238163
2013-10-11,57.29,58.29,57.284,58.15,485531,0.013772663877266389
2013-10-14,57.74,58.44,57.62,58.35,376219,0.0034393809114359186
2013-10-15,58.25,58.3,57.33,57.63,484081,-0.012339331619537264
2013-10-16,57.99,58.875,57.615,58.83,978217,0.020822488287350227
2013-10-17,58.56,60.0,58.51,59.97,848849,0.019377868434472312
2013-10-18,60.21,60.35,59.45,59.62,1132856,-0.005836251459062858
2013-10-21,59.61,59.99,59.38,59.97,526184,0.005870513250587184
2013-10-22,60.42,60.81,60.2,60.58,866503,0.010171752542938117
2013-10-23,60.3,60.42,59.47,60.24,534923,-0.0056124133377352114
2013-10-24,60.34,60.74,60.0,60.7,441760,0.0076361221779548405
2013-10-25,60.61,60.83,59.67,60.56,557962,-0.0023064250411861664
2013-10-28,60.58,60.98,60.16,60.98,655099,0.006935270805812355
2013-10-29,61.0,61.2,60.59,61.15,465150,0.0027877992784519634
2013-10-30,61.18,61.18,60.35,60.63,310698,-0.008503679476696613
2013-10-31,60.5,61.14,60.12,60.82,660683,0.0031337621639451196
2013-11-01,60.79,61.21,60.005,60.93,656501,0.0018086155869778686
2013-11-04,61.06,61.61,60.62,61.55,684792,0.010175611357295278
2013-11-05,61.12,61.79,60.54,61.58,975730,0.0004874086108854758
2013-11-06,61.79,62.02,61.23,62.0,517546,0.006820396232543047
2013-11-07,62.19,62.26,61.13,61.2,604196,-0.012903225806451535
2013-11-08,61.03,62.02,60.87,61.99,455813,0.012908496732026098
2013-11-11,61.99,62.16,61.75,62.05,348245,0.000967898048072291
2013-11-12,62.0,62.16,61.46,62.1,531845,0.0008058017727639033
2013-11-13,61.89,63.3,61.84,63.29,779882,0.019162640901771333
2013-11-14,63.37,63.75,62.6801,63.45,601179,0.0025280455048191097
2013-11-15,63.45,64.125,63.25,63.76,861661,0.004885736800630314
2013-11-18,63.92,64.27,63.575,63.75,1094043,-0.00015683814303635302
2013-11-19,61.5,61.76,59.21,60.03,2871330,-0.05835294117647061
2013-11-20,60.3,60.7051,59.84,60.15,1846328,0.001999000499750103
2013-11-21,60.39,60.685,59.8,60.07,879183,-0.0013300083125519224
2013-11-22,60.19,60.38,59.9,60.09,851640,0.00033294489761948043
2013-11-25,60.13,60.255,58.86,59.31,1404504,-0.01298052920619075
2013-11-26,59.31,60.39,59.31,60.13,836699,0.013825661777103315
2013-11-27,60.32,60.64,59.71,59.84,1050815,-0.004822883751870899
2013-11-29,60.0,60.2799,59.7,59.77,384710,-0.0011697860962567308
2013-12-02,59.7,60.0,59.01,59.47,723349,-0.005019240421616278
2013-12-03,59.23,59.29,58.39,58.59,801946,-0.014797376828653008
2013-12-04,58.36,58.94,57.51,58.06,577331,-0.009045912271718692
2013-12-05,57.9,58.35,57.42,57.54,1093700,-0.008956252152945265
2013-12-06,58.61,59.57,58.08,58.48,588158,0.016336461591935914
2013-12-09,58.51,58.8,58.18,58.38,801926,-0.0017099863201093246
2013-12-10,58.33,58.72,58.1401,58.59,549207,0.003597122302158251
2013-12-11,58.58,58.63,57.59,57.64,787183,-0.016214371053080767
2013-12-12,57.48,57.72,56.48,56.49,888660,-0.019951422623178283
2013-12-13,56.76,57.09,56.43,56.76,575527,0.004779607010090281
2013-12-16,57.05,57.455,56.89,57.33,499778,0.01004228329809731
2013-12-17,57.36,58.49,56.961999999999996,58.22,1137883,0.015524158381301278
2013-12-18,58.3,60.3,57.96,60.21,1642026,0.0341806939196152
2013-12-19,59.88,60.7,59.68,60.57,1465737,0.005979073243647326
2013-12-20,60.72,61.41,60.65,61.2,1608155,0.010401188707280795
2013-12-23,61.33,61.68,60.72,61.12,523256,-0.0013071895424837665
2013-12-24,61.25,61.58,61.098,61.47,194581,0.005726439790575855
2013-12-26,61.63,61.94,61.62,61.83,326098,0.005856515373352744
2013-12-27,61.86,62.06,61.48,61.73,316143,-0.0016173378618793421
2013-12-30,61.8,62.01,61.55,61.68,486822,-0.0008099789405474622
2013-12-31,61.88,63.06,61.74,62.99,643838,0.02123865110246448
2014-01-02,63.67,64.1,62.655,62.88,1545713,-0.0017463089379265995
2014-01-03,62.84,62.99,62.03,62.29,1265815,-0.009382951653944094
2014-01-06,62.6,62.73,61.71,62.37,1107802,0.0012843152994059803
2014-01-07,62.5,63.2,62.36,62.92,914290,0.008818342151675651
2014-01-08,62.92,63.5899,62.45,63.09,681049,0.0027018436109345068
2014-01-09,63.33,63.775,62.825,63.25,719958,0.002536059597400442
2014-01-10,63.25,63.8,62.85,63.73,863412,0.007588932806324111
2014-01-13,64.59,65.3,64.195,64.34,1453313,0.00957163031539321
2014-01-14,64.17,64.76,63.795,64.54,851082,0.0031084861672365793
2014-01-15,64.76,65.62,64.76,65.29,732295,0.011620700340873924
2014-01-16,65.29,65.59,65.025,65.45,534441,0.0024506049931076745
2014-01-17,65.59,65.88,65.15,65.73,639501,0.004278074866310266
2014-01-21,65.73,66.245,65.43,66.06,689221,0.005020538566864463
2014-01-22,66.36,66.88,65.89,66.81,1036814,0.011353315168028955
2014-01-23,61.5,65.62,60.46,64.6,2128261,-0.03307888040712481
2014-01-24,64.74,65.0696,62.75,63.0,1709714,-0.024767801857585092
2014-01-27,62.5,63.23,61.51,62.27,1034691,-0.01158730158730159
2014-01-28,62.6,63.15,61.82,62.71,811566,0.007066002890637524
2014-01-29,62.04,62.57,61.48,61.78,958911,-0.014830170626694339
2014-01-30,62.21,62.24,61.33,61.73,746952,-0.0008093234056330001
2014-01-31,60.9,61.31,60.52,60.71,829004,-0.016523570387169895
2014-02-03,60.73,61.02,58.29,58.49,1792147,-0.03656728710261903
2014-02-04,59.0,59.73,58.35,59.29,770908,0.013677551718242364
2014-02-05,59.07,59.17,58.2,58.65,603790,-0.010794400404790072
2014-02-06,58.72,59.52,58.72,59.0,531717,0.0059676044330776445
2014-02-07,59.46,59.86,59.06,59.84,715099,0.014237288135593218
2014-02-10,59.65,59.87,59.175,59.36,823367,-0.008021390374331583
2014-02-11,59.52,60.21,59.05,59.93,736134,0.00960242587601079
2014-02-12,59.98,60.9,59.72,60.81,713655,0.014683797764058149
2014-02-13,60.24,60.44,59.51,60.25,929594,-0.00920901167571131
2014-02-14,60.51,60.69,59.9,60.47,1107022,0.0036514522821575746
2014-02-18,60.47,61.16,59.74,60.96,1103209,0.0081031916652885
2014-02-19,60.82,62.02,60.14,60.27,1158632,-0.011318897637795255
2014-02-20,60.69,61.51,60.355,61.04,989083,0.012775842044134622
2014-02-21,61.2,61.2,60.05,60.1,810079,-0.015399737876802044
2014-02-24,60.21,60.88,60.02,60.03,805679,-0.0011647254575707366
2014-02-25,60.08,60.31,59.62,60.0,922600,-0.0004997501249375258
2014-02-26,60.19,60.69,59.92,60.32,1456704,0.005333333333333412
2014-02-27,60.31,61.17,60.21,60.56,906207,0.003978779840848823
2014-02-28,60.82,61.19,60.34,60.65,1157222,0.00148612945838833
2014-03-03,59.9,60.55,59.36,60.4,1177260,-0.004122011541632276
2014-03-04,60.98,61.65,60.97,61.6,1348860,0.019867549668874274
2014-03-05,61.57,61.94,61.331,61.81,711440,0.003409090909090917
2014-03-06,61.81,63.39,61.77,63.07,1158159,0.020385050962627327
2014-03-07,63.45,63.52,62.77,63.09,556331,0.00031710797526551815
2014-03-10,62.8,63.14,62.41,62.85,940975,-0.003804089396100885
2014-03-11,62.84,63.19,62.64,62.86,863923,0.0001591089896579856
2014-03-12,62.63,62.97,62.47,62.81,1040509,-0.0007954183900731326
2014-03-13,62.87,63.04,61.74,61.93,905000,-0.014010507880910739
2014-03-14,61.75,62.62,61.745,62.59,759126,0.010657193605683846
2014-03-17,62.82,63.78,62.8,63.27,1028784,0.010864355328327191
2014-03-18,63.41,64.03,63.25,63.99,601647,0.011379800853485111
2014-03-19,64.0,64.14,63.43,63.78,775495,-0.003281762775433683
2014-03-20,63.64,64.17,63.43,64.14,515708,0.005644402634054524
2014-03-21,64.64,65.58,64.51,64.82,1802978,0.01060180854381021
2014-03-24,64.96,65.005,63.67,63.69,1122246,-0.017432891082999058
2014-03-25,63.94,64.12,63.66,63.83,807690,0.0021981472758674236
2014-03-26,64.05,64.25,63.15,63.16,983518,-0.010496631677894386
2014-03-27,62.92,63.17,62.68,62.84,847356,-0.005066497783407065
2014-03-28,63.0,63.715,63.0,63.12,703419,0.004455760661998598
2014-03-31,63.69,63.81,63.31,63.5,758669,0.006020278833967163
2014-04-01,63.82,63.885,63.34,63.79,770147,0.004566929133858144
2014-04-02,63.99,64.5,63.73,64.38,629787,0.009249098604796835
2014-04-03,64.39,64.75,64.01,64.33,625113,-0.000776638707673194
2014-04-04,64.31,65.02,63.78,63.89,785514,-0.006839732628633577
2014-04-07,63.75,63.81,62.55,62.89,1024185,-0.015651901706057236
2014-04-08,62.61,63.12,62.56,62.83,811872,-0.0009540467482906934
2014-04-09,63.12,63.43,62.78,63.34,722582,0.008117141492917535
2014-04-10,63.35,63.63,62.69,62.77,986565,-0.008999052731291424
2014-04-11,62.26,62.835,61.44,61.45,1028808,-0.021029154054484578
2014-04-14,61.94,62.21,61.378,61.89,371994,0.007160292921073896
2014-04-15,62.04,62.3,60.65,62.1,672794,0.0033931168201648543
2014-04-16,61.39,63.38,61.39,63.0,515617,0.01449275362318847
2014-04-17,62.92,63.99,62.91,63.73,406056,0.01158730158730159
2014-04-21,63.72,63.89,63.18,63.69,768582,-0.0006276478895339554
2014-04-22,63.75,64.985,63.464,64.62,806543,0.014601978332548393
2014-04-23,64.48,64.72,63.73,63.89,722826,-0.011296812132466805
2014-04-24,64.0,64.13,62.99100000000001,63.36,639062,-0.008295507904210409
2014-04-25,63.32,63.32,62.06,62.1,782691,-0.019886363636363646
2014-04-28,62.32,62.7,61.16,62.2,967620,0.0016103059581320522
2014-04-29,55.57,58.02,55.5,57.07,3833694,-0.08247588424437302
2014-04-30,57.08,57.82,56.39,57.7,1982186,0.011039074820396122
2014-05-01,57.68,58.4,57.29,58.08,1790683,0.00658578856152503
2014-05-02,58.04,58.5,56.68,56.78,3309450,-0.022382920110192828
2014-05-05,56.58,57.035,56.13399999999999,56.65,2720758,-0.0022895385699189807
2014-05-06,56.67,57.1,56.57,56.64,1680070,-0.0001765225066195919
2014-05-07,56.84,57.115,56.36,57.07,1658165,0.007591807909604453
2014-05-08,56.87,57.315,56.23,56.57,805805,-0.00876117049237779
2014-05-09,56.57,56.76,56.07,56.13,1067268,-0.007777974191267467
2014-05-12,56.38,56.625,55.95,56.26,1327738,0.002316052022091508
2014-05-13,56.42,56.62,55.81,55.85,1087561,-0.007287593316743668
2014-05-14,55.84,55.99,54.43,54.48,1313930,-0.024529991047448574
2014-05-15,54.48,54.55,52.57,53.85,2838786,-0.01156387665198233
2014-05-16,54.0,54.01,53.14,53.28,1182769,-0.010584958217270235
2014-05-19,53.25,53.61,53.18,53.33,1289032,0.0009384384384383271
2014-05-20,53.18,53.57,52.57,52.92,1028645,-0.007687980498781055
2014-05-21,53.02,53.21,52.735,53.05,1212390,0.0024565381708236966
2014-05-22,53.1,53.26,52.69,53.17,1350985,0.0022620169651272892
