date,open,high,low,close,volume,return
2013-02-08,29.79,29.87,29.52,29.74,1203133,0.0
2013-02-11,29.76,29.8399,29.51,29.58,949841,-0.005379959650302579
2013-02-12,29.73,30.065,29.65,29.9,1322579,0.010818120351588911
2013-02-13,29.95,30.355,29.95,30.24,1440340,0.011371237458194017
2013-02-14,30.13,30.64,30.06,30.6,1575473,0.011904761904762085
2013-02-15,30.54,30.88,30.41,30.7,1393142,0.0032679738562091387
2013-02-19,30.75,30.8299,30.47,30.65,1256899,-0.0016286644951140072
2013-02-20,30.64,30.77,29.92,29.92,1348472,-0.02381729200652516
2013-02-21,29.95,29.95,29.45,29.66,1491702,-0.008689839572192604
2013-02-22,29.75,29.89,29.6,29.78,999729,0.004045853000674393
2013-02-25,29.92,29.98,29.1575,29.19,1243824,-0.0198119543317663
2013-02-26,29.33,29.7,29.13,29.64,914223,0.01541623843782114
2013-02-27,29.64,30.57,29.64,30.42,1204463,0.026315789473684292
2013-02-28,30.41,30.77,30.32,30.58,961171,0.005259697567389754
2013-03-01,30.46,30.74,30.22,30.67,994538,0.0029431000654023265
2013-03-04,30.53,30.98,30.5,30.88,1190984,0.006847081838930569
2013-03-05,31.0,31.49,30.94,31.46,1022516,0.018782383419689186
2013-03-06,31.59,31.68,31.32,31.47,942143,0.00031786395422761515
2013-03-07,31.49,31.64,31.31,31.61,686941,0.004448681283762301
2013-03-08,31.81,31.969,31.55,31.89,817231,0.008857956342929407
2013-03-11,31.88,32.49,31.88,32.31,1183487,0.013170272812794037
2013-03-12,32.31,32.52,32.1,32.52,999473,0.006499535747446661
2013-03-13,32.25,32.4,31.91,32.32,872721,-0.006150061500615145
2013-03-14,32.4,32.52,32.32,32.48,806157,0.004950495049504955
2013-03-15,31.94,32.33,31.93,32.22,1706911,-0.008004926108374333
2013-03-18,31.9,32.54,31.9,32.34,1069693,0.003724394785847407
2013-03-19,32.42,32.66,32.17,32.51,977227,0.005256648113790785
2013-03-20,32.68,33.19,32.55,33.09,1231373,0.017840664410950557
2013-03-21,32.92,33.03,32.55,32.63,1249589,-0.013901480809912381
2013-03-22,32.7,32.98,32.56,32.84,902861,0.006435795280416823
2013-03-25,32.9,33.08,32.4,32.81,1342850,-0.0009135200974421664
2013-03-26,32.88,33.24,32.845,33.17,749543,0.010972264553489763
2013-03-27,32.86,33.38,32.86,33.33,829191,0.00482363581549583
2013-03-28,33.27,33.8,33.27,33.78,1076438,0.013501350135013634
2013-04-01,33.78,33.87,33.33,33.49,1150129,-0.00858496151568977
2013-04-02,33.55,33.82,33.36,33.53,904262,0.0011943863839951607
2013-04-03,33.48,33.54,32.25,32.51,1497228,-0.030420518938264363
2013-04-04,32.59,32.89,32.46,32.63,1094270,0.0036911719470933413
2013-04-05,32.1,32.64,31.57,32.63,1092394,0.0
2013-04-08,32.67,33.22,32.6,33.21,1291530,0.017775053631627236
2013-04-09,33.26,33.3,32.65,32.89,1032964,-0.009635651912074716
2013-04-10,33.0,33.43,32.91,33.37,1342716,0.01459410155062324
2013-04-11,33.43,34.0,33.38,33.79,1000825,0.012586155229247886
2013-04-12,33.66,34.07,33.63,33.79,800439,0.0
2013-04-15,33.64,33.75,32.55,32.55,1182522,-0.03669724770642213
2013-04-16,32.88,33.22,32.53,33.22,1031921,0.02058371735791087
2013-04-17,33.02,33.02,32.255,32.48,1248326,-0.02227573750752565
2013-04-18,32.58,32.64,31.81,31.93,1089973,-0.01693349753694573
2013-04-19,31.81,32.67,31.66,32.48,1807137,0.017225180081428038
2013-04-22,32.55,32.92,32.19,32.83,613428,0.010775862068965525
2013-04-23,33.05,33.54,32.88,33.4,916710,0.017362168748096263
2013-04-24,33.44,33.56,33.21,33.38,580217,-0.0005988023952094856
2013-04-25,33.57,33.88,33.455,33.65,958330,0.008088675853804572
2013-04-26,32.82,32.97,32.08,32.58,1805606,-0.03179791976225854
2013-04-29,32.5,32.62,32.09,32.33,1569133,-0.007673419275629256
2013-04-30,32.29,32.39,32.02,32.24,1375011,-0.00278379214351987
2013-05-01,32.16,32.26,31.57,31.57,1346022,-0.020781637717121604
2013-05-02,31.71,32.13,31.6,32.1,1191600,0.01678808995882175
2013-05-03,32.46,33.08,32.44,32.84,1105399,0.023052959501557613
2013-05-06,32.84,32.91,32.47,32.61,876418,-0.007003654080389943
2013-05-07,32.77,33.1,32.64,33.07,811729,0.01410610242256971
2013-05-08,33.04,33.26,32.96,33.26,617786,0.005745388569700527
2013-05-09,33.25,33.57,33.11,33.15,858718,-0.003307276007215809
2013-05-10,33.18,33.52,33.13,33.48,666424,0.009954751131221684
2013-05-13,33.49,33.71,33.22,33.62,617977,0.004181600955794451
2013-05-14,33.62,34.08,33.57,33.93,836227,0.009220701963117195
2013-05-15,33.92,34.16,33.85,34.12,843415,0.005599764220453718
2013-05-16,33.94,34.09,33.64,33.73,1028680,-0.011430246189917947
2013-05-17,33.81,34.25,33.8001,34.19,2040779,0.013637711236288208
2013-05-20,34.11,34.28,33.83,33.87,760211,-0.009359461830944715
2013-05-21,33.96,34.08,33.55,33.8,1002873,-0.0020667257159728836
2013-05-22,33.8,33.98,32.99,33.18,1120474,-0.01834319526627215
2013-05-23,32.79,33.39,32.62,33.34,1128692,0.004822182037371947
2013-05-24,33.14,33.14,32.75,33.0,972547,-0.010197960407918538
2013-05-28,33.4,33.6,33.03,33.24,897736,0.0072727272727273196
2013-05-29,33.01,33.04,32.18,32.36,1390250,-0.026474127557160165
