date,open,high,low,close,volume,return
2013-02-08,42.52,43.12,42.44,42.61,1429200,0.0
2013-02-11,42.71,42.85,42.3,42.71,1122675,0.0023468669326449643
2013-02-12,42.89,42.89,42.375,42.84,2663455,0.0030437836572232424
2013-02-13,42.98,43.38,42.71,42.93,2662511,0.0021008403361344463
2013-02-14,42.86,43.35,42.62,42.9,2067368,-0.0006988120195667857
2013-02-15,43.0,43.0,42.32,42.5,1786335,-0.009324009324009341
2013-02-19,42.65,43.22,42.57,42.74,1567750,0.0056470588235295605
2013-02-20,42.87,42.98,41.86,41.96,1932166,-0.018249883013570445
2013-02-21,42.04,42.045,40.745,40.91,3026401,-0.02502383222116311
2013-02-22,40.74,42.175,40.74,42.03,2088341,0.02737716939623569
2013-02-25,42.16,42.668,40.85,40.86,1526750,-0.027837259100642386
2013-02-26,41.06,41.845,40.98,41.65,2147027,0.019334312285854027
2013-02-27,41.62,42.69,41.44,42.5,1732032,0.020408163265306145
2013-02-28,42.52,42.86,42.28,42.3,2122442,-0.004705882352941226
2013-03-01,42.09,42.84,41.68,42.68,1966441,0.00898345153664315
2013-03-04,42.4,42.75,41.99,42.59,1710274,-0.0021087160262417415
2013-03-05,42.92,43.92,42.72,43.12,2722094,0.012444235736088105
2013-03-06,43.46,43.78,42.92,43.11,1741402,-0.00023191094619656738
2013-03-07,43.15,43.39,42.68,42.8,1291352,-0.007190906982138756
2013-03-08,43.16,43.16,42.47,42.88,1455062,0.0018691588785046953
2013-03-11,42.63,42.85,42.28,42.41,1222824,-0.010960820895522527
2013-03-12,42.38,42.74,41.87,42.32,1685420,-0.0021221410044799383
2013-03-13,42.47,42.48,41.7101,42.16,1845438,-0.003780718336483968
2013-03-14,42.38,42.84,42.32,42.42,1661973,0.006166982922201303
2013-03-15,42.33,42.55,41.04,41.66,3679880,-0.017916077322018054
2013-03-18,41.14,41.45,40.8,41.105,2643904,-0.013322131541046556
2013-03-19,41.13,41.315,40.44,40.92,2296525,-0.004500669018367431
2013-03-20,41.22,41.51,40.985,41.16,2266017,0.00586510263929596
2013-03-21,40.75,41.14,40.49,40.63,3751804,-0.012876579203109695
2013-03-22,40.75,41.01,40.45,40.56,3035728,-0.0017228648781688616
2013-03-25,40.87,41.06,40.68,40.93,2777675,0.009122287968441833
2013-03-26,41.09,41.275,40.87,41.16,2409270,0.005619350109943744
2013-03-27,40.84,41.0,40.44,40.89,2606125,-0.006559766763848285
2013-03-28,40.94,41.535,40.72,41.46,2472545,0.013939838591342735
2013-04-01,41.34,41.418,40.7,40.8,1602798,-0.01591895803183796
2013-04-02,40.91,41.2,40.49,40.69,1992304,-0.0026960784313725394
2013-04-03,40.85,41.09,40.19,40.47,2716336,-0.005406733841238576
2013-04-04,40.44,41.3,40.27,41.23,1898586,0.018779342723004744
2013-04-05,40.61,40.96,40.06,40.77,1645125,-0.011156924569488136
2013-04-08,40.86,41.275,40.34,41.25,1099821,0.011773362766740236
2013-04-09,41.35,41.49,40.75,41.16,1851842,-0.0021818181818182847
2013-04-10,41.45,42.14,41.16,42.07,1359495,0.022108843537415046
2013-04-11,42.65,43.77,42.57,42.8,2970179,0.01735203232707394
2013-04-12,42.41,42.6,41.37,41.81,1825293,-0.023130841121495216
2013-04-15,41.47,41.7,40.32,40.42,2435746,-0.03324563501554656
2013-04-16,40.54,41.52,39.94,41.48,3297310,0.026224641266699544
2013-04-17,41.31,42.34,41.22,41.5,4360199,0.00048216007714563247
2013-04-18,41.88,42.0,41.12,41.28,2690583,-0.005301204819277094
2013-04-19,41.37,41.92,40.83,41.63,1523493,0.008478682170542706
2013-04-22,41.66,42.27,40.68,41.85,2334000,0.005284650492433318
2013-04-23,42.2,43.0,41.905,42.52,2372445,0.016009557945041886
2013-04-24,42.44,43.24,42.4217,43.03,1806805,0.011994355597365836
2013-04-25,44.0,46.72,44.0,45.62,4853475,0.06019056472228668
2013-04-26,45.46,46.38,45.18,45.67,4278667,0.0010960105217010518
2013-04-29,45.7,45.87,45.42,45.58,3483122,-0.0019706590759799303
2013-04-30,45.57,46.39,45.41,46.22,3481070,0.014041246160596765
2013-05-01,45.95,46.14,45.44,45.6,2560615,-0.013414106447425356
2013-05-02,45.95,46.36,45.47,45.65,2559830,0.0010964912280702066
2013-05-03,46.02,46.45,45.878,46.01,2657861,0.007886089813800679
2013-05-06,46.16,46.5,45.81,46.28,1549666,0.005868289502282131
2013-05-07,46.27,46.4,45.625,46.05,1867540,-0.004969749351771857
2013-05-08,45.85,47.1,45.67,46.81,2739426,0.016503800217155362
2013-05-09,46.54,47.39,46.51,47.23,1603414,0.008972441785943142
2013-05-10,47.15,47.39,46.79,46.92,1135218,-0.006563624814736269
2013-05-13,46.98,47.11,46.55,46.93,1344342,0.00021312872975265407
2013-05-14,46.87,47.68,46.81,47.52,1567323,0.012571915619007168
2013-05-15,47.29,48.37,47.24,48.18,2030558,0.01388888888888884
2013-05-16,48.1,48.25,47.48,47.54,1943446,-0.01328352013283518
2013-05-17,47.77,48.11,47.76,48.04,1833652,0.010517458981909922
2013-05-20,47.83,48.25,47.68,47.94,1422708,-0.002081598667776907
2013-05-21,47.97,48.12,47.73,47.92,1066103,-0.0004171881518564291
2013-05-22,47.95,48.14,46.625,46.95,1800359,-0.02024207011686141
2013-05-23,46.59,46.95,46.336000000000006,46.81,1532742,-0.002981895633652809
2013-05-24,46.36,46.75,46.16,46.61,986700,-0.0042725913266397075
2013-05-28,47.2,47.795,46.54,47.52,1235012,0.019523707358935827
2013-05-29,47.11,47.61,46.36,46.75,1508579,-0.01620370370370372
2013-05-30,46.96,48.0,46.81,47.7,1250330,0.020320855614973432
2013-05-31,47.46,47.8,46.78,46.78,1857122,-0.019287211740042
2013-06-03,47.5,49.13,47.4,48.25,3611362,0.03142368533561357
2013-06-04,48.13,48.27,47.365,47.98,2088345,-0.005595854922279875
2013-06-05,47.78,48.08,47.22,47.28,1950522,-0.014589412255106238
2013-06-06,47.4,47.73,46.83,47.37,1060623,0.001903553299492211
2013-06-07,47.67,48.5,47.53,48.4,1586621,0.021743719653789295
2013-06-10,48.36,48.69,48.22,48.53,1053590,0.0026859504132232814
2013-06-11,47.78,48.1,46.83,46.86,1506957,-0.034411704100556384
2013-06-12,47.42,47.59,46.202,46.38,1912076,-0.010243277848911547
2013-06-13,46.13,47.69,46.12,47.46,2054802,0.023285899094437124
2013-06-14,47.56,47.925,47.01,47.08,895934,-0.008006742520016874
2013-06-17,47.4,47.98,46.95,47.27,1114051,0.004035683942226198
2013-06-18,47.22,47.69,47.22,47.68,1427967,0.008673577321768544
2013-06-19,47.73,48.275,47.1,47.11,1796151,-0.011954697986577223
2013-06-20,46.46,46.7975,44.49,44.81,4215465,-0.048821906177032415
2013-06-21,45.09,45.28,44.49,45.0,2076368,0.004240124972104464
2013-06-24,44.58,44.76,43.35,43.51,3115754,-0.0331111111111112
2013-06-25,44.34,45.49,44.02,45.17,3342327,0.03815214893128016
2013-06-26,45.78,45.868,44.16,44.64,2663559,-0.011733451405800288
2013-06-27,44.92,45.15,44.75,44.84,1611658,0.0044802867383513245
2013-06-28,44.43,44.91,44.11,44.34,2534331,-0.011150758251561088
2013-07-01,44.59,44.86,44.105,44.21,1691630,-0.0029318899413622868
2013-07-02,44.26,45.64,44.15,44.72,3012690,0.011535851617281212
2013-07-03,44.2,45.405,44.13,45.25,1305449,0.011851520572450758
2013-07-05,45.43,46.0,45.34,45.98,1462057,0.016132596685082712
2013-07-08,46.08,46.27,45.42,45.65,1964518,-0.0071770334928229484
2013-07-09,46.18,47.62,45.63,47.5,3705354,0.040525739320920184
2013-07-10,47.61,49.7,47.6,49.52,4765090,0.042526315789473745
2013-07-11,49.93,50.31,49.29,49.98,2796776,0.00928917609046831
2013-07-12,50.0,50.585,49.92,50.43,1147220,0.009003601440576325
