date,open,high,low,close,volume,return
2013-02-08,11.6,11.73,11.53,11.64,6534957,0.0
2013-02-11,11.67,11.76,11.63,11.65,4477580,0.0008591065292096189
2013-02-12,11.65,11.66,11.51,11.55,3759886,-0.008583690987124415
2013-02-13,11.57,11.655,11.54,11.61,3951473,0.0051948051948049745
2013-02-14,11.6,11.6,11.38,11.47,8080751,-0.012058570198104968
2013-02-15,11.53,11.755,11.5,11.6,6955542,0.011333914559720881
2013-02-19,11.64,11.7,11.56,11.7,4931850,0.008620689655172376
2013-02-20,11.66,11.69,11.41,11.43,4587646,-0.023076923076922995
2013-02-21,11.42,11.48,11.31,11.45,6436921,0.0017497812773403787
2013-02-22,11.47,11.63,11.45,11.6,4704042,0.013100436681222849
2013-02-25,11.63,11.72,11.31,11.32,6134503,-0.024137931034482696
2013-02-26,11.35,11.41,11.23,11.4,5916994,0.007067137809187329
2013-02-27,11.38,11.82,11.38,11.82,6345630,0.03684210526315779
2013-02-28,11.82,11.895,11.64,11.7,7956918,-0.010152284263959421
2013-03-01,11.66,11.95,11.66,11.82,5655890,0.010256410256410442
2013-03-04,11.76,12.09,11.745,12.04,8431440,0.018612521150592087
2013-03-05,12.13,12.15,11.98,12.11,8189336,0.005813953488372103
2013-03-06,12.17,12.205,11.98,12.05,5551771,-0.004954582989264988
2013-03-07,11.97,12.12,11.94,12.09,6672692,0.003319502074688785
2013-03-08,12.25,12.3,12.14,12.26,6872234,0.014061207609594728
2013-03-11,12.19,12.33,12.07,12.33,8168469,0.005709624796084833
2013-03-12,12.34,12.46,12.29,12.34,7602797,0.0008110300081103361
2013-03-13,12.35,12.53,12.35,12.45,5648754,0.008914100486223653
2013-03-14,12.46,12.55,12.37,12.55,5133314,0.008032128514056325
2013-03-15,12.52,12.55,12.36,12.38,8399699,-0.013545816733067761
2013-03-18,12.29,12.6,12.14,12.56,4583765,0.01453957996768973
2013-03-19,12.6,12.69,12.49,12.64,4154842,0.006369426751592355
2013-03-20,12.68,12.84,12.62,12.79,5578624,0.011867088607594889
2013-03-21,12.72,12.895,12.72,12.76,5900106,-0.0023455824863173325
2013-03-22,12.79,12.93,12.61,12.87,7440576,0.008620689655172376
2013-03-25,12.95,12.99,12.753,12.86,7223630,-0.0007770007770007137
2013-03-26,12.87,13.06,12.82,12.95,9168058,0.006998444790046632
2013-03-27,12.86,13.25,12.84,13.19,8495010,0.01853281853281863
2013-03-28,13.25,13.575,13.21,13.48,11792267,0.021986353297953176
2013-04-01,13.47,13.51,13.18,13.23,6335593,-0.0185459940652819
2013-04-02,13.19,13.22,12.62,12.68,13026095,-0.04157218442932731
2013-04-03,12.685,12.865,12.48,12.54,11925790,-0.01104100946372244
2013-04-04,12.54,12.85,12.5396,12.8,7572524,0.020733652312599826
2013-04-05,12.6,12.83,12.445,12.81,6813443,0.0007812499999999556
2013-04-08,12.83,12.95,12.64,12.93,7278731,0.00936768149882905
2013-04-09,12.93,13.04,12.79,12.9,6670105,-0.002320185614849146
2013-04-10,12.9,13.14,12.9,13.04,6556748,0.010852713178294504
2013-04-11,13.06,13.25,13.0,13.09,6883500,0.0038343558282210033
2013-04-12,13.06,13.22,13.03,13.15,4890299,0.004583651642475317
2013-04-15,13.11,13.2,12.61,12.67,9394171,-0.03650190114068441
2013-04-16,12.86,13.18,12.81,13.18,8202223,0.04025256511444364
2013-04-17,13.12,13.2,12.9,13.15,6760303,-0.0022761760242792084
2013-04-18,13.16,13.16,12.925,12.98,3735477,-0.012927756653992373
2013-04-19,13.02,13.4,12.96,13.34,4922240,0.027734976887519247
2013-04-22,13.46,13.48,13.11,13.17,7305000,-0.012743628185907019
2013-04-23,13.19,13.45,13.14,13.34,7599893,0.012908124525436548
2013-04-24,13.38,13.45,13.19,13.42,7174342,0.0059970014992503096
2013-04-25,13.52,13.61,13.33,13.42,8004871,0.0
2013-04-26,13.49,13.53,13.3,13.39,5680783,-0.0022354694485841042
2013-04-29,13.45,13.6,13.4,13.54,4950895,0.01120238984316635
2013-04-30,13.55,13.77,13.48,13.7,6787321,0.011816838995568624
2013-05-01,13.71,13.82,13.4,13.48,5852691,-0.016058394160583855
2013-05-02,13.49,13.83,13.48,13.76,5205826,0.020771513353115667
2013-05-03,13.89,14.11,13.83,14.07,7233065,0.022529069767441845
2013-05-06,14.08,14.32,14.03,14.25,4461967,0.012793176972281328
2013-05-07,14.27,14.35,14.21,14.23,6205758,-0.00140350877192974
2013-05-08,14.27,14.49,14.23,14.33,4826823,0.007027406886858767
2013-05-09,14.37,14.42,14.06,14.09,5131502,-0.016748080949057886
2013-05-10,14.11,14.27,14.1,14.16,4964316,0.004968062455642297
2013-05-13,14.15,14.165,13.94,13.95,6762916,-0.014830508474576343
2013-05-14,13.98,14.11,13.96,13.98,9985484,0.0021505376344086446
2013-05-15,13.98,14.47,13.98,14.34,16864701,0.025751072961373245
2013-05-16,14.37,14.49,14.03,14.14,9277100,-0.013947001394700065
2013-05-17,14.35,14.45,14.3,14.38,11500782,0.016973125884016893
2013-05-20,14.38,14.55,14.13,14.25,7905112,-0.009040333796940248
2013-05-21,14.23,14.56,14.23,14.31,12836600,0.004210526315789442
2013-05-22,14.3,14.39,13.96,14.03,7672922,-0.01956673654786867
2013-05-23,13.9,14.4,13.87,14.37,9722836,0.024233784746970688
2013-05-24,14.26,14.35,14.06,14.28,7197366,-0.006263048016701411
2013-05-28,14.4,14.44,14.15,14.27,7823910,-0.0007002801120448154
2013-05-29,14.19,14.28,14.06,14.13,7174147,-0.009810791871058044
2013-05-30,14.18,14.37,14.18,14.27,7007373,0.00990799716914359
2013-05-31,14.22,14.36,14.17,14.17,8744716,-0.00700770847932719
2013-06-03,14.18,14.28,13.8401,14.0,7666781,-0.011997177134791759
2013-06-04,13.99,14.2,13.8,13.92,8438687,-0.005714285714285672
2013-06-05,13.88,13.92,13.58,13.63,8708686,-0.02083333333333326
2013-06-06,13.57,13.685,13.19,13.5,12849141,-0.009537784299339713
2013-06-07,13.65,13.94,13.63,13.88,8502264,0.028148148148148255
2013-06-10,13.94,14.06,13.89,13.98,5085245,0.007204610951008661
2013-06-11,13.82,14.05,13.73,13.95,6520119,-0.0021459227467811592
2013-06-12,14.07,14.1,13.765,13.87,5149801,-0.005734767025089571
2013-06-13,13.85,14.06,13.81,13.98,5776379,0.007930785868781598
2013-06-14,13.92,14.01,13.83,13.87,5130469,-0.007868383404864177
2013-06-17,13.93,13.94,13.66,13.78,7905148,-0.006488824801730297
2013-06-18,13.8,13.9,13.7,13.86,4758845,0.005805515239477588
2013-06-19,13.86,13.87,13.69,13.69,6046956,-0.012265512265512313
2013-06-20,13.56,13.7,13.51,13.53,7673154,-0.011687363038714427
2013-06-21,13.63,13.71,13.3501,13.48,8281397,-0.003695491500369519
2013-06-24,13.35,13.35,13.12,13.31,10732060,-0.01261127596439171
2013-06-25,13.37,13.44,13.29,13.35,6319304,0.003005259203606281
2013-06-26,13.18,13.26,12.92,12.97,9529451,-0.028464419475655367
2013-06-27,13.02,13.2333,12.79,13.04,8318609,0.005397070161911932
2013-06-28,12.99,13.05,12.83,12.89,7520350,-0.011503067484662455
2013-07-01,12.96,13.25,12.94,13.11,4687239,0.01706749418153608
2013-07-02,13.09,13.12,12.67,12.71,6153208,-0.030511060259343914
2013-07-03,12.67,12.88,12.58,12.71,3394121,0.0
2013-07-05,12.77,12.86,12.705,12.79,3729608,0.006294256490951833
2013-07-08,12.86,12.91,12.76,12.91,5467116,0.009382329945269774
2013-07-09,12.97,13.15,12.93,13.1,5029013,0.014717273431448463
2013-07-10,13.09,13.245,12.96,13.14,5330936,0.003053435114503955
2013-07-11,13.2501,13.3275,13.09,13.29,5941157,0.011415525114155223
2013-07-12,13.29,13.48,13.235,13.46,5236974,0.012791572610985735
2013-07-15,13.46,13.57,13.38,13.48,3277078,0.0014858841010401136
2013-07-16,13.52,13.61,13.38,13.4,4149064,-0.005934718100890191
2013-07-17,13.43,13.795,13.16,13.65,8068847,0.018656716417910557
2013-07-18,13.64,13.9,13.54,13.78,8553183,0.00952380952380949
2013-07-19,13.82,13.9,13.72,13.81,4415720,0.002177068214804123
2013-07-22,13.78,13.88,13.74,13.87,3246119,0.004344677769732019
2013-07-23,13.87,13.92,13.731,13.89,4863115,0.0014419610670513006
