date,open,high,low,close,volume,return
2013-02-08,66.22,67.2,65.9,66.48,371596,0.0
2013-02-11,66.56,67.67,66.54,67.26,347471,0.011732851985559511
2013-02-12,67.29,67.49,66.92,67.4,146545,0.0020814748736246447
2013-02-13,67.7,67.86,67.1,67.41,128883,0.00014836795252204382
2013-02-14,67.23,67.86,67.23,67.56,406930,0.0022251891410771663
2013-02-15,67.67,68.18,67.62,67.85,216563,0.00429248075784483
2013-02-19,68.09,68.8,68.08,68.8,240519,0.014001473839351464
2013-02-20,68.83,69.40899999999999,68.73,68.8,371928,0.0
2013-02-21,69.19,69.29,68.66,68.96,472885,0.0023255813953488857
2013-02-22,68.91,69.69,68.8,69.39,340183,0.006235498839907372
2013-02-25,69.54,69.6,68.77,68.78,257290,-0.008790892059374555
2013-02-26,68.96,69.44,68.54,69.14,225300,0.005234079674323988
2013-02-27,69.36,70.16,69.1,69.55,282324,0.005929997107318341
2013-02-28,69.5,69.77,69.3,69.44,542266,-0.001581595974119332
2013-03-01,69.53,70.06,68.95,69.89,490337,0.006480414746543817
2013-03-04,69.74,69.86,69.06,69.18,575210,-0.010158821004435437
2013-03-05,69.54,69.61,68.84,69.06,369465,-0.0017346053772767656
2013-03-06,69.39,69.39,68.65,68.75,462051,-0.004488850275123135
2013-03-07,69.07,69.42,68.28,68.39,363211,-0.005236363636363595
2013-03-08,68.58,68.85,68.07,68.21,356369,-0.0026319637373886096
2013-03-11,68.24,68.36,67.76,68.36,320639,0.002199091042369261
2013-03-12,68.32,68.41,67.7,67.77,223026,-0.008630778232884828
2013-03-13,68.0,68.22,67.45100000000001,68.13,290523,0.005312084993359889
2013-03-14,68.35,69.56,68.18,69.53,330708,0.020548950535740573
2013-03-15,69.28,70.07,69.09,70.02,360603,0.007047317704587774
2013-03-18,69.69,70.84,69.63,70.68,527339,0.009425878320479919
2013-03-19,70.68,70.815,69.89,70.22,423584,-0.006508205998868255
2013-03-20,70.38,70.5,69.61,69.77,578338,-0.006408430646539509
2013-03-21,69.62,70.16,69.01,69.02,383027,-0.010749605847785615
2013-03-22,69.33,69.37,68.31,68.75,480345,-0.003911909591422735
2013-03-25,68.95,69.34,68.5,68.75,252588,0.0
2013-03-26,68.87,69.25,68.82,69.21,252335,0.006690909090909081
2013-03-27,68.99,69.26,68.84,69.02,155742,-0.0027452680248518657
2013-03-28,69.11,69.5,68.795,69.06,280130,0.0005795421616923147
2013-04-01,69.06,69.56,68.96,69.21,574508,0.002172024326672295
2013-04-02,69.64,69.965,69.39,69.45,295248,0.003467706978760532
2013-04-03,69.66,69.839,69.22,69.4,299513,-0.0007199424046075986
2013-04-04,69.68,70.48,69.425,70.32,341711,0.013256484149855696
2013-04-05,70.01,71.14,69.76,71.07,371796,0.010665529010238872
2013-04-08,71.07,71.34,70.81,71.28,196383,0.0029548332629802943
2013-04-09,71.49,72.035,70.99,71.57,304404,0.004068462401795703
2013-04-10,71.12,71.59,70.56,70.59,233955,-0.013692888081598298
2013-04-11,69.88,70.64,69.76,69.9,468234,-0.009774755631109189
2013-04-12,69.83,70.1,69.67,69.85,301330,-0.0007153075822605715
2013-04-15,70.0,70.16,68.78,68.78,448985,-0.015318539727988467
2013-04-16,69.13,69.45,68.91,69.39,241842,0.008868857225937665
2013-04-17,68.05,68.81,68.01,68.27,320540,-0.016140654272950083
2013-04-18,68.45,68.64,68.18,68.33,208200,0.0008788633367511345
2013-04-19,68.55,68.84,68.34,68.72,211208,0.0057075954924630246
2013-04-22,68.87,68.87,68.22,68.6,201754,-0.0017462165308499422
2013-04-23,68.83,68.88,68.23,68.76,148336,0.0023323615160351086
2013-04-24,68.79,69.06,68.48,68.6,399111,-0.002326934264107239
2013-04-25,68.71,68.81,67.93,68.45,165568,-0.0021865889212826506
2013-04-26,68.46,68.66,67.97,67.97,293709,-0.0070124178232287004
2013-04-29,68.31,68.84,68.13,68.7,395901,0.010740032367220875
2013-04-30,68.7,69.08,68.43,68.73,478698,0.0004366812227074579
2013-05-01,68.18,68.81,68.03,68.36,410708,-0.005383384257238499
2013-05-02,68.63,68.85,68.15,68.8,476400,0.0064365125804564105
2013-05-03,69.27,69.92,69.11,69.83,445442,0.014970930232558244
2013-05-06,69.82,70.86,69.7,70.79,361011,0.013747672919948606
2013-05-07,70.72,71.29,70.61,71.24,235497,0.006356830060742835
2013-05-08,71.23,71.62,70.99,71.61,232676,0.005193711398091105
2013-05-09,71.91,71.91,71.3,71.65,203598,0.0005585812037425253
2013-05-10,71.72,72.04,71.38,71.98,204821,0.004605722260990985
2013-05-13,72.1,72.53,71.79,72.4,176031,0.0058349541539317595
2013-05-14,72.39,73.03,72.39,73.01,282623,0.008425414364640949
2013-05-15,72.97,73.3199,72.66,73.2,286250,0.0026023832351731446
2013-05-16,73.03,73.68,73.03,73.59,233626,0.00532786885245895
2013-05-17,73.87,74.19,73.62,73.92,598922,0.004484304932735439
2013-05-20,74.07,74.41,73.86,74.41,357083,0.006628787878787845
2013-05-21,74.6,74.94,74.16,74.29,594750,-0.001612686466872626
2013-05-22,74.18,74.7,72.89,73.27,263104,-0.013729977116704983
2013-05-23,72.5,72.82,71.74,71.96,319863,-0.017879077385014375
2013-05-24,71.82,72.21,71.2,72.06,132839,0.0013896609227350698
2013-05-28,72.45,72.65,70.86,70.94,240470,-0.015542603386067277
2013-05-29,70.24,70.46,68.55,69.6,231340,-0.01888920214265577
2013-05-30,69.67,70.04,68.55,68.67,156793,-0.013362068965517171
2013-05-31,68.59,69.14,67.92,67.97,306534,-0.010193679918450549
2013-06-03,65.76,67.23,65.07,65.89,2435722,-0.030601736060026474
2013-06-04,66.03,67.7,65.7,67.09,1219379,0.018212171801487376
2013-06-05,67.25,67.25,66.29,66.77,500273,-0.004769712326725406
2013-06-06,66.69,67.21,66.08,67.02,449477,0.003744196495432117
2013-06-07,67.02,67.02,65.06,65.81,540026,-0.018054312145628026
2013-06-10,66.03,66.11,65.35,65.55,246122,-0.003950767360583529
2013-06-11,65.26,65.529,64.56,64.69,545037,-0.013119755911517927
2013-06-12,65.11,65.1899,64.01,64.23,1939551,-0.0071108362961816995
2013-06-13,64.21,65.42,64.06,65.26,596648,0.016036120193056114
2013-06-14,65.22,65.81,64.48,64.87,993111,-0.005976095617529875
2013-06-17,65.28,65.84,64.23,64.9,503282,0.0004624633883150153
2013-06-18,64.93,65.7,64.56,65.4,307634,0.007704160246533087
2013-06-19,64.21,65.59,63.32,63.47,419721,-0.02951070336391448
2013-06-20,63.09,63.13,61.15,61.39,626666,-0.032771388057349915
2013-06-21,61.84,62.73,61.05,62.5,1088267,0.018081120703697717
2013-06-24,61.84,63.41,60.88,62.88,719402,0.006080000000000085
2013-06-25,63.45,65.35,62.91,65.1,706749,0.035305343511450316
2013-06-26,65.53,66.5,65.45,66.13,679216,0.015821812596006124
2013-06-27,66.39,67.41,66.1001,67.41,529047,0.019355814305156427
2013-06-28,67.04,68.3,66.65,67.77,1027336,0.005340453938584844
2013-07-01,67.86,68.22,67.1,67.37,350147,-0.005902316659288642
2013-07-02,67.31,68.33,67.05,68.01,597782,0.009499777348968452
2013-07-03,67.5,67.73,66.48,67.3,344454,-0.010439641229231134
2013-07-05,67.33,67.85,65.15,66.32,452957,-0.014561664190193224
2013-07-08,66.35,67.13,65.99,66.35,287234,0.00045235223160444704
2013-07-09,66.39,68.15,66.39,67.85,275153,0.02260738507912574
2013-07-10,67.95,68.01,66.75,67.18,448449,-0.009874723655121431
2013-07-11,67.53,67.85,67.12,67.77,725248,0.008782375707055534
2013-07-12,67.83,67.83,66.95,67.32,272393,-0.006640106241699861
2013-07-15,67.35,67.53,66.77,67.47,169732,0.002228163992870069
2013-07-16,67.34,67.89,67.33,67.89,211874,0.006224988883948512
2013-07-17,68.22,68.41,67.64,68.27,259403,0.005597289733392241
2013-07-18,68.4,69.31,68.16,69.25,324819,0.014354767833602011
2013-07-19,69.02,69.45,68.77,69.19,703023,-0.0008664259927798623
2013-07-22,69.26,69.99,68.96,69.46,489521,0.0039022980199450163
2013-07-23,69.72,69.919,68.9,69.35,227093,-0.0015836452634609977
2013-07-24,69.27,69.3,67.38,67.89,378685,-0.021052631578947323
2013-07-25,67.82,68.305,67.605,68.0,552222,0.0016202680807189118
2013-07-26,67.87,68.34,67.57,68.18,285884,0.0026470588235294468
2013-07-29,68.11,68.46,67.8199,68.11,302718,-0.0010266940451746365
2013-07-30,68.61,68.68,67.73,68.19,293060,0.001174570547643583
2013-07-31,68.65,68.92,66.775,67.55,394219,-0.009385540401818493
2013-08-01,67.6,67.97,65.77,66.25,600686,-0.01924500370096216
2013-08-02,66.43,66.75,65.3202,65.42,345519,-0.012528301886792437
2013-08-05,65.29,66.17,65.29,66.16,263943,0.011311525527361477
2013-08-06,65.92,66.18,64.78,65.08,441250,-0.016324062877871803
2013-08-07,65.09,65.23,64.14,64.32,737543,-0.01167793484941615
2013-08-08,64.62,64.73,63.82,64.59,276687,0.004197761194030036
2013-08-09,64.47,65.835,64.21,65.4,246005,0.012540640966093752
2013-08-12,65.14,65.14,64.028,64.49,314040,-0.01391437308868515
2013-08-13,64.73,64.73,63.18,63.38,193470,-0.01721197084819337
2013-08-14,63.01,63.54,62.92,63.19,228392,-0.002997791101293834
2013-08-15,61.97,62.56,61.76,62.35,339826,-0.013293242601677413
2013-08-16,62.11,62.34,61.01,61.04,424898,-0.02101042502004813
2013-08-19,61.1,61.39,60.72,60.8,288643,-0.003931847968545288
2013-08-20,60.88,62.49,60.88,62.26,585270,0.024013157894736903
2013-08-21,62.01,63.09,61.53,62.26,348484,0.0
2013-08-22,62.47,62.55,61.72,62.48,203741,0.0035335689045936647
2013-08-23,62.55,62.9,62.03,62.9,345448,0.006722151088348394
2013-08-26,62.86,63.178000000000004,62.45,62.59,303864,-0.004928457869634251
2013-08-27,62.14,63.05,61.91,62.85,369546,0.004154018213772037
2013-08-28,62.64,62.92,61.79,61.98,261610,-0.013842482100238751
2013-08-29,61.64,62.02,61.48,61.79,323023,-0.0030655050016134
2013-08-30,61.78,62.36,61.56,61.66,215756,-0.0021039003074931895
2013-09-03,62.14,62.48,60.46,61.04,290274,-0.010055141096334652
2013-09-04,60.94,61.7275,60.75,61.34,211826,0.004914809960681499
2013-09-05,61.18,61.418,60.19,60.4,484562,-0.015324421258558929
2013-09-06,61.255,62.36,60.98,61.45,532209,0.017384105960265073
2013-09-09,61.6,62.56,61.0,62.51,263858,0.017249796582587296
2013-09-10,62.51,62.8,61.88,62.48,239041,-0.0004799232122860708
2013-09-11,62.46,62.93,61.78,62.6,181887,0.001920614596671033
2013-09-12,62.76,63.23,62.19,62.5,339494,-0.0015974440894569453
2013-09-13,62.35,62.91,62.18,62.19,188036,-0.0049600000000000755
2013-09-16,62.9,63.33,62.26,62.44,311781,0.004019938896928865
2013-09-17,62.4,62.8,61.83,61.97,480139,-0.007527226137091558
2013-09-18,61.99,63.52,61.16,63.52,945315,0.025012102630304955
2013-09-19,63.45,65.11,63.0101,64.45,344065,0.014641057934508872
2013-09-20,64.45,64.55199999999999,63.28,63.39,467433,-0.016446858029480205
2013-09-23,63.13,63.52,62.37,62.43,212775,-0.015144344533838172
2013-09-24,62.41,62.43,61.62,61.71,294687,-0.011532916866890952
2013-09-25,61.6,62.16,61.04,61.48,677000,-0.0037271106789823483
2013-09-26,61.58,63.21,61.58,62.8,938806,0.021470396877033116
2013-09-27,62.42,63.18,62.2,63.16,507455,0.005732484076433009
2013-09-30,62.72,63.15,62.03,62.5,468528,-0.010449651678277383
2013-10-01,62.56,63.25,61.94,62.28,13313890,-0.0035199999999999676
2013-10-02,61.82,63.86,61.62,63.72,1385922,0.023121387283236983
2013-10-03,63.56,63.63,61.03,61.59,1891912,-0.03342749529190203
2013-10-04,61.94,62.0,61.02,61.54,972784,-0.0008118201006657166
2013-10-07,61.25,62.48,60.961999999999996,62.17,696533,0.010237244068898255
2013-10-08,62.1,62.47,61.43,61.48,567479,-0.01109860061122736
2013-10-09,61.67,62.31,61.25,61.4,608825,-0.0013012361743656164
2013-10-10,61.08,62.53,61.04,62.5,532463,0.01791530944625408
2013-10-11,62.24,63.41,62.09,63.32,543868,0.01312000000000002
2013-10-14,63.16,63.3,62.25,62.9,801161,-0.006632975363234372
2013-10-15,62.59,62.82,62.1,62.42,385018,-0.007631160572337037
2013-10-16,62.45,63.77,62.45,63.69,570710,0.020346042934956676
2013-10-17,63.38,65.2,63.15,65.06,645201,0.02151044119956036
2013-10-18,64.98,65.38,64.52,65.29,688982,0.0035351982785121194
2013-10-21,65.46,65.74,64.77,65.71,615315,0.006432838106907424
2013-10-22,65.79,66.73,65.6001,66.52,991226,0.012326890884188035
2013-10-23,66.53,66.68,65.93,66.59,525742,0.0010523150932051362
2013-10-24,66.56,66.56,65.33,65.78,561071,-0.012163988586874952
2013-10-25,65.84,67.34,65.747,67.31,468411,0.023259349346305802
2013-10-28,67.15,67.63,66.09,66.97,459494,-0.0050512553855296405
2013-10-29,66.88,66.88,66.2235,66.75,429249,-0.0032850530088098795
2013-10-30,66.63,66.98,66.24,66.7,295642,-0.0007490636704119424
2013-10-31,66.66,67.14,66.03,66.4,655778,-0.004497751124437732
2013-11-01,66.45,66.4925,64.9,65.92,547851,-0.0072289156626507145
2013-11-04,65.59,66.28,65.26,65.8,556073,-0.00182038834951459
2013-11-05,65.52,65.6015,64.06,64.26,516957,-0.023404255319148803
2013-11-06,64.33,65.11,64.16,64.39,386891,0.0020230314347959855
2013-11-07,63.5,64.16,62.53,62.63,822574,-0.027333436869078964
2013-11-08,62.41,62.9,60.64,61.83,1081867,-0.012773431262973034
2013-11-11,61.96,61.99,61.32,61.42,546749,-0.006631085233705258
2013-11-12,61.5,61.61,60.67,61.45,675874,0.0004884402474765182
2013-11-13,61.27,61.82899999999999,60.9,61.54,334291,0.0014646053702196404
2013-11-14,61.89,62.72,61.81,62.28,419604,0.012024699382515491
2013-11-15,62.46,62.84,62.20399999999999,62.52,516647,0.003853564547206201
2013-11-18,62.5,62.91,61.89,62.4,409225,-0.0019193857965451588
2013-11-19,62.21,62.86,61.9875,62.41,534922,0.00016025641025629866
2013-11-20,62.41,62.74,61.16,61.37,439518,-0.016663996154462457
2013-11-21,61.61,61.8,61.05,61.58,453751,0.003421867361903308
2013-11-22,61.62,61.68,60.73,61.44,389452,-0.0022734654108477192
2013-11-25,61.39,61.6,60.685,60.78,404829,-0.0107421875
2013-11-26,60.59,60.79,59.98,60.19,602627,-0.009707140506745704
2013-11-27,60.18,61.25,60.135,61.0,971198,0.013457384947665796
2013-11-29,60.99,60.99,60.12,60.24,328908,-0.012459016393442601
2013-12-02,60.41,60.75,60.01,60.27,531086,0.0004980079681276006
2013-12-03,60.46,60.79,60.23,60.58,387231,0.005143520822963321
2013-12-04,60.5,62.28,60.3,61.47,744145,0.014691317266424475
2013-12-05,61.33,62.19,60.86,62.15,533731,0.011062306816333134
2013-12-06,62.39,62.66,61.86,61.9,633922,-0.004022526146419958
2013-12-09,61.79,62.13,61.4,61.96,520938,0.0009693053311794486
2013-12-10,61.8,62.63,61.8,62.43,570186,0.007585539057456403
2013-12-11,62.39,62.39,60.6,60.74,456017,-0.027070318757007827
2013-12-12,60.46,60.66,59.81,60.25,733771,-0.008067171550872554
2013-12-13,60.55,61.115,59.98,60.2,424704,-0.0008298755186721962
2013-12-16,60.21,60.7,59.88,60.04,424945,-0.0026578073089701393
2013-12-17,60.08,60.51,59.69,60.35,530596,0.005163224516988807
2013-12-18,60.25,60.96,59.4,60.66,539968,0.0051367025683513035
2013-12-19,60.31,60.86,59.23,59.7,754251,-0.015825914935707064
2013-12-20,59.55,60.43,59.55,60.22,811453,0.008710217755443894
2013-12-23,60.58,60.93,60.08,60.28,353866,0.0009963467286615568
2013-12-24,60.14,60.88,60.05,60.68,186653,0.006635700066357053
2013-12-26,60.73,61.2072,60.49,60.52,328363,-0.002636783124587927
2013-12-27,60.53,60.99,60.4032,60.93,244821,0.006774619960343564
2013-12-30,60.81,61.37,60.68,61.19,274170,0.004267191859510966
2013-12-31,61.2,61.43,60.57,60.74,337954,-0.007354142833796318
2014-01-02,60.74,61.43,60.472,61.06,345293,0.0052683569311819944
2014-01-03,61.16,61.94,61.07,61.71,282093,0.010645266950540355
2014-01-06,61.8,62.18,61.41,61.84,497415,0.0021066277750769746
