date,open,high,low,close,volume,return
2013-02-08,103.22,103.88,102.9501,103.8,865757,0.0
2013-02-11,103.46,103.95,103.125,103.53,1131274,-0.0026011560693641744
2013-02-12,103.82,105.005,103.82,104.83,1043706,0.012556746836665633
2013-02-13,104.77,105.43,104.69,104.91,1451698,0.0007631403224268585
2013-02-14,104.61,104.97,104.14,104.21,1676094,-0.006672385854541996
2013-02-15,104.42,104.72,103.12,103.42,2870071,-0.007580846367910898
2013-02-19,103.24,104.59,103.24,103.87,2234866,0.004351189325082272
2013-02-20,103.88,104.24,102.97,103.41,1714941,-0.004428612688938127
2013-02-21,103.0,103.385,101.78,102.8,2009037,-0.005898849240885795
2013-02-22,102.79,103.995,102.13,103.66,1321850,0.008365758754863784
2013-02-25,103.82,104.64,102.12,102.12,1742098,-0.014856260852787906
2013-02-26,102.56,104.41,102.56,104.08,1830653,0.01919310614962777
2013-02-27,103.53,106.31,103.53,105.6,2600723,0.01460415065334364
2013-02-28,105.66,107.03200000000001,105.6,106.13,1993834,0.005018939393939492
2013-03-01,106.02,107.94,105.55,107.46,1867118,0.012531800621878864
2013-03-04,107.26,107.81,106.13,107.39,1642586,-0.0006514051740181825
2013-03-05,107.47,108.78,107.37,108.39,1572303,0.009311853990129348
2013-03-06,108.51,109.47,108.24,108.32,1692416,-0.0006458160346896058
2013-03-07,108.25,109.13,107.83,108.05,1694661,-0.0024926144756277635
2013-03-08,108.54,109.545,108.2,109.32,1458378,0.011753817677001344
2013-03-11,109.22,110.0,109.02,109.76,1691492,0.004024881083058984
2013-03-12,109.64,110.86,109.36,109.85,1664997,0.0008199708454810217
2013-03-13,109.76,111.18,109.708,110.61,1174059,0.006918525261720543
2013-03-14,110.73,111.55,110.73,111.23,1298756,0.005605279811951913
2013-03-15,111.35,111.39,110.11,110.48,2128919,-0.006742785219814751
2013-03-18,109.87,110.17,109.42,109.79,798736,-0.006245474293989806
2013-03-19,108.99,108.99,104.52,106.87,4634886,-0.026596229164769114
2013-03-20,107.35,107.88,106.65,107.05,1878571,0.001684289323476973
2013-03-21,106.77,107.49,106.02,106.7,1051528,-0.0032695002335356715
2013-03-22,107.05,107.96,106.92,107.89,933888,0.011152764761012124
2013-03-25,108.29,108.69,107.43,107.62,1197917,-0.0025025488923903216
2013-03-26,108.25,108.72,107.76,107.93,758015,0.0028805054822524934
2013-03-27,107.46,107.98,107.12,107.76,689621,-0.0015750949689613547
2013-03-28,107.7,108.03,107.31,107.96,1138587,0.0018559762435039762
2013-04-01,107.77,108.35,107.62,107.93,894707,-0.0002778806965542113
2013-04-02,108.4,109.32,108.2,108.49,723997,0.005188548133049142
2013-04-03,108.56,109.0,107.25,107.68,1581153,-0.007466125910221999
2013-04-04,107.59,108.79,107.09,107.95,1095349,0.0025074294205051917
2013-04-05,106.94,107.5,106.48,106.83,1217333,-0.010375173691523853
2013-04-08,106.67,107.55,106.27,106.94,1086838,0.0010296733127399538
2013-04-09,107.18,107.33,106.77,106.83,937746,-0.0010286141761735035
2013-04-10,107.33,107.99,107.29,107.42,909515,0.005522793222877409
2013-04-11,107.65,109.67,107.6425,108.78,1163691,0.012660584621113413
2013-04-12,108.54,109.37,107.88,108.36,968139,-0.0038610038610038533
2013-04-15,107.99,108.58,106.93,106.93,743753,-0.013196751568844478
2013-04-16,107.0,107.82,106.43,107.77,873196,0.00785560647152339
2013-04-17,107.16,107.31,106.35,106.73,1081779,-0.009650180940892539
2013-04-18,106.9,106.9,104.94,105.46,1216198,-0.011899184858990108
2013-04-19,105.9,106.55,104.82,106.25,1232829,0.007490991845249484
2013-04-22,106.04,106.78,105.75,106.02,772074,-0.0021647058823529575
2013-04-23,106.51,107.6947,105.63,106.23,747961,0.0019807583474817925
2013-04-24,106.44,107.15,106.281,107.01,960937,0.007342558599265692
2013-04-25,107.04,108.16,104.58,104.95,1941881,-0.01925053733295956
2013-04-26,104.94,105.37,103.954,104.18,1202743,-0.00733682706050498
2013-04-29,104.17,105.17,102.68,104.49,1282957,0.002975619120752393
2013-04-30,104.45,105.83,103.53,105.82,1487958,0.012728490764666534
2013-05-01,105.81,106.1,105.19,105.75,1153276,-0.0006615006615006136
2013-05-02,106.25,107.44,105.77,107.44,1286519,0.01598108747044913
2013-05-03,108.05,108.6,107.15,108.14,773627,0.006515264333581516
2013-05-06,108.04,109.02,108.0,108.23,859526,0.0008322544849270752
2013-05-07,108.4,108.72,107.78,108.63,1210159,0.0036958329483507413
