date,open,high,low,close,volume,return
2013-02-08,63.66,63.84,63.33,63.63,514283,0.0
2013-02-11,63.69,64.0,63.52,63.94,453844,0.00487191576300483
2013-02-12,64.09,64.2,63.6701,64.09,517231,0.0023459493274946563
2013-02-13,64.5,64.5,63.84,64.09,362148,0.0
2013-02-14,64.25,64.92,64.23,64.39,1003324,0.0046809174598221315
2013-02-15,64.44,65.08,64.43,64.69,527063,0.004659108557229397
2013-02-19,64.88,65.31,64.66,65.01,778010,0.004946668727778825
2013-02-20,64.88,65.56,64.76,65.29,651981,0.004307029687740327
2013-02-21,65.08,65.78,64.97,65.35,997858,0.0009189768724151559
2013-02-22,65.57,66.2,65.41,66.2,481904,0.013006885998469997
2013-02-25,66.32,66.38,65.42,65.42,660404,-0.011782477341389708
2013-02-26,65.64,66.81,65.64,66.61,990919,0.01819015591562212
2013-02-27,66.53,67.44,66.35,67.32,640758,0.010659060201170911
2013-02-28,67.31,67.66,66.92,67.27,1342332,-0.0007427213309565417
2013-03-01,67.15,68.48,66.59,68.39,937310,0.01664932362122795
2013-03-04,68.25,69.26,68.11,69.22,650717,0.012136277233513626
2013-03-05,69.37,69.9886,68.87,69.9,715509,0.009823750361167338
2013-03-06,70.0,70.07,69.38,69.77,1128030,-0.0018597997138770639
2013-03-07,69.96,70.44,69.84,70.15,751478,0.005446466962878205
2013-03-08,70.44,70.44,69.72,70.2,537941,0.0007127583749109156
2013-03-11,70.0,70.4,69.84,70.15,669835,-0.0007122507122506727
2013-03-12,69.96,70.429,69.7,70.35,421111,0.0028510334996434405
2013-03-13,70.35,70.69,70.16,70.34,866909,-0.00014214641080301238
2013-03-14,70.51,71.11,70.395,71.01,557153,0.009525163491612254
2013-03-15,70.71,70.97,70.5199,70.75,848111,-0.0036614561329391115
2013-03-18,70.4,70.87,70.15,70.6,372044,-0.0021201413427562876
2013-03-19,70.75,71.08,70.45100000000001,71.01,321271,0.005807365439093548
2013-03-20,71.4,71.73,71.195,71.71,644532,0.009857766511758737
2013-03-21,71.66,71.79,71.18,71.26,394914,-0.006275275414865278
2013-03-22,71.15,72.245,71.15,72.19,374176,0.013050799887734943
2013-03-25,72.39,72.45,71.57,71.79,342196,-0.005540933647319446
2013-03-26,71.95,72.57,71.82,72.41,366750,0.008636300320378654
2013-03-27,72.03,72.73,71.88,72.65,630091,0.003314459328822128
2013-03-28,72.98,73.69,72.84,73.55,754112,0.0123881624225739
2013-04-01,73.21,73.21,71.955,72.71,816049,-0.011420802175390987
2013-04-02,72.42,73.7,71.66,72.62,761071,-0.001237793976069157
2013-04-03,72.47,72.73,71.47,71.6,840289,-0.014045717433214144
2013-04-04,71.98,72.39,71.41,71.68,692770,0.0011173184357544663
2013-04-05,71.13,71.2,70.47,70.9,784141,-0.010881696428571397
2013-04-08,71.02,71.2,70.42,71.11,504619,0.0029619181946403117
2013-04-09,70.85,71.27,70.38,70.89,703638,-0.0030937983405990854
2013-04-10,71.24,71.59,71.2,71.49,1006281,0.00846381718154876
2013-04-11,71.32,71.85,71.1,71.25,511068,-0.003357112882920621
2013-04-12,71.12,71.8,70.94,71.72,571535,0.006596491228070267
2013-04-15,71.46,71.63,70.54,70.54,651344,-0.016452872281093045
2013-04-16,70.96,72.07,70.8,71.9,978519,0.019279841224836947
2013-04-17,71.48,71.83,71.04,71.41,754989,-0.006815020862308896
2013-04-18,71.45,71.92,71.34,71.46,546581,0.0007001820473322429
2013-04-19,71.75,72.6,71.69,72.3,901105,0.011754827875734675
2013-04-22,71.86,71.94,71.27,71.77,680805,-0.0073305670816044
2013-04-23,71.79,72.33,71.25,72.11,545021,0.004737355440992186
2013-04-24,72.17,72.33,71.53,71.6,692071,-0.007072528082096907
2013-04-25,71.79,72.16,71.6,71.74,477032,0.001955307262569761
2013-04-26,71.77,72.01,71.12,71.2,433643,-0.007527181488709123
2013-04-29,71.3,71.78,71.1,71.64,363490,0.006179775280898747
2013-04-30,71.5,72.08,71.26,71.94,456308,0.0041876046901172526
2013-05-01,71.9,72.65,71.72,71.79,422580,-0.002085070892410279
2013-05-02,71.81,72.85,71.81,72.67,408613,0.012257974648279601
2013-05-03,72.0,72.94,72.0,72.68,575502,0.00013760836658871511
2013-05-06,72.57,72.7,72.1,72.24,340091,-0.006053935057787729
2013-05-07,72.34,73.14,72.26,73.13,349703,0.012320044296788568
2013-05-08,73.03,73.42,72.5564,72.99,385577,-0.001914399015451984
2013-05-09,73.05,73.3564,72.63,72.83,621104,-0.002192081107000865
2013-05-10,72.74,73.28,72.67,73.08,349392,0.0034326513799258773
2013-05-13,73.26,73.9,72.94,73.67,499373,0.00807334428024098
2013-05-14,73.68,74.77,73.68,74.74,473716,0.014524229672865374
2013-05-15,74.65,74.86,74.46,74.76,702088,0.00026759432700029784
2013-05-16,74.58,74.99,74.44,74.51,463649,-0.0033440342429106318
2013-05-17,74.35,74.87,74.19,74.68,777549,0.00228157294322906
2013-05-20,74.68,74.89,74.28,74.36,512584,-0.004284949116229342
2013-05-21,74.33,74.63,74.08,74.34,359061,-0.0002689618074233069
2013-05-22,74.29,75.26,73.86,74.0,381977,-0.004573580844767333
2013-05-23,73.65,73.96,73.3,73.71,496538,-0.003918918918919045
2013-05-24,73.53,74.03,73.17,73.83,404943,0.0016280016280016962
2013-05-28,74.22,74.65,73.54,73.69,452221,-0.0018962481376134654
2013-05-29,73.42,73.48,71.78,71.88,899593,-0.024562355814900294
2013-05-30,71.95,72.02,71.15,71.17,767356,-0.009877573734001
2013-05-31,70.51,70.87,69.08,69.08,1113842,-0.029366306027820754
2013-06-03,69.04,69.99,68.75,69.5,826265,0.006079907353792713
2013-06-04,69.25,70.0099,69.09,69.47,596259,-0.0004316546762590523
2013-06-05,68.93,69.38,68.75,68.84,484753,-0.009068662732114485
2013-06-06,69.0,69.7,68.68,69.7,912906,0.012492736780941316
2013-06-07,69.84,70.96,69.73,70.92,558264,0.017503586800573956
2013-06-10,71.0,71.0,70.16,70.78,691237,-0.001974055273547659
2013-06-11,70.62,71.37,70.12,71.0,472388,0.0031082226617689113
2013-06-12,71.47,71.75,71.14,71.37,963154,0.005211267605633951
2013-06-13,71.51,72.31,71.0,72.13,523760,0.010648731960207325
2013-06-14,72.17,72.54,71.87,72.25,359490,0.0016636628309996127
2013-06-17,72.6,73.1426,72.48,72.8,607933,0.007612456747404739
