date,open,high,low,close,volume,return
2013-02-08,60.2,60.48,59.19,60.3,1226944,0.0
2013-02-11,60.36,61.035,60.21,60.9,1080309,0.00995024875621886
2013-02-12,60.79,61.06,60.47,60.83,941229,-0.0011494252873562871
2013-02-13,61.0,61.3999,60.79,60.81,1489324,-0.00032878513891165806
2013-02-14,60.52,61.28,60.2,61.12,1765526,0.005097845749054253
2013-02-15,61.32,61.83,61.15,61.43,1854302,0.005071989528795839
2013-02-19,61.35,62.05,61.2675,62.03,1521057,0.00976721471593689
2013-02-20,61.98,61.99,61.25,61.26,1423516,-0.012413348379816225
2013-02-21,61.22,61.22,60.52,60.88,1384099,-0.006203068886712293
2013-02-22,61.17,61.945,61.03,61.9,1297205,0.016754270696452078
2013-02-25,62.0,62.08,60.27,60.28,1852670,-0.02617124394184167
2013-02-26,60.4,60.835,60.12,60.63,2619409,0.0058062375580623105
2013-02-27,60.83,62.3,60.63,62.09,1902609,0.024080488207158135
2013-02-28,61.95,62.51,61.86,62.21,1891932,0.0019326783701079098
2013-03-01,61.94,62.28,61.51,62.03,1247804,-0.0028934254942935
2013-03-04,61.76,62.5,61.63,62.5,1325149,0.00757697888118658
2013-03-05,62.69,63.14,62.5001,62.97,1773373,0.007519999999999971
2013-03-06,63.25,63.58,63.025,63.11,1864059,0.0022232809274258525
2013-03-07,63.3,63.44,62.61,62.64,1397291,-0.007447314213278378
2013-03-08,62.87,63.32,62.525,62.75,2083715,0.0017560664112388213
2013-03-11,62.61,62.84,62.52,62.56,1715801,-0.0030278884462151545
2013-03-12,62.51,62.62,61.47,62.13,2106328,-0.006873401534526868
2013-03-13,62.0,62.3,61.67,62.22,1264416,0.0014485755673587786
2013-03-14,62.49,62.57,62.02,62.34,1499800,0.0019286403085825299
2013-03-15,62.21,62.5,62.03,62.07,2215406,-0.0043310875842156316
2013-03-18,61.44,62.1,61.26,61.64,768687,-0.006927662316739136
2013-03-19,61.76,61.976000000000006,61.24,61.67,879570,0.0004866969500325613
2013-03-20,61.95,62.52,61.91,62.4,1399571,0.01183719798929772
2013-03-21,62.13,62.635,61.98,62.43,1173055,0.0004807692307693401
2013-03-22,62.49,63.78,62.47,63.61,1753659,0.01890116930962682
2013-03-25,63.71,63.725,62.87,63.29,1186628,-0.00503065555730231
2013-03-26,63.58,63.75,63.34,63.46,916174,0.002686048348870207
2013-03-27,63.18,63.77,63.01,63.56,900895,0.0015757957768673947
2013-03-28,63.46,64.1,63.31,64.03,1352220,0.0073945877910635005
2013-04-01,63.97,64.23,63.5601,63.7,748191,-0.005153834140246727
2013-04-02,64.0,64.2,63.475,63.7,650641,0.0
2013-04-03,63.58,63.63,62.62,62.8,1611212,-0.014128728414442793
2013-04-04,62.68,63.19,62.5601,62.99,1246141,0.003025477707006452
2013-04-05,62.36,62.83,62.07,62.67,1056780,-0.005080171455786653
2013-04-08,62.59,63.2,62.34,63.17,1155123,0.007978299026647484
2013-04-09,63.3,63.93,63.08,63.64,990711,0.0074402406205476
2013-04-10,63.73,64.72,63.441,64.69,1012346,0.016499057196731615
2013-04-11,64.56,64.72,64.1501,64.63,1109400,-0.0009275003864585019
2013-04-12,64.22,64.58,63.31,63.87,1182006,-0.011759244932693758
2013-04-15,63.38,63.44,61.82,61.83,1611576,-0.03193987787693753
2013-04-16,62.31,63.11,62.02,62.96,1218170,0.018275917839236655
2013-04-17,62.67,62.7625,61.97,62.13,1361435,-0.013182973316391289
2013-04-18,62.39,62.396,61.0601,61.15,1727865,-0.015773378400128824
2013-04-19,61.55,62.25,61.02,61.72,1486593,0.009321340964840497
2013-04-22,61.84,62.065,61.31,61.78,839636,0.0009721322099804919
2013-04-23,61.88,62.0,60.7436,61.75,2326414,-0.00048559404337977785
2013-04-24,54.74,57.1,53.28,56.02,8367382,-0.09279352226720639
2013-04-25,56.06,56.76,55.33,56.39,3657363,0.006604784005712183
2013-04-26,56.31,57.19,56.31,56.8,3535949,0.007270792693739869
2013-04-29,57.01,57.79,56.851000000000006,57.44,2361015,0.011267605633802802
2013-04-30,57.4,57.41,56.55,57.2,2716718,-0.00417827298050133
2013-05-01,57.0,57.48,56.36,56.37,2176084,-0.01451048951048961
2013-05-02,56.42,57.02,56.25,56.89,1843832,0.009224764945893194
2013-05-03,57.23,57.7,57.16,57.29,1766374,0.007031112673580475
2013-05-06,57.03,57.6,56.91,56.95,1940232,-0.005934718100890191
2013-05-07,56.9,57.06,56.6,56.79,2605392,-0.002809482001756014
2013-05-08,56.81,57.36,56.43,57.0,2639500,0.003697834125726329
2013-05-09,56.8,57.08,56.135,56.78,2676615,-0.0038596491228070073
2013-05-10,56.44,56.78,56.09,56.48,2334164,-0.005283550545966964
2013-05-13,56.23,56.53,56.07,56.17,2249038,-0.005488668555240661
2013-05-14,56.01,56.94,56.01,56.89,2238999,0.012818230372084738
2013-05-15,56.68,57.23,56.63,57.1,2239827,0.003691334153629766
2013-05-16,57.1,57.88,56.89,57.53,3030511,0.007530647985989569
2013-05-17,57.51,57.92,57.34,57.84,2295592,0.005388492960194613
2013-05-20,57.62,58.83,57.62,58.25,3507432,0.007088520055325009
2013-05-21,58.68,59.07,57.66,57.77,2685926,-0.008240343347639456
2013-05-22,57.71,58.21,57.19,57.3,2517134,-0.008135710576423816
2013-05-23,57.05,57.85,57.0,57.48,3831940,0.003141361256544517
2013-05-24,57.3,58.03,56.86,57.81,3077321,0.005741127348643182
2013-05-28,58.06,59.0267,58.0401,58.53,2360085,0.012454592631032657
2013-05-29,58.29,58.525,58.0,58.32,1738976,-0.0035879036391593955
2013-05-30,58.46,58.93,58.26,58.54,1413966,0.0037722908093278384
2013-05-31,58.31,59.04,57.95,57.96,2198672,-0.009907755380936134
2013-06-03,58.12,58.58,57.43,57.83,2205450,-0.00224292615596966
2013-06-04,57.7,58.05,57.38,57.41,2051174,-0.007262666436105847
2013-06-05,57.18,57.31,56.25,56.27,2017397,-0.019857167740811588
2013-06-06,56.29,56.92,56.15,56.92,2383556,0.011551448373911422
2013-06-07,57.12,57.42,56.745,56.94,1581834,0.00035137034434296055
2013-06-10,57.0,57.1,56.335,56.61,2161350,-0.005795574288724903
2013-06-11,56.28,57.08,55.97,56.38,1547767,-0.004062886415827527
2013-06-12,56.59,56.678000000000004,56.03,56.26,1499827,-0.0021284143313232695
2013-06-13,56.25,57.29,56.04,57.19,1641721,0.016530394596516063
2013-06-14,57.11,57.5324,56.92,56.93,1518422,-0.004546249344290931
2013-06-17,57.17,57.5,57.08,57.33,1618164,0.007026172492534677
