date,open,high,low,close,volume,return
2013-02-08,40.39,40.39,39.67,39.92,4122007,0.0
2013-02-11,39.63,40.37,39.48,40.24,3761048,0.008016032064128265
2013-02-12,40.37,40.42,40.02,40.11,2498105,-0.003230616302186906
2013-02-13,40.29,40.49,39.8,39.96,2696600,-0.0037397157816005944
2013-02-14,39.73,39.83,39.35,39.54,3923842,-0.010510510510510551
2013-02-15,39.53,39.79,38.73,39.12,8499646,-0.01062215477996964
2013-02-19,39.35,40.47,39.03,40.43,5813156,0.033486707566462215
2013-02-20,40.33,40.4099,39.45,39.51,4458083,-0.022755379668563003
2013-02-21,39.53,39.76,39.11,39.33,3749377,-0.004555808656036442
2013-02-22,39.32,39.67,38.88,39.08,3569927,-0.006356470887363352
2013-02-25,39.17,39.34,38.52,38.52,5917525,-0.014329580348004023
2013-02-26,40.15,40.3,38.83,39.59,10565115,0.02777777777777768
2013-02-27,39.75,40.9,39.62,40.58,6176093,0.025006314725940726
2013-02-28,40.48,41.57,40.27,41.1,6155333,0.012814194184327388
2013-03-01,40.74,41.05,40.36,40.68,6094561,-0.010218978102189857
2013-03-04,40.71,41.82,40.71,41.54,5735468,0.021140609636184804
2013-03-05,41.74,42.18,41.63,41.72,5800284,0.004333172845450095
2013-03-06,41.36,41.665,41.06,41.08,6828005,-0.015340364333652934
2013-03-07,41.12,41.54,40.96,41.23,4119032,0.0036514118792598804
2013-03-08,41.36,41.75,41.12,41.67,2882203,0.01067184089255413
2013-03-11,41.43,41.93,41.3101,41.71,3091726,0.0009599232061434648
2013-03-12,41.5,42.22,41.5,41.97,4044196,0.006233517142172129
2013-03-13,41.96,42.47,41.81,42.11,6586699,0.003335715987610177
2013-03-14,42.28,42.345,41.72,42.15,4636084,0.0009498931370219843
2013-03-15,41.89,42.1,41.38,41.78,6108943,-0.008778173190984506
2013-03-18,41.27,41.77,41.255,41.58,3276022,-0.0047869794159886014
2013-03-19,41.56,41.71,40.89,41.67,5772015,0.0021645021645022577
2013-03-20,41.7,42.775,41.7,42.55,6406928,0.021118310535157114
2013-03-21,42.22,42.89,42.0901,42.17,5898566,-0.008930669800234936
2013-03-22,42.34,42.74,42.32,42.66,3940252,0.011619634811477209
2013-03-25,42.4,42.74,42.17,42.36,4181914,-0.007032348804500654
