date,open,high,low,close,volume,return
2013-02-08,26.93,26.93,26.7,26.92,1271398,0.0
2013-02-11,26.93,27.02,26.88,26.94,1044979,0.0007429420505200568
2013-02-12,26.91,27.05,26.81,27.03,1284261,0.0033407572383072903
2013-02-13,27.01,27.19,27.01,27.18,921047,0.005549389567147456
2013-02-14,27.07,27.2,26.87,26.91,1852920,-0.009933774834437026
2013-02-15,26.86,26.945,26.71,26.78,3143120,-0.004830917874396046
2013-02-19,26.93,27.4,26.81,27.26,3814566,0.017923823749066425
2013-02-20,27.27,27.37,26.98,27.04,2414521,-0.00807043286867215
2013-02-21,26.94,27.07,26.865,26.97,1423799,-0.0025887573964497035
2013-02-22,27.0,27.25,26.95,27.2,1326908,0.008527994067482503
2013-02-25,27.28,27.44,26.88,26.9,1873186,-0.011029411764705954
2013-02-26,27.01,27.18,26.83,27.15,2390684,0.009293680297397744
2013-02-27,27.18,27.465,27.08,27.42,3738244,0.009944751381215644
2013-02-28,27.44,27.78,27.435,27.7,3422457,0.010211524434719177
2013-03-01,27.66,27.96,27.51,27.93,2026708,0.008303249097473042
2013-03-04,27.83,28.27,27.83,28.17,1788206,0.008592910848550073
2013-03-05,28.28,28.35,28.195,28.32,1479914,0.005324813631522929
2013-03-06,28.38,28.45,28.12,28.24,1493533,-0.0028248587570621764
2013-03-07,28.25,28.32,28.01,28.03,1378380,-0.007436260623229329
2013-03-08,28.1,28.34,28.04,28.29,2922211,0.009275775954334486
2013-03-11,28.25,28.58,28.25,28.54,1258584,0.00883704489218795
2013-03-12,28.54,28.54,28.255,28.35,1152013,-0.00665732305536082
2013-03-13,28.35,28.44,28.28,28.42,991740,0.0024691358024691024
2013-03-14,28.42,28.5,28.3,28.35,1399131,-0.0024630541871921707
2013-03-15,28.39,28.82,28.28,28.28,3419107,-0.0024691358024691024
2013-03-18,28.09,28.31,27.96,28.1,2921381,-0.006364922206506307
2013-03-19,28.21,28.38,28.14,28.33,1735226,0.008185053380782792
2013-03-20,28.46,28.64,28.41,28.58,1291547,0.008824567596187771
2013-03-21,28.52,28.71,28.42,28.51,1445626,-0.0024492652204337606
2013-03-22,28.53,28.58,28.05,28.39,2456441,-0.00420904945633116
2013-03-25,28.46,28.61,28.26,28.38,1419585,-0.0003522367030645013
2013-03-26,28.46,28.71,28.401,28.63,1825731,0.008809020436927328
2013-03-27,28.58,28.85,28.5,28.77,2048282,0.004889975550122161
2013-03-28,28.64,29.38,28.61,29.34,3726815,0.019812304483837417
2013-04-01,29.21,29.33,29.05,29.17,1973287,-0.005794137695978141
2013-04-02,29.24,29.37,29.12,29.28,2006525,0.0037709976002742174
2013-04-03,29.31,29.41,29.19,29.28,2456845,0.0
2013-04-04,29.3,29.62,29.28,29.62,1644517,0.011612021857923427
2013-04-05,29.41,29.91,29.4,29.87,2073175,0.008440243079000709
2013-04-08,29.85,30.19,29.85,30.18,1476135,0.010378305992634784
2013-04-09,30.23,30.37,29.99,30.17,1925232,-0.0003313452617627055
2013-04-10,30.25,30.66,30.2,30.66,2639017,0.016241299303944245
2013-04-11,30.72,30.78,30.4,30.54,1989695,-0.003913894324853229
2013-04-12,30.5,30.65,30.47,30.63,1098012,0.0029469548133596035
2013-04-15,30.47,30.6,30.02,30.02,2326359,-0.019915115899444946
2013-04-16,30.15,30.52,29.82,30.51,1401163,0.01632245169886759
2013-04-17,30.4,30.49,30.07,30.45,2087452,-0.001966568338249819
2013-04-18,30.53,30.69,30.37,30.67,1866197,0.007224958949096916
2013-04-19,30.8,31.1,30.67,31.09,1206172,0.013694163677861138
2013-04-22,31.09,31.2,30.81,31.04,740400,-0.0016082341588935511
2013-04-23,31.13,31.17,30.77,31.06,2055791,0.0006443298969072142
2013-04-24,31.14,31.39,31.03,31.14,2651860,0.0025756600128783447
2013-04-25,31.24,31.365,31.1,31.17,2346298,0.0009633911368016612
2013-04-26,30.89,31.21,30.76,30.82,2239930,-0.011228745588707123
2013-04-29,30.86,31.23,30.86,31.15,1300415,0.010707332900713684
2013-04-30,30.85,30.97,30.48,30.73,3022188,-0.01348314606741563
2013-05-01,30.76,30.99,30.52,30.61,2382984,-0.0039049788480313152
2013-05-02,30.65,30.77,30.435,30.57,1585162,-0.0013067624959163249
2013-05-03,30.72,30.85,30.43,30.53,2418075,-0.0013084723585213842
2013-05-06,30.54,30.545,30.08,30.18,1650528,-0.011464133639043639
2013-05-07,30.19,30.33,30.09,30.19,1885045,0.00033134526176281653
2013-05-08,30.2,30.25,29.77,29.84,1474012,-0.01159324279562779
2013-05-09,29.84,29.92,28.77,28.85,3934490,-0.0331769436997319
2013-05-10,28.9,28.95,28.53,28.74,3692902,-0.003812824956672567
2013-05-13,28.67,28.885,28.55,28.77,2900555,0.0010438413361169019
2013-05-14,28.73,29.1977,28.68,29.09,4628173,0.011122697254084102
2013-05-15,29.06,30.24,29.06,29.65,4340039,0.01925060158129943
2013-05-16,29.66,29.73,29.43,29.51,2697013,-0.004721753794266315
2013-05-17,29.54,29.79,29.47,29.78,1875749,0.009149440867502578
2013-05-20,29.77,29.875,29.57,29.63,2129654,-0.00503693754197454
2013-05-21,29.58,29.74,29.432,29.6,2882253,-0.0010124873439081306
2013-05-22,29.56,29.72,28.88,29.02,2248373,-0.019594594594594672
2013-05-23,28.73,28.96,28.4372,28.81,3409233,-0.007236388697450025
2013-05-24,28.69,28.78,28.41,28.77,1618808,-0.0013884068031932983
2013-05-28,28.94,29.28,28.68,28.87,1982088,0.003475842891901282
2013-05-29,28.69,28.71,28.33,28.5,2305664,-0.012816072047107774
2013-05-30,28.58,29.09,28.58,28.77,1641389,0.0094736842105263
2013-05-31,28.65,29.145,28.63,28.73,2126079,-0.0013903371567605127
2013-06-03,28.72,28.92,28.261,28.7,1786439,-0.0010442046641142566
2013-06-04,28.65,28.69,28.13,28.27,2087253,-0.01498257839721251
2013-06-05,28.21,28.23,27.96,27.99,1405937,-0.009904492394764763
2013-06-06,28.0,28.38,27.82,28.38,2000732,0.013933547695605508
2013-06-07,28.39,28.65,28.1505,28.53,1639677,0.005285412262156619
2013-06-10,28.57,28.61,28.12,28.43,1405403,-0.003505082369435697
2013-06-11,28.24,28.48,28.13,28.17,1388073,-0.009145269081955565
2013-06-12,28.6,28.6,28.03,28.14,2124678,-0.0010649627263046302
2013-06-13,28.11,28.845,28.03,28.81,2127634,0.023809523809523725
2013-06-14,28.79,29.35,28.7,29.11,2260880,0.01041305102394996
2013-06-17,29.23,29.37,28.97,29.17,1735211,0.0020611473720371087
2013-06-18,29.19,29.46,29.06,29.38,1044467,0.007199177236887122
2013-06-19,29.3,29.52,28.68,28.68,1354755,-0.023825731790333537
2013-06-20,28.48,28.48,27.555,27.62,2392459,-0.03695955369595527
2013-06-21,27.8,28.1684,27.11,28.06,2850097,0.015930485155684293
2013-06-24,27.81,27.96,27.4,27.69,2047677,-0.013186029935851606
2013-06-25,27.78,27.94,27.54,27.86,1910755,0.006139400505597692
2013-06-26,28.05,28.18,27.825,28.1,1970684,0.008614501076812608
2013-06-27,28.24,28.56,28.17,28.43,1626943,0.011743772241992856
2013-06-28,28.44,28.81,28.15,28.64,1991717,0.0073865634892720244
2013-07-01,28.62,28.91,28.37,28.54,2072589,-0.0034916201117318746
2013-07-02,28.47,28.84,28.44,28.7,2126505,0.005606166783461708
2013-07-03,28.58,28.77,28.44,28.62,1017849,-0.0027874564459929863
2013-07-05,28.64,28.7,28.27,28.62,1336235,0.0
2013-07-08,28.73,29.32,28.67,29.24,1423704,0.021663172606568804
2013-07-09,29.41,29.74,29.39,29.71,1814173,0.016073871409028717
2013-07-10,29.69,29.895,29.575,29.89,1905667,0.006058566139347077
2013-07-11,30.13,30.29,29.9,30.14,1655030,0.008364001338240223
2013-07-12,30.09,30.325,29.98,30.29,1023672,0.00497677504976779
2013-07-15,30.22,30.75,30.04,30.73,1440754,0.014526246285903044
2013-07-16,30.72,30.9,30.47,30.64,1185969,-0.0029287341360234587
2013-07-17,30.78,30.91,30.58,30.73,742949,0.002937336814621494
2013-07-18,30.79,30.9899,30.7102,30.94,857020,0.006833712984054774
2013-07-19,31.03,31.195,30.93,30.99,1054704,0.001616031027795728
2013-07-22,30.99,31.22,30.94,31.03,703268,0.001290738948047876
2013-07-23,31.08,31.36,31.03,31.15,1331189,0.0038672252658715767
2013-07-24,31.17,31.22,30.57,30.59,2145670,-0.017977528089887618
2013-07-25,30.51,31.46,30.51,31.44,3276274,0.027786858450474128
2013-07-26,31.33,31.48,31.02,31.43,2094926,-0.00031806615776086566
2013-07-29,31.04,31.22,30.76,30.81,1731009,-0.01972637607381489
2013-07-30,30.95,31.0634,30.68,30.85,1635031,0.0012982797792924217
2013-07-31,30.74,31.16,30.42,30.72,2205580,-0.0042139384116695044
2013-08-01,30.99,31.13,30.8,31.11,1767731,0.0126953125
2013-08-02,31.11,31.26,30.96,31.09,1485843,-0.0006428801028608433
2013-08-05,31.06,31.16,30.83,30.86,1076931,-0.007397877130910224
2013-08-06,30.8,30.84,30.33,30.41,1536968,-0.014581983149708377
2013-08-07,30.31,30.785,30.265,30.59,1846631,0.005919105557382398
2013-08-08,30.69,30.99,30.65,30.76,1299929,0.005557371690094959
2013-08-09,30.76,30.815,30.485,30.67,1180042,-0.0029258777633289768
2013-08-12,30.5,30.66,30.37,30.66,972946,-0.0003260515161396249
2013-08-13,30.64,30.86,30.55,30.81,2091392,0.004892367906066397
2013-08-14,30.71,30.805,30.68,30.79,1839544,-0.0006491398896462108
2013-08-15,30.51,30.65,30.02,30.14,1571494,-0.021110750243585552
2013-08-16,30.05,30.08,29.65,29.81,2174602,-0.010948905109489093
2013-08-19,29.79,29.9,29.39,29.51,1961548,-0.010063737001006268
2013-08-20,29.55,29.99,29.46,29.63,1338908,0.004066418163334307
2013-08-21,29.6,29.6,28.99,29.3,2050402,-0.011137360782990102
2013-08-22,29.32,29.47,29.2,29.38,1274925,0.0027303754266210234
2013-08-23,29.42,29.66,29.25,29.63,1057415,0.008509189925119065
2013-08-26,29.61,29.69,29.36,29.38,1004149,-0.00843739453256831
2013-08-27,29.21,29.65,29.2,29.41,1973788,0.0010211027910143056
2013-08-28,29.5,29.6,29.18,29.31,2096757,-0.0034002040122408372
2013-08-29,29.23,29.295,29.07,29.17,1395970,-0.004776526782667934
2013-08-30,29.22,29.31,29.01,29.26,1489801,0.003085361672951592
2013-09-03,29.47,29.6997,28.973000000000003,29.13,2919754,-0.004442925495557137
2013-09-04,29.14,29.2,28.85,29.17,3185031,0.001373154823206324
2013-09-05,29.15,29.19,28.9,29.01,1978548,-0.005485087418580781
2013-09-06,29.11,29.31,29.0,29.11,2666776,0.0034470872113063766
2013-09-09,29.1,29.32,28.97,29.28,1578040,0.005839917554105067
2013-09-10,29.4,29.79,29.3,29.79,1804372,0.01741803278688514
2013-09-11,29.8,29.8,29.295,29.59,2893886,-0.006713662302786139
2013-09-12,29.67,30.07,29.6,29.61,2583760,0.0006759040216288703
2013-09-13,29.75,30.0301,29.63,29.95,1535926,0.011482607227288
2013-09-16,30.32,30.51,30.08,30.15,2116813,0.006677796327211993
2013-09-17,30.14,30.28,29.99,30.25,2824287,0.0033167495854062867
2013-09-18,30.29,30.79,30.15,30.79,3931940,0.01785123966942148
2013-09-19,30.88,31.03,30.41,30.55,3322533,-0.00779473855147772
2013-09-20,30.55,30.59,30.16,30.38,3968184,-0.005564648117839632
2013-09-23,30.3,30.96,30.17,30.83,1709276,0.014812376563528629
2013-09-24,30.86,30.98,30.74,30.84,1845212,0.00032435939020447613
2013-09-25,30.94,31.085,30.64,30.66,1571763,-0.005836575875486361
2013-09-26,30.67,30.8,30.53,30.66,1494640,0.0
2013-09-27,30.55,30.79,30.44,30.67,1731488,0.0003261578604045745
2013-09-30,30.47,30.89,30.46,30.89,2423541,0.007173133355069972
2013-10-01,30.89,31.24,30.73,31.0,1772122,0.0035610229847846675
2013-10-02,30.88,30.96,30.58,30.91,1928516,-0.002903225806451637
2013-10-03,30.74,30.74,30.32,30.51,2048580,-0.012940795858945253
2013-10-04,30.49,30.67,30.47,30.59,1124704,0.002622091117666203
2013-10-07,30.41,30.56,30.2,30.3,1778391,-0.009480222294867557
2013-10-08,30.24,30.6,30.14,30.21,1333794,-0.002970297029702973
2013-10-09,30.22,30.65,30.09,30.16,1887415,-0.0016550810989738318
2013-10-10,30.36,30.72,30.17,30.71,1963404,0.018236074270556957
2013-10-11,30.63,30.85,30.61,30.79,1549001,0.0026050146532072826
2013-10-14,30.7,30.82,30.19,30.82,1548636,0.0009743423189347844
2013-10-15,30.7,30.89,30.28,30.37,1294670,-0.014600908500973397
2013-10-16,30.51,30.9,30.49,30.88,2270869,0.016792887718142913
2013-10-17,30.79,31.36,30.7,31.31,1610375,0.013924870466321293
2013-10-18,31.42,31.84,31.34,31.68,1731220,0.011817310763334365
2013-10-21,31.62,31.72,31.42,31.56,1771949,-0.0037878787878787845
2013-10-22,31.67,32.385,31.61,32.22,2738226,0.02091254752851701
2013-10-23,32.15,32.52,31.95,32.16,2412916,-0.0018621973929237035
2013-10-24,32.2,32.26,31.91,32.13,1658294,-0.0009328358208953169
2013-10-25,32.1,32.33,31.86,32.32,1750300,0.005913476501711701
2013-10-28,32.35,32.47,31.95,32.03,2755064,-0.008972772277227703
2013-10-29,32.03,32.1,31.71,31.95,2622819,-0.0024976584452076622
2013-10-30,31.95,32.21,31.67,31.7,2571537,-0.007824726134585291
2013-10-31,31.65,31.92,31.11,31.52,2527403,-0.005678233438485836
2013-11-01,31.54,31.86,31.48,31.72,1738755,0.006345177664974555
2013-11-04,31.8,31.815,31.385,31.69,1334083,-0.0009457755359394415
2013-11-05,31.6,31.91,31.46,31.58,2623626,-0.0034711265383402523
2013-11-06,31.66,31.89,31.57,31.88,1778034,0.00949968334388851
2013-11-07,31.87,32.06,31.33,31.42,1876841,-0.014429109159347475
2013-11-08,31.31,31.37,30.72,31.32,2097294,-0.0031826861871420142
2013-11-11,31.39,31.43,31.09,31.31,1611256,-0.00031928480204346243
2013-11-12,31.18,31.27,30.785,30.96,1627995,-0.011178537208559547
2013-11-13,30.82,31.53,30.651,31.5,4067088,0.01744186046511631
2013-11-14,31.63,32.21,31.63,32.16,2445567,0.020952380952380834
2013-11-15,32.26,32.47,32.1,32.45,2332897,0.009017412935323543
2013-11-18,32.41,32.6,32.1,32.23,1356220,-0.006779661016949379
2013-11-19,32.17,32.3,31.9,32.03,883478,-0.0062053986968660935
2013-11-20,32.02,32.18,31.53,31.58,1612600,-0.014049328754292989
2013-11-21,31.65,31.66,31.365,31.48,2163991,-0.0031665611146294292
2013-11-22,31.48,32.07,31.4,31.86,2118084,0.012071156289707785
2013-11-25,31.88,32.08,31.73,31.88,2262331,0.0006277463904582614
2013-11-26,31.8601,31.97,31.585,31.76,2678925,-0.0037641154328732496
2013-11-27,31.76,31.9,31.545,31.67,2782376,-0.0028337531486145595
2013-11-29,31.65,31.78,31.58,31.62,791380,-0.001578781180928357
2013-12-02,31.6,31.73,31.32,31.58,1626736,-0.0012650221378874837
2013-12-03,31.46,31.82,31.4,31.66,2319088,0.002533248891703588
2013-12-04,31.56,31.795,31.31,31.77,3161391,0.003474415666456121
2013-12-05,31.69,31.875,31.29,31.31,3226417,-0.014479068303430931
2013-12-06,31.45,31.69,31.34,31.56,1871274,0.007984669434685454
2013-12-09,31.6,31.7,31.38,31.46,1868945,-0.003168567807350975
2013-12-10,31.44,31.47,31.02,31.09,1676595,-0.011760966306420872
2013-12-11,31.21,31.21,30.73,30.8,1534652,-0.009327758121582486
2013-12-12,30.79,31.23,30.7,30.98,1959160,0.005844155844155763
2013-12-13,31.0,31.08,30.83,30.94,1444152,-0.0012911555842478606
2013-12-16,31.02,31.27,30.96,31.08,1483564,0.004524886877828038
2013-12-17,31.07,31.19,30.91,31.06,1974737,-0.0006435006435006052
2013-12-18,31.19,31.69,30.71,31.61,2129690,0.017707662588538398
2013-12-19,31.47,31.56,31.1,31.5,2123051,-0.0034799114204365766
2013-12-20,32.02,33.48,31.84,32.86,10840943,0.0431746031746032
2013-12-23,33.19,33.19,32.39,32.57,3039501,-0.008825319537431486
2013-12-24,32.59,32.78,32.32,32.76,896539,0.005833589192508315
2013-12-26,32.77,32.83,32.43,32.47,1706099,-0.00885225885225882
2013-12-27,32.59,33.03,32.53,32.64,1853291,0.005235602094240788
2013-12-30,32.68,32.94,32.53,32.64,1678858,0.0
2013-12-31,32.72,32.95,32.68,32.88,1363630,0.007352941176470562
2014-01-02,32.84,32.91,32.11,32.29,2244773,-0.01794403892944052
2014-01-03,32.35,32.57,32.165,32.46,1745586,0.005264787860018716
2014-01-06,32.49,33.305,32.39,32.95,3988241,0.015095502156500462
2014-01-07,33.0,33.3,32.93,33.06,4301839,0.0033383915022762167
2014-01-08,32.97,33.11,32.75,32.9,2622472,-0.00483968542044777
2014-01-09,32.95,33.17,32.81,33.09,1874354,0.005775075987842104
2014-01-10,33.27,34.0,33.27,33.67,3042692,0.017527954064672002
2014-01-13,33.52,33.65,33.16,33.24,2525395,-0.01277101277101278
2014-01-14,33.28,33.44,33.0945,33.32,1329885,0.002406738868832692
2014-01-15,33.44,33.56,33.09,33.35,1908806,0.0009003601440575881
2014-01-16,33.35,33.81,33.3,33.81,1911172,0.01379310344827589
2014-01-17,33.83,34.11,33.67,33.89,2172704,0.00236616385684707
2014-01-21,34.18,34.39,34.065,34.32,1490462,0.012688108586603741
2014-01-22,34.35,34.68,34.2901,34.32,2064684,0.0
2014-01-23,34.16,34.36,33.97,34.23,1703726,-0.002622377622377714
2014-01-24,34.06,34.105,33.58,33.59,2728959,-0.018697049371895758
2014-01-27,33.59,33.78,33.45,33.67,1812392,0.0023816612086930977
2014-01-28,33.7,34.19,33.62,34.18,1333009,0.015147015147014997
2014-01-29,34.06,34.2,33.74,33.89,1868691,-0.008484493856056097
2014-01-30,34.02,34.44,34.02,34.26,1921666,0.010917674830333457
2014-01-31,33.89,34.6,33.84,34.37,2814722,0.0032107413893753822
2014-02-03,34.35,34.74,33.77,33.95,2740966,-0.012219959266802305
2014-02-04,34.07,34.17,33.57,33.74,2241594,-0.006185567010309256
2014-02-05,33.61,33.83,33.25,33.75,1927829,0.00029638411381149865
2014-02-06,33.49,33.84,33.4,33.76,1657329,0.000296296296296239
2014-02-07,33.84,34.15,33.83,34.01,1676360,0.007405213270142097
2014-02-10,33.95,34.56,33.69,34.53,1864154,0.015289620699794337
2014-02-11,34.49,34.81,34.35,34.67,1524177,0.00405444540978861
2014-02-12,34.54,34.79,34.47,34.65,1682568,-0.0005768676088838687
2014-02-13,34.47,34.93,34.4,34.77,2397339,0.0034632034632036124
2014-02-14,34.74,35.17,34.48,35.17,2812396,0.011504170261719793
2014-02-18,35.96,36.82,35.29,35.3,3321748,0.0036963321012224437
2014-02-19,35.33,35.88,35.26,35.4,2258922,0.0028328611898016387
2014-02-20,35.4,35.61,35.23,35.31,2614119,-0.0025423728813558366
2014-02-21,35.39,35.525,35.245,35.4,2377846,0.002548853016142605
2014-02-24,35.48,35.67,35.36,35.44,1918352,0.001129943502824915
2014-02-25,35.49,35.71,35.31,35.39,1320934,-0.0014108352144468483
2014-02-26,35.47,35.57,34.88,34.93,1752901,-0.012998022040124346
2014-02-27,34.8,35.27,34.76,34.8,2951222,-0.0037217291726310275
2014-02-28,34.89,35.15,34.72,34.82,2161327,0.0005747126436781436
2014-03-03,34.62,34.72,34.445,34.55,1597906,-0.007754164273406139
2014-03-04,34.85,35.11,34.83,35.03,2275586,0.013892908827785933
2014-03-05,35.04,35.04,34.63,34.68,1706166,-0.009991435912075408
2014-03-06,34.75,34.85,34.415,34.45,2321340,-0.006632064590541997
2014-03-07,34.41,34.76,34.14,34.72,1870666,0.007837445573294577
2014-03-10,34.63,34.79,34.38,34.47,1390442,-0.007200460829493105
2014-03-11,34.49,34.51,33.95,34.19,2149848,-0.008123005512039483
2014-03-12,34.23,34.73,34.19,34.7,1367165,0.014916642293068216
2014-03-13,34.74,35.13,34.65,35.12,2382455,0.012103746397694293
2014-03-14,35.11,35.43,34.98,35.31,2356835,0.005410022779043455
2014-03-17,35.36,35.58,35.2,35.49,1344712,0.005097706032285432
2014-03-18,35.42,35.83,35.36,35.65,1610104,0.004508312200619757
2014-03-19,35.7,35.8,34.92,35.11,1905266,-0.015147265077138816
2014-03-20,34.89,34.97,34.6,34.9,2089926,-0.0059812019367702085
2014-03-21,35.26,35.525,35.03,35.07,3209786,0.004871060171919739
2014-03-24,35.14,35.36,34.85,35.05,1137074,-0.0005702879954377904
2014-03-25,35.11,35.21,34.88,34.99,1122365,-0.0017118402282452205
2014-03-26,35.03,35.33,34.99,35.0,1669268,0.00028579594169753086
2014-03-27,35.0,35.405,34.91,35.36,1307468,0.010285714285714231
2014-03-28,35.35,35.46,35.165,35.35,1784807,-0.0002828054298642524
2014-03-31,35.42,35.66,35.295,35.53,1888467,0.005091937765205001
2014-04-01,35.53,35.757,35.15,35.72,1846916,0.005347593582887722
2014-04-02,35.67,35.89,35.35,35.42,1618644,-0.008398656215005573
2014-04-03,35.5,35.7,35.4,35.43,1630933,0.00028232636928282595
2014-04-04,35.55,36.12,35.245,35.29,2490880,-0.003951453570420593
2014-04-07,35.29,35.625,34.74,34.78,2735404,-0.01445168603003677
2014-04-08,34.71,35.2,34.36,35.13,2465171,0.010063254744105743
2014-04-09,35.22,35.31,34.77,35.17,2601513,0.001138627953316318
2014-04-10,35.2,35.5,34.73,34.88,1757512,-0.00824566391811199
2014-04-11,34.63,35.03,34.63,34.74,2626839,-0.004013761467889898
2014-04-14,34.86,35.17,34.72,34.91,1589872,0.004893494530800124
2014-04-15,34.95,35.6,34.89,35.59,2598944,0.019478659409911447
2014-04-16,35.68,36.3,35.58,36.3,2347376,0.019949423995504256
2014-04-17,36.01,36.53,34.965,35.92,1598638,-0.010468319559228556
2014-04-21,35.86,36.07,35.55,35.71,1059954,-0.005846325167037869
2014-04-22,35.74,35.96,35.59,35.83,1648465,0.0033604032483898205
2014-04-23,35.83,36.22,35.83,35.93,1448116,0.002790957298353325
2014-04-24,36.0,36.08,35.71,35.87,2210667,-0.0016699137211244608
2014-04-25,35.94,36.16,35.82,36.07,1800854,0.005575689991636601
2014-04-28,35.86,36.27,35.64,36.11,2645900,0.0011089548100915447
2014-04-29,36.11,36.38,36.02,36.29,2466031,0.004984768762115843
2014-04-30,36.12,36.47,35.66,36.32,2632891,0.0008266740148801244
2014-05-01,36.42,37.165,36.35,37.02,2437167,0.01927312775330403
2014-05-02,36.82,36.88,36.02,36.24,1977242,-0.021069692058346856
2014-05-05,36.2,36.88,36.2,36.76,1899999,0.014348785871964642
2014-05-06,36.67,36.8125,36.5,36.57,1624673,-0.005168661588683343
2014-05-07,36.57,37.12,36.54,37.07,1734910,0.013672409078479664
2014-05-08,37.04,37.18,36.54,36.54,1372337,-0.014297275424871914
2014-05-09,36.49,36.58,35.87,35.94,1785523,-0.016420361247947546
2014-05-12,36.03,36.0997,35.76,35.99,1720592,0.0013912075681692393
2014-05-13,36.13,36.19,35.78,35.86,1960866,-0.003612114476243433
2014-05-14,35.88,36.63,35.88,36.24,2101846,0.010596765197992353
2014-05-15,36.28,36.49,36.09,36.19,1421700,-0.001379690949227519
2014-05-16,36.25,36.5,36.11,36.48,1942874,0.008013263332412146
2014-05-19,36.49,37.325,36.44,36.84,4392209,0.00986842105263186
2014-05-20,36.82,37.2099,36.395,36.69,2602979,-0.004071661237785129
2014-05-21,36.75,36.87,36.495,36.79,2442819,0.002725538293813168
2014-05-22,36.76,37.34,36.76,37.19,1415186,0.010872519706441874
2014-05-23,37.14,37.43,36.99,37.4,1686092,0.0056466792148426315
2014-05-27,37.63,37.67,37.12,37.15,1810572,-0.006684491978609652
2014-05-28,37.19,37.49,37.08,37.24,1959452,0.0024226110363392284
2014-05-29,37.22,37.32,36.97,37.15,1490203,-0.0024167561761547773
2014-05-30,37.15,37.41,36.99,37.37,2002708,0.005921938088829126
2014-06-02,37.38,37.73,37.26,37.68,1620179,0.008295424137008345
2014-06-03,37.53,37.74,37.41,37.58,1222843,-0.002653927813163537
2014-06-04,37.47,37.855,37.375,37.84,1489784,0.006918573709419951
2014-06-05,37.85,38.16,37.75,37.9,1654309,0.001585623678646897
2014-06-06,38.04,38.05,37.705,37.75,1097563,-0.00395778364116095
2014-06-09,37.68,37.898,37.43,37.48,869287,-0.007152317880794734
2014-06-10,37.37,37.48,37.06,37.08,1520791,-0.010672358591248599
2014-06-11,37.05,37.09,36.62,36.68,1771319,-0.010787486515641764
2014-06-12,36.71,37.03,36.181,36.99,1997896,0.00845147219193021
2014-06-13,36.96,37.21,36.75,37.19,1442435,0.005406866720735204
2014-06-16,37.18,37.9,37.1,37.55,1701323,0.009680021511158987
2014-06-17,37.44,37.7,37.24,37.61,2181271,0.001597869507323546
2014-06-18,37.61,38.31,37.57,38.29,1661085,0.01808029779314002
