date,open,high,low,close,volume,return
2013-02-08,54.39,55.27,54.33,55.22,1669489,0.0
2013-02-11,55.02,55.84,54.815,55.36,2862378,0.0025353132922854016
2013-02-12,56.16,56.77,55.77,56.02,2560872,0.011921965317919225
2013-02-13,56.2,57.1024,56.2,56.7,2853858,0.012138521956444048
2013-02-14,56.58,57.37,56.38,57.35,1881168,0.011463844797178213
2013-02-15,57.31,58.16,57.18,57.71,2983223,0.006277244986922392
2013-02-19,57.84,58.0,57.04,57.29,2867608,-0.007277768151100372
2013-02-20,57.02,57.65,56.98,57.02,1792827,-0.004712864374236236
2013-02-21,56.69,57.05,55.59,56.44,2329898,-0.010171869519466914
2013-02-22,56.59,57.2,56.41,57.2,1710800,0.013465627214741316
2013-02-25,57.49,57.78,56.4,56.4,2230883,-0.013986013986014068
2013-02-26,56.52,57.2,56.13,57.09,2605505,0.012234042553191493
2013-02-27,57.12,57.57,56.49,57.46,1925496,0.006480994920301297
2013-02-28,57.51,57.85,57.28,57.53,1310184,0.0012182387747998735
2013-03-01,56.84,57.33,56.69,57.24,1285050,-0.005040848253085373
2013-03-04,57.04,57.93,56.96,57.88,1778332,0.011180992313067684
2013-03-05,58.12,58.29,57.74,57.84,2033956,-0.0006910850034553828
2013-03-06,57.96,58.11,57.48,57.77,924634,-0.0012102351313969528
2013-03-07,57.91,58.06,57.76,57.96,792694,0.0032889042755754883
2013-03-08,58.13,58.92,58.13,58.83,1024780,0.015010351966873614
2013-03-11,58.78,59.43,58.67,59.29,1167298,0.007819139894611693
2013-03-12,59.2,59.28,58.91,59.13,1272337,-0.0026986001011974903
2013-03-13,59.28,59.64,58.87,59.36,1362071,0.0038897344833417336
2013-03-14,59.51,59.66,59.31,59.57,1338660,0.0035377358490567
2013-03-15,59.45,60.05,59.2,60.05,2307140,0.008057747188181974
2013-03-18,59.37,59.79,58.86,58.95,1591055,-0.018318068276436228
2013-03-19,59.17,59.29,57.93,58.53,1726447,-0.007124681933842303
2013-03-20,58.81,59.15,58.4,58.85,1173829,0.005467281735861862
2013-03-21,58.55,58.74,58.02,58.32,923289,-0.0090059473237043
2013-03-22,58.75,58.84,58.2,58.83,1066747,0.008744855967078191
2013-03-25,59.11,59.11,58.09,58.41,855214,-0.007139214686384565
2013-03-26,58.75,58.935,58.225,58.89,1147309,0.008217770929635382
2013-03-27,58.45,58.81,58.21,58.64,1124767,-0.004245202920699631
2013-03-28,58.73,59.15,58.36,58.9,3103558,0.004433833560709477
2013-04-01,58.78,59.1,58.37,58.88,1006431,-0.0003395585738539264
2013-04-02,59.14,59.77,58.98,59.27,1034165,0.006623641304347894
2013-04-03,59.21,59.34,58.65,59.0,1741007,-0.004555424329340307
2013-04-04,59.18,59.35,58.84,59.19,808900,0.003220338983050741
2013-04-05,58.5,58.87,58.35,58.81,1179231,-0.006420003378949102
2013-04-08,58.83,59.46,58.76,59.46,751576,0.011052542084679429
2013-04-09,59.29,59.42,58.3101,58.72,2366178,-0.012445341405987298
2013-04-10,58.93,59.99,58.873999999999995,59.56,1446526,0.014305177111716638
2013-04-11,59.64,60.18,59.42,60.04,912314,0.008059100067159042
2013-04-12,59.86,60.23,59.645,60.15,914295,0.0018321119253830176
2013-04-15,60.0,60.0,58.77,58.77,2799446,-0.022942643391521078
2013-04-16,59.23,59.91,59.19,59.6,1573721,0.014122851795133506
2013-04-17,59.29,59.65,58.89,59.26,2025403,-0.005704697986577245
2013-04-18,59.13,59.54,57.73,58.01,2424985,-0.02109348633142083
2013-04-19,58.42,58.42,57.83,58.03,2671774,0.00034476814342365714
2013-04-22,58.23,58.91,57.91,58.55,1939649,0.008960882302257334
2013-04-23,58.72,59.84,58.47,59.43,2182548,0.015029888983774553
2013-04-24,59.58,60.2778,59.58,59.88,1432954,0.007571933366986361
2013-04-25,59.95,60.79,59.73,60.34,1742069,0.007682030728122902
2013-04-26,60.38,60.49,59.7,60.02,1877092,-0.00530328140536962
2013-04-29,60.25,60.36,59.61,59.67,2154945,-0.005831389536821052
2013-04-30,59.75,59.77,59.03,59.77,2502249,0.0016758840288251253
2013-05-01,59.78,59.97,59.295,59.3,1191122,-0.00786347666053211
2013-05-02,59.41,59.87,59.36,59.76,1524291,0.007757166947723437
2013-05-03,60.05,60.87,59.57,60.8,1727179,0.01740294511378848
2013-05-06,60.85,61.22,60.4,61.09,1287442,0.004769736842105354
2013-05-07,61.37,61.895,61.08,61.85,1402550,0.012440661319364832
2013-05-08,61.75,62.09,61.54,62.04,1332022,0.003071948261923918
2013-05-09,62.13,62.61,62.11,62.45,1954837,0.006608639587363019
2013-05-10,62.51,63.33,62.485,63.32,1307394,0.013931144915932725
2013-05-13,63.21,63.26,62.56,62.88,1181534,-0.006948831332912131
2013-05-14,62.75,63.41,62.59,63.36,1467136,0.007633587786259444
2013-05-15,63.28,63.78,63.05,63.7,1161615,0.005366161616161769
2013-05-16,63.46,63.78,62.89,62.99,950618,-0.011145996860282614
2013-05-17,62.98,63.375,62.65,63.31,2639435,0.005080171455786653
2013-05-20,63.31,63.78,63.28,63.36,1417818,0.0007897646501342503
2013-05-21,63.55,63.775,62.64,63.0,2611557,-0.005681818181818121
2013-05-22,63.08,63.45,61.82,62.1,2097544,-0.014285714285714235
2013-05-23,61.51,62.16,61.08,61.52,2756276,-0.009339774557165836
2013-05-24,61.29,63.75,60.9901,63.58,4782616,0.033485045513653944
2013-05-28,64.14,64.29,63.24,63.79,2218678,0.003302925448254168
