date,open,high,low,close,volume,return
2013-02-08,33.34,33.6,33.19,33.32,2047082,0.0
2013-02-11,33.28,33.38,33.11,33.32,1874029,0.0
2013-02-12,33.28,33.4901,33.2,33.44,1947476,0.0036014405762303525
2013-02-13,33.2,33.64,33.2,33.53,1721241,0.002691387559808689
2013-02-14,33.48,33.72,33.36,33.72,1964066,0.005666567253205912
2013-02-15,33.66,34.0,33.65,33.97,3188059,0.007413997627520708
2013-02-19,33.95,33.96,33.73,33.93,2293388,-0.0011775095672652558
2013-02-20,33.97,34.05,33.69,33.71,2067674,-0.006483937518420246
2013-02-21,33.65,33.66,32.87,33.01,3844842,-0.02076535152773662
2013-02-22,33.13,33.25,32.96,33.12,2393869,0.003332323538321802
2013-02-25,33.39,33.6225,33.0,33.01,3045710,-0.0033212560386473022
2013-02-26,33.23,33.44,32.88,32.99,3520875,-0.000605877006967459
2013-02-27,32.96,33.24,32.91,33.17,3628262,0.0054561988481358625
2013-02-28,33.15,33.325,33.06,33.105,3224605,-0.001959602050045417
2013-03-01,32.73,33.4,32.73,33.35,2970845,0.0074006947590998795
2013-03-04,33.14,33.545,33.02,33.515,2412538,0.004947526236881439
2013-03-05,33.69,33.99,33.6,33.94,2253296,0.01268088915410992
2013-03-06,34.0,34.09,33.655,33.775,1883169,-0.004861520329994096
2013-03-07,33.84,34.2,33.77,34.06,2913466,0.008438193930422111
2013-03-08,34.24,34.25,33.84,33.99,1901554,-0.002055196711685303
2013-03-11,34.01,34.1072,33.8,33.95,2032689,-0.0011768167107972793
2013-03-12,33.99,34.05,33.76,33.89,1806654,-0.00176730486008847
2013-03-13,34.05,34.185,33.83,34.12,1811302,0.006786662732369386
2013-03-14,34.1,34.26,34.05,34.25,1737401,0.0038100820633060195
2013-03-15,34.13,34.24,33.85,33.99,2971452,-0.007591240875912342
2013-03-18,33.72,34.02,33.65,33.785,1688258,-0.006031185642836334
2013-03-19,33.83,34.02,33.63,33.91,2430114,0.003699866804794949
2013-03-20,34.11,34.47,33.835,34.39,3160189,0.014155116484812824
2013-03-21,34.29,34.29,33.99,34.16,2783707,-0.006687990694969614
2013-03-22,34.19,34.44,34.025,34.44,2151539,0.00819672131147553
2013-03-25,34.49,34.67,34.25,34.35,2769362,-0.00261324041811839
2013-03-26,34.42,34.91,34.42,34.84,2318003,0.014264919941775922
2013-03-27,34.57,34.98,34.48,34.76,2898841,-0.0022962112514353095
2013-03-28,34.83,35.18,34.1,35.06,4963009,0.008630609896432828
2013-04-01,34.86,35.5,34.85,35.33,3701787,0.007701083856246349
2013-04-02,35.61,35.905,35.29,35.87,3392141,0.01528446079818857
2013-04-03,35.89,35.95,35.38,35.46,3064284,-0.01143016448285461
2013-04-04,35.45,35.795,35.42,35.61,1849279,0.004230118443316444
2013-04-05,35.45,35.45,34.65,34.89,3799223,-0.020219039595619215
2013-04-08,34.87,35.06,34.78,35.06,1529821,0.004872456291201033
2013-04-09,35.24,35.3,34.875,35.22,2618624,0.004563605248145919
2013-04-10,35.31,35.84,35.23,35.8,2582803,0.016467915956842605
2013-04-11,35.78,36.16,35.76,36.09,1616307,0.008100558659217993
2013-04-12,36.11,36.14,35.81,36.14,1801670,0.0013854253255749516
2013-04-15,35.85,36.15,35.26,35.34,3425160,-0.022136137244050835
2013-04-16,35.5,35.78,35.37,35.66,2818750,0.009054895302772925
2013-04-17,35.41,35.735,35.245,35.63,3646076,-0.0008412787436902214
2013-04-18,35.79,35.83,35.16,35.33,2526105,-0.008419870895313042
2013-04-19,35.17,35.48,35.17,35.4,2532579,0.0019813189923578722
2013-04-22,35.6,35.71,35.095,35.56,1706411,0.004519774011299438
2013-04-23,35.87,36.07,35.54,36.05,2486733,0.013779527559054872
2013-04-24,36.14,36.2499,35.9799,36.04,1665061,-0.0002773925104021524
2013-04-25,36.17,36.33,36.0609,36.28,1847354,0.006659267480577213
2013-04-26,36.23,36.31,35.85,35.87,2156813,-0.011300992282249234
2013-04-29,35.99,36.25,35.825,36.13,1418935,0.007248396989127492
2013-04-30,36.05,36.42,36.02,36.41,2111113,0.007749792416274381
2013-05-01,36.48,36.63,36.21,36.3,2142735,-0.0030211480362537513
2013-05-02,36.51,36.93,36.37,36.9,2302521,0.016528925619834656
2013-05-03,37.01,37.47,36.64,37.37,2700383,0.012737127371273749
2013-05-06,37.23,37.32,36.96,37.11,1896987,-0.006957452502006856
2013-05-07,37.09,37.26,37.0,37.08,1339762,-0.0008084074373484462
2013-05-08,36.92,37.23,36.92,37.18,1307835,0.0026968716289104133
2013-05-09,37.08,37.59,37.08,37.42,2046912,0.0064550833781602535
2013-05-10,37.52,37.76,37.36,37.74,1509872,0.0085515766969535
2013-05-13,37.62,37.77,37.47,37.53,1279137,-0.005564387917329161
2013-05-14,37.64,38.21,37.635,38.2,2507480,0.01785238475885964
2013-05-15,38.14,38.66,38.06,38.65,3228937,0.011780104712041828
2013-05-16,38.54,38.58,37.905,37.94,2797902,-0.018369987063389437
2013-05-17,38.23,38.54,38.18,38.52,2095045,0.015287295730100237
2013-05-20,38.33,38.52,38.06,38.18,1748074,-0.008826583592938864
2013-05-21,38.17,38.345,38.06,38.195,1499512,0.00039287585123104485
2013-05-22,38.26,38.55,37.77,37.98,1887997,-0.005629009032596
2013-05-23,37.69,38.2,37.69,37.95,1901341,-0.0007898894154816372
2013-05-24,37.76,37.89,37.59,37.86,1715144,-0.002371541501976382
2013-05-28,38.24,38.66,38.16,38.26,1660178,0.010565240359218242
2013-05-29,37.96,38.06,37.56,37.83,2033612,-0.01123889179299531
2013-05-30,37.83,38.05,37.57,37.76,1888519,-0.0018503832936822562
2013-05-31,37.54,38.0,37.23,37.23,3349992,-0.014036016949152574
2013-06-03,37.49,37.69,37.23,37.38,2616273,0.0040290088638197386
2013-06-04,37.44,37.6,36.92,37.1,1818678,-0.0074906367041198685
2013-06-05,37.06,37.11,36.4843,36.66,1820832,-0.011859838274932755
2013-06-06,36.14,36.77,36.14,36.72,2142103,0.0016366612111293755
2013-06-07,36.9,37.19,36.695,37.15,1241906,0.011710239651416154
2013-06-10,37.09,37.26,36.9,37.08,1133549,-0.0018842530282637826
2013-06-11,36.89,37.19,36.72,36.74,1392358,-0.00916936353829545
2013-06-12,36.95,37.01,36.56,36.56,1862017,-0.004899292324441973
2013-06-13,36.63,37.205,36.48,37.11,1602828,0.01504376367614868
2013-06-14,37.07,37.3484,36.95,37.14,1390935,0.0008084074373484462
2013-06-17,37.44,38.0,37.36,37.84,2278588,0.018847603661820145
2013-06-18,37.84,37.93,37.47,37.8,1640863,-0.0010570824524314126
2013-06-19,37.76,37.9,37.34,37.36,1520726,-0.011640211640211562
2013-06-20,36.95,37.19,36.69,36.74,2798525,-0.016595289079229025
2013-06-21,36.96,37.29,36.67,37.17,3338519,0.011703864997278268
2013-06-24,36.99,37.365,36.84,37.235,3213312,0.0017487220877050458
2013-06-25,37.67,37.732,37.14,37.63,2003460,0.010608298643749237
2013-06-26,37.88,38.14,37.62,37.99,2361471,0.00956683497209676
2013-06-27,36.97,37.0,35.745,36.6,7255178,-0.03658857594103715
2013-06-28,36.16,36.77,36.0,36.51,4584865,-0.0024590163934427034
2013-07-01,36.43,36.88,36.32,36.66,2307030,0.004108463434675302
2013-07-02,36.79,37.26,36.62,36.94,2938546,0.007637752318603308
2013-07-03,36.86,37.36,36.81,37.16,903947,0.005955603681645938
2013-07-05,37.5,37.7,37.14,37.61,1219362,0.0121097954790097
2013-07-08,37.99,38.06,37.67,38.04,2509234,0.011433129486838611
2013-07-09,38.2,38.235,37.98,38.15,1674293,0.0028916929547844195
2013-07-10,38.04,38.62,38.04,38.48,1558551,0.0086500655307995
2013-07-11,38.72,38.99,38.71,38.89,1759652,0.010654885654885815
2013-07-12,39.47,39.49,38.89,39.4,2299780,0.013113911031113368
2013-07-15,39.02,39.37,38.98,39.02,1855219,-0.009644670050761306
2013-07-16,39.0,39.22,38.97,39.06,1402832,0.001025115325474113
2013-07-17,39.34,39.34,39.06,39.2,1685429,0.0035842293906809264
2013-07-18,39.25,39.51,39.17,39.36,1366235,0.004081632653061051
2013-07-19,39.44,39.509,39.23,39.35,1688036,-0.0002540650406503975
2013-07-22,39.62,39.65,39.29,39.4,1781991,0.0012706480304955914
2013-07-23,39.66,39.66,39.15,39.2,2017035,-0.0050761421319796
2013-07-24,39.49,39.5,39.04,39.22,1495815,0.0005102040816324926
2013-07-25,39.02,39.275,38.935,39.24,7128288,0.0005099439061704292
2013-07-26,39.0,39.27,38.84,39.27,7355884,0.000764525993883769
2013-07-29,39.12,39.33,39.11,39.27,6125897,0.0
2013-07-30,39.1,39.33,38.88,38.88,2349279,-0.009931245225362928
2013-07-31,39.09,39.59,38.92,39.44,3518912,0.014403292181069727
2013-08-01,39.61,40.48,39.41,40.44,3086693,0.02535496957403649
2013-08-02,40.84,40.84,40.1,40.77,2771722,0.008160237388724179
2013-08-05,40.49,40.619,40.41,40.51,2592635,-0.006377238165317767
2013-08-06,40.39,40.69,40.37,40.52,1832622,0.00024685262898072047
2013-08-07,40.46,40.48,40.1,40.33,1565823,-0.004689042448173808
2013-08-08,40.58,40.58,40.21,40.25,1514217,-0.001983635011157947
2013-08-09,40.07,40.585,40.01,40.4,1627453,0.003726708074534235
2013-08-12,40.1,40.59,40.05,40.36,1203298,-0.000990099009900991
2013-08-13,40.5,40.56,40.16,40.31,1775770,-0.0012388503468779843
2013-08-14,40.36,40.38,39.92,40.02,1479750,-0.007194244604316502
2013-08-15,39.82,39.82,39.46,39.54,1923485,-0.011994002998500841
2013-08-16,39.47,39.58,39.24,39.32,1548450,-0.005563985837126917
2013-08-19,39.27,39.62,39.25,39.36,1318018,0.0010172939979653517
2013-08-20,39.51,39.78,39.32,39.54,1309043,0.004573170731707377
2013-08-21,39.35,39.63,39.06,39.18,1186723,-0.009104704097116834
2013-08-22,39.4,39.63,39.21,39.45,1111690,0.006891271056661541
2013-08-23,39.47,39.59,39.14,39.31,1307370,-0.003548795944233185
2013-08-26,39.31,39.41,39.08,39.13,875836,-0.004578987534978318
2013-08-27,38.72,38.81,38.46,38.47,1539508,-0.016866854076156512
2013-08-28,38.57,38.7,38.46,38.54,1287613,0.0018195996880685517
2013-08-29,38.47,38.83,38.33,38.59,1294289,0.0012973533990661146
2013-08-30,38.51,38.75,38.336,38.68,2261418,0.0023322104172063263
2013-09-03,38.96,39.15,38.34,38.57,1579813,-0.0028438469493278218
2013-09-04,36.8,38.92,36.8,38.84,2072735,0.00700025926886183
2013-09-05,38.77,39.08,38.68,38.95,976996,0.0028321318228630155
2013-09-06,39.1,39.45,38.52,39.17,1440355,0.005648267008985908
2013-09-09,39.34,39.5865,39.15,39.54,964463,0.009446004595353497
2013-09-10,39.7,40.09,39.685,39.99,1344655,0.011380880121396153
2013-09-11,39.94,40.5,39.94,40.49,1603092,0.012503125781445412
2013-09-12,40.35,40.6951,40.26,40.28,1092176,-0.005186465794023265
2013-09-13,40.34,40.425,40.095,40.33,925614,0.0012413108242304016
2013-09-16,40.6,40.85,40.58,40.65,1113277,0.007934540044631788
2013-09-17,40.72,40.79,40.57,40.72,984944,0.0017220172201721784
2013-09-18,40.66,41.16,40.64,40.925,1736343,0.005034381139489064
2013-09-19,41.04,41.15,40.89,41.11,1173412,0.004520464263897406
2013-09-20,41.18,41.24,40.93,40.99,2562244,-0.0029189978107515557
2013-09-23,40.94,41.0,40.38,40.67,2051663,-0.007806782141985824
2013-09-24,40.71,40.87,40.52,40.71,1364672,0.0009835259404966656
2013-09-25,40.63,40.82,40.44,40.59,1363050,-0.0029476787030212614
2013-09-26,40.71,40.99,40.61,40.8,1345627,0.005173688100517104
2013-09-27,40.74,40.77,40.22,40.35,2026272,-0.011029411764705732
2013-09-30,40.01,40.77,40.0,40.64,3242029,0.0071871127633209575
2013-10-01,39.92,40.14,39.47,39.981,4076615,-0.016215551181102295
2013-10-02,39.87,39.94,39.535,39.94,2213385,-0.0010254871063756221
2013-10-03,39.97,39.99,39.43,39.52,2268843,-0.010515773660490613
2013-10-04,39.62,39.69,39.35,39.55,2199765,0.0007591093117407244
2013-10-07,39.37,39.69,39.21,39.66,2266856,0.0027812895069532217
2013-10-08,39.56,39.79,39.5175,39.56,3388595,-0.002521432173474336
2013-10-09,39.58,39.74,39.21,39.42,2788755,-0.00353892821031343
2013-10-10,39.66,40.22,39.61,40.19,2819439,0.019533231861998956
2013-10-11,40.05,40.799,40.04,40.74,1775489,0.013684996267728344
2013-10-14,40.68,40.96,40.5228,40.9,1656028,0.003927344133529687
2013-10-15,40.81,40.82,40.57,40.72,2064090,-0.004400977995109967
2013-10-16,40.84,41.18,40.71,41.17,1990603,0.011051080550098291
2013-10-17,40.98,41.41,40.915,41.4,1566094,0.005586592178770777
2013-10-18,41.43,41.67,41.24,41.63,1579950,0.005555555555555758
2013-10-21,41.51,42.27,41.46,42.26,2291687,0.015133317319240724
2013-10-22,41.93,42.845,41.93,42.72,2584713,0.010884997633696214
2013-10-23,42.55,42.69,42.45,42.66,1729179,-0.001404494382022503
2013-10-24,42.69,42.97,42.64,42.85,1563330,0.004453820909517292
2013-10-25,43.0,43.0,42.7,43.0,1189812,0.003500583430571691
2013-10-28,42.98,43.35,42.81,43.27,1531766,0.006279069767441969
2013-10-29,43.27,43.62,43.0,43.27,2741956,0.0
2013-10-30,41.275,42.91,41.275,42.3,4746803,-0.022417379246591262
2013-10-31,42.23,42.41,42.1,42.265,3021373,-0.0008274231678486732
2013-11-01,42.22,42.45,41.88,41.99,2284486,-0.006506565716313695
2013-11-04,42.24,42.24,41.86,41.995,2370588,0.00011907597046900698
2013-11-05,41.94,42.09,41.6901,41.91,1806653,-0.0020240504822003347
2013-11-06,41.91,42.239,41.72,41.91,2119118,0.0
2013-11-07,42.11,42.25,41.42,41.79,3547719,-0.0028632784538296097
2013-11-08,41.78,42.21,41.72,42.21,1927972,0.01005025125628145
2013-11-11,42.1,42.275,41.95,42.025,1409816,-0.004382847666429823
2013-11-12,41.9,42.21,41.7901,42.2,1717736,0.004164187983343393
2013-11-13,41.27,42.775,41.27,42.765,1981471,0.013388625592416936
2013-11-14,42.84,43.24,42.67,43.12,1572796,0.008301180872208436
2013-11-15,43.11,43.35,42.78,43.33,2011248,0.004870129870129913
2013-11-18,43.48,43.67,43.36,43.43,1858851,0.0023078698361411742
2013-11-19,42.73,43.86,42.11,43.59,2767316,0.0036840893391665297
2013-11-20,43.56,44.0,43.19,43.31,2330916,-0.006423491626519895
2013-11-21,43.52,43.66,43.355,43.63,1946392,0.007388593858231429
2013-11-22,43.93,43.93,43.33,43.5,2892404,-0.0029796011918404863
2013-11-25,43.56,43.76,43.41,43.5,1563272,0.0
2013-11-26,43.61,44.01,43.43,43.74,3274480,0.0055172413793103114
2013-11-27,43.84,43.9399,43.62,43.75,1305312,0.00022862368541365363
2013-11-29,43.69,44.0,43.66,43.73,858044,-0.0004571428571429337
2013-12-02,43.87,43.9168,43.48,43.59,1651507,-0.0032014635261832236
2013-12-03,43.75,44.4,43.57,43.73,4477490,0.00321174581325967
2013-12-04,44.63,44.63,43.25,43.48,3862713,-0.005716899153898947
2013-12-05,43.49,43.49,42.55,42.68,2843181,-0.01839926402943881
2013-12-06,43.25,43.39,42.94,43.37,2187532,0.01616682286785376
2013-12-09,43.47,43.623999999999995,43.15,43.49,2142534,0.002766889554991936
2013-12-10,43.43,43.62,43.27,43.38,3246912,-0.002529317084387195
2013-12-11,43.34,43.49,42.94,43.0,2247748,-0.00875979714153996
2013-12-12,42.92,43.07,42.57,43.01,3086637,0.00023255813953482196
2013-12-13,43.09,43.1,42.52,42.63,3161327,-0.008835154615205676
2013-12-16,42.99,43.317,42.83,43.17,1892378,0.012667135819845132
2013-12-17,43.19,43.19,42.74,42.9,2043511,-0.006254343293954245
2013-12-18,43.01,43.4,42.52,43.32,4191233,0.009790209790209836
2013-12-19,44.25,45.69,44.0,44.9,7014390,0.036472760849492136
2013-12-20,44.84,45.23,44.4299,45.15,3983286,0.0055679287305121505
2013-12-23,45.46,45.49,45.16,45.48,2453504,0.0073089700996678
2013-12-24,45.44,45.53,45.3,45.43,825662,-0.0010993843447668628
2013-12-26,45.64,45.79,45.34,45.64,1128462,0.0046224961479199855
2013-12-27,45.72,45.94,45.5,45.58,951902,-0.0013146362839614456
2013-12-30,45.63,45.69,45.47,45.67,1181511,0.001974550241333972
2013-12-31,45.59,45.74,45.46,45.53,1466197,-0.003065469673746435
2014-01-02,45.44,45.54,44.95,45.06,1853847,-0.010322864045684166
2014-01-03,45.23,45.51,45.0675,45.22,1808913,0.003550821127385584
2014-01-06,45.25,45.66,44.63,44.83,1839936,-0.008624502432551973
2014-01-07,45.86,45.95,44.97,45.09,1975079,0.0057996877091235355
2014-01-08,45.42,45.51,44.57,44.76,5597098,-0.007318695941450515
2014-01-09,44.5,44.81,44.45,44.53,2789993,-0.00513851653261832
2014-01-10,44.49,44.55,44.14,44.37,2889452,-0.003593083314619494
2014-01-13,44.4,44.43,43.37,43.58,2777048,-0.017804823078656717
2014-01-14,43.73,44.115,43.58,43.76,2807327,0.004130335016062414
2014-01-15,43.8,43.95,43.51,43.64,4176464,-0.002742230347349106
2014-01-16,43.64,44.06,43.55,43.95,3093896,0.007103574702108206
2014-01-17,43.79,44.31,43.75,44.1,2729863,0.0034129692832765013
2014-01-21,44.16,44.3,43.73,43.78,2444295,-0.007256235827664437
2014-01-22,43.85,44.01,43.54,43.71,2269842,-0.0015989036089538722
2014-01-23,43.46,43.7,42.96,43.29,2724814,-0.009608785175017176
2014-01-24,43.08,43.16,42.07,42.08,3128429,-0.027951027951027996
2014-01-27,41.47,42.31,41.47,41.88,2235233,-0.004752851711026462
2014-01-28,41.9,42.38,41.7902,42.29,2060324,0.009789875835721107
2014-01-29,42.08,42.315,41.88,42.02,2747587,-0.006384488058642557
2014-01-30,41.82,42.435,41.65,42.28,2157973,0.006187529747739173
2014-01-31,41.6,42.035,41.505,41.82,2806748,-0.010879848628193023
2014-02-03,41.87,41.98,40.35,40.4,3848293,-0.03395504543280736
2014-02-04,40.4,41.12,39.86,40.834,3767721,0.010742574257425863
2014-02-05,40.67,40.83,40.3,40.74,3008154,-0.002302003232600325
2014-02-06,40.7,41.05,40.65,41.01,1621167,0.006627393225331346
2014-02-07,41.88,41.88,40.57,40.9,3725132,-0.002682272616435055
2014-02-10,40.73,40.85,40.57,40.73,3367278,-0.004156479217603981
2014-02-11,41.45,41.45,40.7,41.17,2055301,0.01080284802357001
2014-02-12,41.37,41.68,41.115,41.47,2148767,0.007286859363614173
2014-02-13,41.01,41.65,41.0,41.54,1706996,0.0016879672052085848
2014-02-14,41.36,41.79,41.26,41.59,2083268,0.0012036591237363226
2014-02-18,41.59,41.62,41.31,41.52,2731772,-0.001683096898292824
2014-02-19,41.55,41.97,41.4,41.51,2374106,-0.00024084778420052633
2014-02-20,41.33,41.51,41.01,41.27,2308025,-0.005781739339917991
2014-02-21,41.59,41.77,40.9,41.35,2906661,0.0019384540828688568
2014-02-24,41.33,41.915,41.2701,41.53,1619377,0.004353083434099236
2014-02-25,41.64,41.86,41.24,41.27,2887580,-0.006260534553334862
2014-02-26,41.43,41.89,41.18,41.64,3272197,0.008965350133268712
2014-02-27,41.68,41.73,41.21,41.55,3266141,-0.002161383285302687
2014-02-28,41.45,41.98,41.16,41.76,2444249,0.005054151624548808
2014-03-03,41.55,41.75,40.99,41.18,1773507,-0.01388888888888884
2014-03-04,41.79,42.51,41.72,42.34,2834698,0.028169014084507227
2014-03-05,42.26,42.32,41.79,42.04,1919370,-0.007085498346717123
2014-03-06,42.12,42.2099,41.92,42.02,1592703,-0.0004757373929590303
2014-03-07,42.03,42.94,42.03,42.64,2561121,0.0147548786292242
2014-03-10,42.61,42.75,42.26,42.43,1643753,-0.004924953095684859
2014-03-11,42.5,42.595,42.16,42.31,1032719,-0.0028281876031109876
2014-03-12,42.04,42.42,41.91,42.4,1870504,0.00212715670054342
2014-03-13,42.53,42.53,41.64,41.69,1735954,-0.016745283018867907
2014-03-14,41.73,41.93,41.44,41.82,2033973,0.003118253777884439
2014-03-17,42.2,42.419,41.97,42.24,1279732,0.010043041606886627
2014-03-18,42.41,42.79,42.26,42.68,1492950,0.010416666666666519
2014-03-19,42.68,42.88,42.24,42.57,1677310,-0.002577319587628857
2014-03-20,42.45,43.1,42.32,42.92,2501754,0.008221752407798988
2014-03-21,43.37,43.37,42.605,42.84,4862048,-0.0018639328984155767
2014-03-24,42.98,43.1,42.17,42.35,2115462,-0.011437908496732097
2014-03-25,42.63,42.7,42.02,42.47,1665815,0.0028335301062574203
2014-03-26,42.51,42.68,41.91,41.92,2618918,-0.012950317871438632
2014-03-27,43.22,43.56,41.75,42.52,3501209,0.014312977099236734
2014-03-28,42.58,43.02,42.23,42.56,1856370,0.0009407337723423836
2014-03-31,42.62,42.91,42.46,42.6,2563687,0.0009398496240602405
2014-04-01,42.51,42.53,42.05,42.5,3335129,-0.0023474178403756207
2014-04-02,42.2,42.89,42.19,42.81,3247094,0.007294117647058895
2014-04-03,43.3,43.3,42.27,42.8,2569932,-0.0002335902826443581
2014-04-04,43.06,43.06,41.45,41.47,3184178,-0.03107476635514017
2014-04-07,41.2,41.48,40.7601,41.34,3595536,-0.0031347962382444194
2014-04-08,41.3,41.55,41.04,41.3,2472157,-0.0009675858732464127
2014-04-09,41.4,41.52,40.795,41.24,3022939,-0.0014527845036318432
2014-04-10,41.3,41.62,40.61,40.63,3693699,-0.014791464597478154
2014-04-11,40.48,40.6238,39.795,39.92,3228259,-0.017474772335712596
2014-04-14,40.23,40.4899,39.83,40.3,2021502,0.009519038076152286
2014-04-15,40.2,40.78,40.06,40.68,2672053,0.0094292803970224
2014-04-16,41.08,41.23,40.57,40.88,1881403,0.004916420845624492
2014-04-17,40.79,41.2,40.68,40.93,1589456,0.0012230919765165993
2014-04-21,41.1,41.22,40.7,40.84,1318840,-0.0021988761299779336
2014-04-22,40.68,41.09,40.67,40.99,1499972,0.0036728697355532525
2014-04-23,41.0,41.14,40.86,40.88,1525882,-0.002683581361307641
2014-04-24,41.2,41.25,40.8,40.92,1612892,0.0009784735812132794
2014-04-25,40.72,40.92,40.37,40.39,1546778,-0.01295210166177907
2014-04-28,40.67,40.86,40.18,40.68,1890994,0.007179995048279153
2014-04-29,41.02,41.04,40.77,40.89,1903055,0.005162241887905594
2014-04-30,40.77,41.81,40.69,41.81,2804480,0.022499388603570702
2014-05-01,41.78,41.89,41.33,41.41,1453612,-0.009567089213107005
2014-05-02,40.61,41.74,40.61,41.4,1806914,-0.0002414875633904856
2014-05-05,41.09,41.675,40.91,41.49,1632264,0.0021739130434783593
2014-05-06,41.26,41.47,40.745,40.8,1937113,-0.016630513376717393
2014-05-07,40.81,41.05,40.21,40.45,2954851,-0.008578431372548878
2014-05-08,40.32,40.788000000000004,40.03,40.77,2062800,0.007911001236093895
2014-05-09,40.83,41.03,40.62,40.89,1665220,0.0029433406916850036
2014-05-12,40.96,41.43,40.96,41.31,1505889,0.010271460014673606
2014-05-13,41.32,41.57,41.22,41.35,1570066,0.0009682885499879834
