date,open,high,low,close,volume,return
2013-02-08,164.77,167.0,164.25,165.88,702354,0.0
2013-02-11,180.0,182.59,168.1,170.35,2341949,0.02694719074029428
2013-02-12,170.13,170.8564,167.14,168.18,784932,-0.01273847960082175
2013-02-13,168.49,171.08,167.7701,170.33,869735,0.012783921988345881
2013-02-14,169.65,171.73,163.04,169.24,1156132,-0.006399342452885648
2013-02-15,168.0,168.19,163.05,164.93,861371,-0.02546679272039709
2013-02-19,164.47,165.5,158.61,160.42,1018693,-0.027344934214515337
2013-02-20,160.0,161.0,158.1,158.42,949403,-0.012467273407305801
2013-02-21,158.32,159.73,154.16,159.31,1147132,0.005617977528090012
2013-02-22,159.92,161.41,157.65,160.38,749520,0.006716464754252582
2013-02-25,161.51,163.68,158.5,159.37,789338,-0.0062975433345803244
2013-02-26,159.81,162.16,159.09,161.63,713639,0.014180837045868033
2013-02-27,161.67,165.58,160.5101,164.8,655818,0.019612695662933888
2013-02-28,165.25,169.51,165.25,167.0,714998,0.013349514563106624
2013-03-01,166.65,172.21,165.25,171.73,781769,0.028323353293413067
2013-03-04,171.35,174.25,169.87,172.65,831377,0.005357246840971275
2013-03-05,173.97,175.88,172.27,174.64,729256,0.01152620909354174
2013-03-06,175.3,176.373,173.27,174.55,536068,-0.0005153458543287748
2013-03-07,174.9,175.58,171.5025,171.94,558892,-0.014952735605843648
2013-03-08,173.13,174.17,169.44,172.97,624674,0.005990461788996093
2013-03-11,172.91,173.0975,170.81,171.75,315128,-0.007053246227669563
2013-03-12,171.47,172.31900000000002,168.52,172.19,467715,0.0025618631732169383
2013-03-13,172.45,175.16,171.06400000000002,172.84,505682,0.00377489981996626
2013-03-14,173.72,174.57,171.0,171.93,376753,-0.005264984957185859
2013-03-15,171.82,173.14,170.02,171.84,1140034,-0.000523468853603215
2013-03-18,170.79,171.46,169.03,170.11,392217,-0.010067504655493442
2013-03-19,171.2,177.99,171.2,175.28,791512,0.03039209922991004
2013-03-20,175.58,177.5,174.6,175.514,369593,0.0013350068461890352
2013-03-21,174.6,174.64,171.11,171.33,416084,-0.02383855418940939
2013-03-22,172.35,172.895,170.45,172.4,277163,0.006245257689838191
2013-03-25,172.69,173.17,169.21,170.14,248877,-0.013109048723898065
2013-03-26,171.3,172.28,168.24,169.71200000000002,281482,-0.002515575408486903
2013-03-27,169.25,171.0,168.2,170.9,398230,0.007000094277364033
2013-03-28,170.42,177.75,169.83,176.403,911761,0.032200117027501474
2013-04-01,180.0,180.75,177.1239,178.51,586205,0.011944241311088843
2013-04-02,179.83,185.75,178.95,185.0,987922,0.0363565066382836
