date,open,high,low,close,volume,return
2013-02-08,35.64,35.73,35.3,35.46,957605,0.0
2013-02-11,35.5,35.57,35.32,35.36,850247,-0.0028200789622110367
2013-02-12,35.38,35.4799,35.19,35.31,1021587,-0.001414027149321151
2013-02-13,35.48,35.61,35.13,35.2,988787,-0.0031152647975077885
2013-02-14,35.05,35.25,34.91,35.2,1317882,0.0
2013-02-15,35.28,35.98,35.194,35.52,974419,0.009090909090909038
2013-02-19,35.54,37.15,35.54,36.73,2897940,0.0340653153153152
2013-02-20,36.73,36.83,35.46,35.46,1423305,-0.03457664034848884
2013-02-21,35.13,35.23,34.65,34.72,1351503,-0.020868584320360983
2013-02-22,34.92,35.54,34.88,35.54,1195380,0.023617511520737322
2013-02-25,35.88,36.07,34.79,34.8,1283459,-0.020821609454136247
2013-02-26,34.98,35.13,34.65,34.96,888692,0.0045977011494253706
2013-02-27,34.82,35.67,34.79,35.5,868695,0.01544622425629294
2013-02-28,35.49,35.96,35.35,35.55,989496,0.0014084507042253502
2013-03-01,35.28,35.45,34.89,35.17,1693400,-0.01068917018284099
2013-03-04,35.05,35.16,34.67,34.93,1113162,-0.006823997725334152
2013-03-05,35.07,35.78,34.98,35.67,1249151,0.021185227598053302
2013-03-06,35.86,36.1825,35.7091,35.89,737957,0.006167647883375427
2013-03-07,35.88,35.99,35.66,35.94,426350,0.0013931457230424993
2013-03-08,36.2,36.4999,36.0,36.37,727310,0.01196438508625497
2013-03-11,36.25,36.53,36.23,36.39,608439,0.0005499037668408313
2013-03-12,36.27,36.37,35.654,35.84,1360083,-0.015114042319318455
2013-03-13,35.88,36.22,35.7,36.08,484113,0.006696428571428381
2013-03-14,36.23,36.375,35.97,36.3,599443,0.0060975609756097615
2013-03-15,36.11,36.13,35.67,35.75,1645360,-0.015151515151515027
2013-03-18,35.43,35.76,34.67,35.52,867270,-0.006433566433566296
2013-03-19,35.69,35.87,35.43,35.76,1047889,0.006756756756756577
2013-03-20,35.96,36.78,35.96,36.67,1095714,0.025447427293064928
2013-03-21,36.42,36.815,36.25,36.26,1260358,-0.01118080174529601
2013-03-22,36.45,36.57,36.15,36.39,654076,0.0035852178709321336
2013-03-25,36.46,36.72,36.3099,36.48,594375,0.002473206924979321
2013-03-26,36.59,36.98,36.5,36.98,787135,0.013706140350877138
2013-03-27,36.7,37.06,36.51,37.03,728767,0.0013520822065982152
2013-03-28,37.13,37.59,36.92,37.53,960521,0.013502565487442553
2013-04-01,37.53,37.75,37.19,37.37,1344346,-0.004263256061817322
2013-04-02,37.58,37.59,36.93,37.03,642779,-0.009098207118009016
2013-04-03,37.0,37.1075,36.28,36.67,984807,-0.009721847150958696
2013-04-04,36.62,36.98,36.28,36.48,1071859,-0.005181347150259197
2013-04-05,35.89,35.92,35.19,35.4,1718107,-0.02960526315789469
2013-04-08,35.38,35.805,35.3,35.78,983865,0.010734463276836248
2013-04-09,35.78,35.78,35.37,35.47,681466,-0.00866405813303528
2013-04-10,35.63,36.63,35.63,36.54,775272,0.03016633775021149
2013-04-11,36.6,36.96,36.37,36.65,769665,0.003010399562123789
2013-04-12,36.54,36.68,36.22,36.39,369982,-0.007094133697134963
2013-04-15,36.13,36.19,35.06,35.08,697427,-0.03599890079692225
2013-04-16,35.32,36.035,35.24,35.99,896001,0.025940706955530413
2013-04-17,35.72,35.85,35.03,35.39,1276517,-0.016671297582661837
2013-04-18,35.55,35.6,34.91,35.05,985781,-0.00960723368183114
2013-04-19,35.38,36.85,35.35,36.1,1218666,0.029957203994293913
2013-04-22,36.26,36.87,35.91,36.54,1501091,0.012188365650969368
2013-04-23,36.72,37.0,36.17,36.71,2196148,0.004652435686918421
2013-04-24,34.78,34.78,32.57,33.16,5695914,-0.09670389539634994
2013-04-25,33.21,33.3,32.63,32.9,2833040,-0.007840772014475195
2013-04-26,32.88,32.95,32.35,32.36,1435103,-0.01641337386018238
2013-04-29,32.46,32.8823,32.36,32.79,1201832,0.013288009888751562
2013-04-30,32.8,33.05,32.595,32.82,1406888,0.0009149130832570851
2013-05-01,32.53,32.61,31.21,31.39,2700626,-0.04357099329677028
2013-05-02,31.31,31.765,31.08,31.33,4501469,-0.0019114367633005225
