date,open,high,low,close,volume,return
2013-02-08,45.61,45.84,45.2,45.31,543638,0.0
2013-02-11,45.38,45.53,45.1,45.32,456554,0.00022070183182520964
2013-02-12,45.39,45.55,45.29,45.41,540418,0.001985878199470381
2013-02-13,45.58,45.82,45.29,45.58,506720,0.0037436687954195413
2013-02-14,45.42,45.71,45.211000000000006,45.6,484790,0.0004387889425188085
2013-02-15,45.63,45.63,45.29,45.4,798341,-0.004385964912280715
2013-02-19,45.51,46.3,45.463,46.23,792432,0.01828193832599112
2013-02-20,46.19,46.36,45.36,45.39,547970,-0.018170019467877885
2013-02-21,45.37,45.45,44.406000000000006,44.6,768281,-0.017404714694866708
2013-02-22,44.89,45.19,44.7,44.93,525662,0.007399103139013485
2013-02-25,45.29,45.4086,43.9,43.9,506191,-0.022924549298909414
2013-02-26,44.12,44.2225,43.05,43.83,973390,-0.0015945330296127658
2013-02-27,43.75,44.39,43.73,44.24,424237,0.00935432352270138
2013-02-28,44.26,44.37,43.87,43.88,439879,-0.008137432188065064
2013-03-01,43.48,43.68,43.02,43.39,865850,-0.011166818596171413
2013-03-04,43.21,43.71,42.99,43.68,655613,0.006683567642313815
2013-03-05,43.98,45.05,43.891999999999996,44.76,775459,0.024725274725274637
2013-03-06,44.99,45.26,44.69,45.2,544767,0.009830205540661385
2013-03-07,45.39,46.08,45.1,46.04,946392,0.018584070796460184
2013-03-08,46.32,46.735,46.14,46.68,820395,0.013900955690703709
2013-03-11,46.71,47.11,46.38,46.96,630913,0.005998286203941827
2013-03-12,46.84,46.87,46.52,46.71,486399,-0.005323679727427644
2013-03-13,46.85,47.32,46.6,47.23,359306,0.011132519803039864
2013-03-14,47.39,47.59,47.24,47.55,615361,0.006775354647469811
2013-03-15,47.55,47.83,47.33,47.82,862639,0.005678233438485947
2013-03-18,47.03,47.61,46.98,47.38,550306,-0.009201171058134672
2013-03-19,47.44,47.77,46.95,47.41,749793,0.0006331785563526982
2013-03-20,47.79,48.22,47.55,48.12,664855,0.01497574351402653
2013-03-21,47.65,47.65,45.83,45.99,2177769,-0.04426433915211958
2013-03-22,46.28,46.28,45.67100000000001,45.97,588577,-0.00043487714720602533
2013-03-25,46.24,46.39,45.27,45.59,493502,-0.008266260604742115
2013-03-26,45.93,46.1,45.71,46.0,424395,0.008993200263215595
2013-03-27,45.39,45.82,45.2501,45.7,306594,-0.006521739130434745
2013-03-28,45.83,46.21,45.6,46.1,317932,0.008752735229759168
2013-04-01,45.96,46.38,45.48,45.65,504905,-0.009761388286334105
2013-04-02,45.81,46.015,44.97,45.14,713640,-0.011171960569550943
2013-04-03,45.17,45.29,43.87,44.05,936711,-0.024147097917589844
2013-04-04,44.25,44.62,43.98,44.53,742040,0.010896708286038725
2013-04-05,43.8,44.18,43.36,44.13,609391,-0.008982708286548347
2013-04-08,44.07,44.45,43.84,44.31,555971,0.004078857919782353
2013-04-09,44.42,45.3,44.42,44.93,760041,0.013992326788535348
2013-04-10,45.23,46.44,45.23,46.37,734667,0.03204985533051419
2013-04-11,46.28,46.73,46.01,46.01,602321,-0.007763640284666806
2013-04-12,45.92,46.19,45.66,46.0,524008,-0.0002173440556400008
2013-04-15,45.9,46.1,43.99,44.0,1044865,-0.04347826086956519
2013-04-16,44.6,45.16,44.34,45.11,585562,0.025227272727272654
2013-04-17,44.53,44.62,44.1,44.34,844960,-0.017069385945466586
2013-04-18,44.34,44.51,43.54,43.55,776449,-0.01781686964366269
2013-04-19,43.73,44.3,43.49,44.13,793273,0.013318025258323818
2013-04-22,44.27,44.336000000000006,43.78,44.05,786493,-0.0018128257421257121
2013-04-23,44.46,45.03,44.27,44.7,976958,0.014755959137344066
2013-04-24,44.81,44.9393,44.49,44.64,809607,-0.0013422818791947178
2013-04-25,42.74,42.74,40.11,40.86,4238498,-0.08467741935483875
2013-04-26,40.62,40.93,40.2,40.32,2879286,-0.013215859030836996
2013-04-29,40.4,40.44,39.96,40.24,2099572,-0.001984126984126977
2013-04-30,40.29,41.48,40.27,41.42,2248878,0.029324055666003934
2013-05-01,41.42,41.42,40.24,40.29,1356030,-0.02728150651859007
2013-05-02,40.5,41.65,40.25,41.62,1400622,0.033010672623479786
2013-05-03,42.47,42.7,39.31,42.45,1168207,0.01994233541566559
2013-05-06,42.45,42.65,42.055,42.2,802689,-0.005889281507656108
2013-05-07,42.3,42.31,42.0601,42.31,818956,0.0026066350710900466
2013-05-08,42.3,42.96,42.17,42.93,752878,0.014653746159300374
2013-05-09,42.72,42.94,42.46,42.59,890368,-0.00791986955508961
2013-05-10,42.63,42.77,42.22,42.75,818340,0.003756750410894405
2013-05-13,42.59,42.6,42.2,42.46,1294959,-0.006783625730994114
2013-05-14,42.87,44.04,42.6833,43.88,1616287,0.033443240697126786
2013-05-15,43.82,44.84,43.6,44.64,1348276,0.01731996353691878
2013-05-16,44.74,46.25,44.74,45.71,2680203,0.02396953405017932
2013-05-17,46.02,46.15,45.6,45.68,1378771,-0.0006563115292058663
2013-05-20,45.48,45.8937,45.44,45.72,719001,0.0008756567425569628
2013-05-21,45.0,45.29,44.72,45.17,1183583,-0.012029746281714715
