date,open,high,low,close,volume,return
2013-02-08,76.36,76.74,76.13,76.24,861724,0.0
2013-02-11,76.13,76.24,75.8,75.93,979015,-0.004066107030430088
2013-02-12,76.13,77.87,75.96,77.49,1825631,0.020545239035953955
2013-02-13,77.56,77.64,77.05,77.48,1083623,-0.00012904890953657766
2013-02-14,77.17,78.23,76.94,77.81,1460324,0.004259163655136788
2013-02-15,77.91,79.06,77.65,78.46,1336027,0.008353682046009503
2013-02-19,78.64,79.5,78.64,79.17,1791268,0.009049197043079271
2013-02-20,79.05,79.12,77.55,77.63,1477391,-0.01945181255526096
2013-02-21,76.92,77.458,75.73,76.08,1624287,-0.01996650779337883
2013-02-22,76.46,77.67,76.34,77.44,1085434,0.017875920084121866
2013-02-25,77.93,77.93,75.14,75.14,1387491,-0.02970041322314043
2013-02-26,75.81,76.49,75.08,76.26,2016422,0.01490550971519844
2013-02-27,76.18,78.34,76.18,77.92,1429418,0.021767637031208986
2013-02-28,78.03,79.035,77.8,78.7,1485566,0.010010266940451817
2013-03-01,78.19,78.23,77.2,77.59,1548382,-0.014104193138500642
2013-03-04,77.51,77.51,76.12,77.39,1171527,-0.0025776517592474013
2013-03-05,77.85,78.75,77.6,78.34,1120082,0.012275487789120021
2013-03-06,78.5,79.33,78.15,78.52,2683824,0.002297676793464376
2013-03-07,78.19,78.83,77.96,78.12,804908,-0.005094243504839446
2013-03-08,78.71,79.52,78.08,78.96,1302912,0.01075268817204278
2013-03-11,78.83,79.95,78.65,79.7,1044971,0.00937183383991913
2013-03-12,79.75,79.9,79.33,79.78,1032240,0.0010037641154327925
2013-03-13,79.88,80.6338,79.47,80.17,1443770,0.004888443218851846
2013-03-14,80.38,81.22,80.36,81.09,1260328,0.011475614319570893
2013-03-15,80.62,81.2,80.051,81.17,1773255,0.0009865581452705996
2013-03-18,80.23,81.23,79.66,80.55,3004653,-0.007638290008623927
2013-03-19,80.9,81.42,80.5503,81.29,1465020,0.009186840471756774
2013-03-20,81.76,81.98,81.22,81.61,1286022,0.003936523557633187
2013-03-21,81.1,81.815,80.932,81.18,891144,-0.005268962136992905
2013-03-22,81.36,81.75,80.85,81.57,740418,0.004804138950480263
2013-03-25,81.87,82.43,80.88,81.48,1376889,-0.0011033468186831819
2013-03-26,81.83,82.11,81.16,81.19,826926,-0.0035591556210113895
2013-03-27,80.7,80.7,79.71,79.74,1842341,-0.017859342283532476
2013-03-28,79.76,81.05,79.3,80.97,5135666,0.015425131677953452
2013-04-01,80.77,81.16,79.74,79.83,1489446,-0.014079288625416853
2013-04-02,80.32,80.82,79.33,79.58,1058689,-0.0031316547663785554
2013-04-03,79.44,79.855,78.66,79.1,1531031,-0.0060316662478010485
2013-04-04,79.21,79.51,78.07,78.39,1853850,-0.008975979772439913
2013-04-05,77.38,77.78,76.23,77.56,1854775,-0.010588085214950915
2013-04-08,77.61,77.94,76.74,77.9,1820034,0.004383702939659617
2013-04-09,78.08,78.64,77.37,77.8,1838228,-0.0012836970474968679
2013-04-10,78.0,79.27,77.96,79.18,1559187,0.017737789203084997
2013-04-11,79.17,80.14,78.96,79.75,1126985,0.007198787572619159
2013-04-12,79.44,79.8675,78.78,79.24,704341,-0.0063949843260189265
2013-04-15,78.71,78.78,76.26,76.26,1422738,-0.03760726905603218
2013-04-16,77.2,77.27,76.32,77.09,1372806,0.010883818515604382
2013-04-17,76.5,76.63,75.61,76.42,972711,-0.00869114022571027
2013-04-18,76.42,76.98,75.64,75.91,1224717,-0.006673645642502057
2013-04-19,76.12,76.54,75.895,76.4,1761349,0.006455012514820391
2013-04-22,76.5,76.84,75.84,76.61,1182982,0.002748691099476286
2013-04-23,77.03,77.57,76.2,77.0,1758413,0.005090719227254903
2013-04-24,77.22,78.65,77.2,78.08,1996465,0.014025974025974053
2013-04-25,76.71,77.12,75.01,75.93,3955294,-0.027535860655737543
2013-04-26,75.9,75.97,74.035,74.4,1822894,-0.020150138285262797
2013-04-29,74.54,74.76,74.09,74.48,977111,0.0010752688172042113
2013-04-30,74.23,74.83,73.88,74.81,1332850,0.00443071965628361
2013-05-01,74.61,75.47,74.232,74.36,1427425,-0.006015238604464734
2013-05-02,74.72,75.26,74.54,75.19,888667,0.011161915008068846
2013-05-03,76.12,77.61,76.12,76.65,863525,0.019417475728155553
2013-05-06,76.65,77.16,76.17,77.01,1129822,0.004696673189823919
2013-05-07,77.2,79.09,77.17,78.68,1393259,0.02168549539020903
2013-05-08,78.68,79.9,78.5,79.79,1990351,0.014107778342653754
2013-05-09,79.87,80.185,79.07,79.25,1080371,-0.006767765384133373
2013-05-10,79.49,79.81,79.02,79.73,824723,0.0060567823343848914
2013-05-13,79.66,79.88,79.16,79.52,665487,-0.0026338893766463256
2013-05-14,79.62,81.0,79.62,80.99,795258,0.01848591549295775
2013-05-15,80.39,81.14,80.1,80.95,705941,-0.0004938881343374835
2013-05-16,80.59,81.3,80.34,80.47,1341606,-0.00592958616429895
2013-05-17,80.62,81.82,80.62,80.94,1284285,0.005840685969926707
2013-05-20,80.87,82.0499,80.77,81.33,619749,0.004818383988139274
2013-05-21,81.4,82.3,81.1,81.84,1344279,0.0062707488011803925
2013-05-22,82.07,83.26,81.0,81.23,1532556,-0.0074535679374388986
2013-05-23,80.42,80.57,78.88,79.66,1712479,-0.019327834543887867
2013-05-24,79.19,79.29,78.415,78.74,776325,-0.011549083605322696
2013-05-28,79.44,80.07,79.16,79.87,1609081,0.014351028702057622
2013-05-29,79.41,81.3,78.92,80.85,1614230,0.012269938650306678
2013-05-30,80.3,81.02,79.74,80.24,962633,-0.007544836116264664
2013-05-31,80.02,80.5,79.15,79.22,1336656,-0.012711864406779627
2013-06-03,79.15,79.41,78.06,79.35,1396105,0.0016409997475383964
2013-06-04,79.35,79.8,78.209,78.64,990457,-0.008947700063011932
2013-06-05,78.51,78.575,77.01,77.26,1124292,-0.01754832146490326
2013-06-06,77.45,78.6,77.03,78.43,867978,0.015143670722236546
2013-06-07,78.87,79.87,78.85,79.69,627809,0.016065281142419785
2013-06-10,79.84,80.01,79.09,79.81,682555,0.001505835111055287
2013-06-11,78.89,80.38,78.43,79.54,973548,-0.003383034707430066
2013-06-12,80.32,80.365,78.52,78.68,687750,-0.01081216997736989
2013-06-13,78.59,79.68,78.03,79.45,1021856,0.009786476868327343
2013-06-14,79.35,80.04,79.09,79.42,501076,-0.00037759597230968556
2013-06-17,80.06,80.57,79.5548,80.04,766018,0.007806597834298712
2013-06-18,80.21,81.38,79.8,80.98,941365,0.011744127936031967
2013-06-19,80.99,81.04,79.38,79.38,1102842,-0.01975796492961235
2013-06-20,78.76,78.76,76.94,77.16,1034714,-0.027966742252456545
2013-06-21,77.52,77.74,75.55,76.0,1736853,-0.015033696215655756
2013-06-24,75.27,75.9,73.77,75.05,1664865,-0.012500000000000067
2013-06-25,76.0,76.67,75.9,76.46,832454,0.018787475016655453
2013-06-26,77.11,77.4,76.62,76.83,672497,0.004839131572063948
