date,open,high,low,close,volume,return
2013-02-08,57.21,58.57,57.06,58.11,584427,0.0
2013-02-11,57.3,57.9,56.75,57.38,851132,-0.012562381689898428
2013-02-12,57.22,57.402,56.21,56.3,770993,-0.01882188915998617
2013-02-13,56.54,57.29,56.53,57.28,886522,0.01740674955595023
2013-02-14,57.06,58.04,57.0,57.91,444274,0.010998603351955127
2013-02-15,57.91,58.48,57.25,57.42,825324,-0.008461405629424879
2013-02-19,57.3,57.8,56.78,57.76,899108,0.005921281783350718
2013-02-20,57.63,58.35,56.73,56.79,545219,-0.016793628808864258
2013-02-21,56.85,57.52,56.24,57.03,773103,0.004226096143687297
2013-02-22,57.24,58.04,57.22,57.99,745025,0.016833245660178964
2013-02-25,58.13,58.35,55.94,56.01,901123,-0.03414381789963794
2013-02-26,56.39,56.88,55.3,56.68,1078433,0.01196214961613995
2013-02-27,56.67,58.39,56.52,58.2,964751,0.02681721947777005
2013-02-28,57.92,58.365,57.62,57.89,660085,-0.0053264604810997485
2013-03-01,57.4,58.788999999999994,56.07,58.18,1553726,0.0050095007773363065
2013-03-04,57.7,58.1,57.0,57.34,834403,-0.014437951185974462
2013-03-05,57.67,58.52,57.44,58.41,897692,0.018660620858039545
2013-03-06,58.75,58.75,58.19,58.43,828002,0.0003424071220681224
2013-03-07,58.73,59.8,58.52,59.47,846233,0.01779907581721707
2013-03-08,59.72,60.18,59.24,60.02,907224,0.009248360517908338
2013-03-11,59.94,60.528999999999996,59.9,60.3,831293,0.0046651116294567085
2013-03-12,60.3,60.91,60.14,60.87,527611,0.00945273631840804
2013-03-13,60.8,61.4,60.63,61.16,422739,0.004764251683916587
2013-03-14,61.14,61.71,61.09,61.47,683785,0.005068672334859414
2013-03-15,61.37,62.04,61.1738,62.0,1056540,0.00862209207743625
2013-03-18,61.57,62.29,61.14,61.94,621660,-0.000967741935483879
2013-03-19,62.29,63.1,61.79,62.52,878519,0.009363900548918336
2013-03-20,62.68,63.05,62.22,62.69,774301,0.0027191298784388085
2013-03-21,62.25,62.92,61.84,62.15,375409,-0.008613814005423492
2013-03-22,62.55,62.8,62.24,62.63,337828,0.007723250201126408
2013-03-25,62.9,63.62,62.47,62.72,526944,0.0014370110170844885
2013-03-26,63.07,65.0,62.94,63.84,641474,0.017857142857143016
2013-03-27,63.37,64.78,63.016000000000005,64.38,907371,0.008458646616541277
2013-03-28,64.42,64.7116,63.55,63.87,999612,-0.007921714818266534
2013-04-01,63.88,65.36,63.74,64.92,955856,0.016439643024894313
2013-04-02,65.49,66.45,64.27,64.6,1241723,-0.0049291435613063594
2013-04-03,64.72,64.74,62.26,62.82,1216433,-0.027554179566563364
2013-04-04,62.83,63.47,62.0,62.86,692850,0.0006367398917541678
2013-04-05,61.8,62.64,61.8,62.44,539871,-0.006681514476614692
