date,open,high,low,close,volume,return
2013-02-08,55.51,56.1498,55.51,56.08,394639,0.0
2013-02-11,55.97,56.2899,55.64,55.65,214019,-0.007667617689015693
2013-02-12,55.57,56.65,55.55,56.12,732280,0.008445642407906462
2013-02-13,56.29,56.47,55.75,55.86,751033,-0.004632929436920841
2013-02-14,55.46,55.4999,52.79,54.87,1673716,-0.01772287862513433
2013-02-15,54.85,55.275,54.5,55.03,1055173,0.0029159832330964974
2013-02-19,55.02,55.3299,54.51,54.81,623767,-0.003997819371251987
2013-02-20,54.63,54.76,52.26,52.32,690930,-0.04542966611932131
2013-02-21,51.81,52.39,51.5,51.99,783713,-0.006307339449541205
2013-02-22,52.37,52.77,51.75,51.96,829177,-0.0005770340450086398
2013-02-25,52.4,52.69,49.35,49.48,961381,-0.04772902232486531
2013-02-26,49.99,50.7099,49.35,50.58,725383,0.022231204527081605
2013-02-27,50.52,51.419,50.48,51.1,698928,0.010280743376828827
2013-02-28,51.1,51.42,50.58,50.93,1480497,-0.003326810176125239
2013-03-01,50.55,52.25,49.95,51.99,761765,0.02081288042411167
2013-03-04,51.62,52.33,51.4101,52.1,584178,0.0021157914983651605
2013-03-05,52.48,54.35,52.14,53.69,867998,0.03051823416506716
2013-03-06,53.79,54.11,53.3801,53.5,495902,-0.003538834047308592
2013-03-07,53.57,54.04,53.18,53.98,498730,0.008971962616822315
2013-03-08,54.15,54.91,54.15,54.72,488559,0.013708781030011163
2013-03-11,54.54,54.79,54.14,54.64,427223,-0.0014619883040934978
2013-03-12,54.54,54.89,54.15,54.28,323871,-0.0065885797950219205
2013-03-13,54.29,54.66,54.0,54.45,297098,0.003131908621960333
2013-03-14,54.49,55.37,54.49,54.81,548329,0.006611570247933907
2013-03-15,54.57,54.89,53.94,54.56,661218,-0.004561211457763226
2013-03-18,53.8,54.73,53.78,54.1,374235,-0.008431085043988262
2013-03-19,54.33,54.48,52.84,53.04,401613,-0.019593345656192307
2013-03-20,53.58,53.98,53.19,53.74,295477,0.013197586726998445
2013-03-21,53.71,53.71,52.17,52.25,397779,-0.027726088574618557
2013-03-22,52.16,52.5,51.15,51.43,479719,-0.015693779904306204
2013-03-25,51.71,52.32,51.48,51.5,659496,0.0013610733035194222
2013-03-26,51.71,52.05,50.96,51.5,317642,0.0
2013-03-27,50.89,51.2,50.52,51.09,271745,-0.007961165048543606
2013-03-28,51.14,51.84,50.39,51.7,723505,0.011939714229790566
2013-04-01,51.7,51.7,50.03,50.24,295090,-0.028239845261121888
2013-04-02,50.56,50.6,48.78,48.92,514857,-0.026273885350318493
2013-04-03,49.05,49.27,47.58,48.21,704083,-0.01451349141455438
2013-04-04,48.24,48.89,48.14,48.47,431715,0.005393071976768304
2013-04-05,47.56,48.92,47.54,48.83,526831,0.0074272746028472
2013-04-08,48.94,49.365,48.33,48.93,515605,0.002047921359819904
2013-04-09,48.94,49.71,48.2585,49.65,516696,0.014714898835070489
2013-04-10,49.63,49.91,48.6532,49.88,472616,0.004632426988922633
2013-04-11,49.85,51.01,49.43,50.78,550284,0.018043303929430543
2013-04-12,50.29,50.56,48.71,48.88,466630,-0.0374163056321386
2013-04-15,48.27,48.35,45.42,45.59,1308930,-0.06730769230769229
2013-04-16,46.67,48.7,46.67,48.69,1210137,0.06799736784382526
2013-04-17,48.32,48.52,47.34,47.73,675416,-0.019716574245224883
2013-04-18,47.82,47.85,45.68,46.03,463524,-0.0356170123611983
2013-04-19,46.24,46.3799,45.45,46.05,1037173,0.0004344992396263514
2013-04-22,46.25,46.9,45.52,46.67,864788,0.013463626492942637
2013-04-23,47.07,47.51,46.05,46.98,634642,0.006642382686950832
2013-04-24,47.1,48.03,46.6,47.76,940627,0.016602809706258048
2013-04-25,48.14,48.24,47.33,47.42,703930,-0.0071189279731992405
2013-04-26,47.36,47.36,45.86,46.52,1051095,-0.018979333614508653
2013-04-29,46.92,48.95,46.58,48.74,1091418,0.04772141014617359
2013-04-30,48.28,50.05,48.1,49.88,912125,0.023389413212966836
2013-05-01,49.58,49.66,48.0,48.38,743843,-0.030072173215717757
2013-05-02,49.0,51.285,48.53,50.98,981964,0.05374121537825527
2013-05-03,51.59,54.08,51.3,53.48,1309419,0.04903883876029824
2013-05-06,53.06,54.2,52.62,53.72,814124,0.004487658937920802
2013-05-07,53.74,54.52,53.37,54.47,593951,0.013961280714817503
2013-05-08,54.38,54.88,53.8,54.88,688564,0.007527079126124603
2013-05-09,54.75,55.1,54.268,54.61,904980,-0.004919825072886352
2013-05-10,54.45,54.68,54.0,54.57,528846,-0.0007324665812121767
2013-05-13,54.45,54.83,53.87,54.08,489910,-0.008979292651640103
2013-05-14,53.89,54.85,53.86,54.73,555239,0.012019230769230838
2013-05-15,54.51,55.17,54.25,54.93,486361,0.0036543029417139827
2013-05-16,54.65,55.14,54.41,54.49,383444,-0.008010194793373393
2013-05-17,54.77,55.08,54.28,55.06,571511,0.010460634978895156
2013-05-20,55.02,55.74,54.56,55.08,534047,0.0003632401017070741
2013-05-21,55.04,55.3,54.69,54.97,368354,-0.00199709513434998
2013-05-22,54.86,55.33,53.31,53.89,759529,-0.019647080225577596
2013-05-23,52.25,53.75,52.25,53.51,813316,-0.007051401002041269
2013-05-24,53.03,54.11,52.54,53.75,342250,0.004485142963932098
2013-05-28,54.69,55.27,54.5,54.71,480168,0.017860465116279034
2013-05-29,54.17,54.5399,53.39,54.25,303625,-0.008407969292633877
2013-05-30,54.38,54.88,54.25,54.66,877265,0.007557603686635828
2013-05-31,54.32,54.59,53.56,53.58,495850,-0.01975850713501648
2013-06-03,53.77,53.77,51.86,53.21,690369,-0.006905561776782365
2013-06-04,53.2,54.22,51.92,52.09,450830,-0.02104867506107866
2013-06-05,51.79,52.21,50.86,50.98,428953,-0.021309272413131297
2013-06-06,50.84,51.72,50.19,51.71,812314,0.014319340918007128
2013-06-07,52.11,52.53,51.25,52.19,368729,0.009282537226841914
2013-06-10,52.4,53.79,51.81,53.46,501905,0.02433416363287999
2013-06-11,52.44,53.93,52.31,52.77,534182,-0.01290684624017957
2013-06-12,53.34,53.59,52.65,53.09,600217,0.0060640515444381204
2013-06-13,53.06,54.57,52.74,54.49,515896,0.026370314560180796
2013-06-14,54.36,54.43,53.61,53.69,432935,-0.014681592952835443
2013-06-17,54.18,54.71,53.83,54.52,406533,0.015459117154032587
2013-06-18,54.57,54.66,53.88,54.15,512644,-0.006786500366837922
2013-06-19,53.96,54.64,53.43,53.47,375927,-0.012557710064635241
2013-06-20,52.7,52.95,51.36,51.55,632226,-0.03590798578642229
2013-06-21,52.02,52.02,49.72,50.2,1211155,-0.026188166828321924
2013-06-24,49.39,49.83,47.66,48.02,968879,-0.04342629482071714
2013-06-25,48.63,48.9482,48.22,48.62,797418,0.012494793835901685
2013-06-26,49.32,49.99,48.88,49.08,562993,0.009461127108185918
2013-06-27,49.54,50.31,49.03,50.25,629461,0.023838630806845895
2013-06-28,50.0,50.34,48.36,48.41,667458,-0.03661691542288559
2013-07-01,48.86,49.97,48.6001,48.79,540942,0.007849617847552226
2013-07-02,48.66,49.37,47.72,47.79,655707,-0.02049600327936052
2013-07-03,47.59,47.9,47.27,47.46,282486,-0.0069052102950407646
2013-07-05,47.88,48.11,46.21,46.94,722922,-0.010956595027391547
2013-07-08,47.22,48.04,46.28,46.91,661200,-0.0006391137622496768
2013-07-09,47.24,49.2743,47.12,48.89,761378,0.04220848433169899
2013-07-10,48.88,49.54,48.56,49.33,407257,0.008999795459194049
2013-07-11,50.08,50.81,49.67,50.71,718102,0.027974863166430275
2013-07-12,50.55,50.82,49.89,50.68,399240,-0.000591599290080902
2013-07-15,50.59,50.989,49.99,50.26,267493,-0.008287292817679592
2013-07-16,50.42,50.57,49.03,49.24,368416,-0.020294468762435236
2013-07-17,49.44,50.29,49.23,49.98,383332,0.015028432168968209
2013-07-18,50.09,50.83,49.99,50.22,334637,0.004801920768307433
2013-07-19,50.29,50.91,50.14,50.48,606928,0.005177220230983659
