date,open,high,low,close,volume,return
2013-02-08,45.84,46.37,45.7,46.0,870860,0.0
2013-02-11,46.48,46.48,45.6,45.7,862253,-0.006521739130434745
2013-02-12,45.81,46.2,45.5,45.89,1393993,0.0041575492341356934
2013-02-13,46.02,46.72,45.79,46.48,1586853,0.01285683155371542
2013-02-14,46.39,46.46,45.35,45.66,1347794,-0.01764199655765919
2013-02-15,45.64,45.98,45.35,45.61,1139696,-0.0010950503723170524
2013-02-19,45.6,46.55,45.5,46.52,1340354,0.019951764963823893
2013-02-20,46.48,47.08,45.41,45.441,1731316,-0.0231943250214961
2013-02-21,45.21,45.67,44.77,44.82,1693444,-0.013666072489601944
2013-02-22,45.08,45.92,44.82,45.91,1472082,0.024319500223114687
2013-02-25,46.14,46.3,44.84,44.86,1364864,-0.02287083424090608
2013-02-26,44.98,45.11,43.6912,44.18,1160521,-0.015158270173874278
2013-02-27,44.44,47.23,44.2,46.97,2742122,0.06315074694431866
2013-02-28,46.89,48.15,46.59,46.82,1900680,-0.003193527783691641
2013-03-01,46.55,46.58,45.52,46.17,2050389,-0.013882956001708635
2013-03-04,46.02,46.54,45.59,46.31,1682065,0.003032272038119954
2013-03-05,46.63,48.34,46.2,48.33,1694700,0.043619088749730084
2013-03-06,48.41,49.8285,48.1,49.51,2085438,0.024415476929443347
2013-03-07,49.51,50.355,49.22,50.17,1583505,0.013330640274691996
2013-03-08,50.28,52.915,50.093999999999994,52.81,3535273,0.05262108829978085
2013-03-11,52.45,53.03,52.15,52.55,1747037,-0.004923309979170676
2013-03-12,52.48,52.9599,51.9,52.41,1484806,-0.002664129400570925
2013-03-13,52.47,53.02,52.23,52.77,1279063,0.006868918145392255
2013-03-14,52.98,52.98,52.05,52.79,1139374,0.0003790032215273964
2013-03-15,52.59,52.94,51.87,52.31,2098617,-0.009092631180147692
2013-03-18,51.82,51.98,51.14,51.37,1650259,-0.01796979545020083
2013-03-19,51.67,52.45,51.39,51.9,1973182,0.01031730582051793
2013-03-20,52.33,52.66,51.93,52.48,1280662,0.011175337186897893
2013-03-21,52.04,52.95,51.85,52.24,1226006,-0.004573170731707266
2013-03-22,52.55,54.15,52.55,53.74,1424297,0.02871362940275657
2013-03-25,53.94,54.98,53.35,54.255,1980842,0.009583178265723857
2013-03-26,54.36,54.75,53.36,54.34,1234154,0.0015666758824071092
2013-03-27,53.95,54.89,53.51,54.83,1164973,0.00901729849098265
2013-03-28,54.56,55.93,54.55,54.97,2357444,0.002553346708006554
2013-04-01,55.0,55.55,53.715,54.0,1628466,-0.017645988721120553
2013-04-02,54.52,55.48,53.73,53.93,1541648,-0.001296296296296351
2013-04-03,54.45,54.55,52.43,52.63,2141988,-0.024105321713332017
2013-04-04,53.5899,53.63,52.03,52.95,1344021,0.006080182405472145
2013-04-05,52.25,53.33,51.55,53.23,1723993,0.005288007554296481
2013-04-08,52.65,53.13,51.28,52.74,1710750,-0.009205335337215792
2013-04-09,52.95,53.16,51.91,52.6,1535563,-0.0026545316647705874
2013-04-10,53.45,55.04,52.95,54.84,1646632,0.04258555133079844
2013-04-11,54.72,55.73,53.64,54.83,1040108,-0.00018234865062005667
2013-04-12,54.85,55.9,54.31,55.74,1342763,0.016596753602042824
2013-04-15,55.54,55.79,53.82,54.06,1571746,-0.030139935414424057
2013-04-16,54.59,54.74,53.25,54.39,1450539,0.006104328523862446
2013-04-17,54.06,54.3199,52.77,54.045,1346218,-0.006343077771649219
2013-04-18,54.14,54.15,51.9601,52.87,6144939,-0.02174114164122498
2013-04-19,81.55,85.9,80.1,85.6,24894974,0.6190656326839417
2013-04-22,84.4,87.47,80.9,82.33,8901815,-0.03820093457943918
2013-04-23,83.24,85.22,82.77,83.53,3542632,0.014575488886189758
2013-04-24,81.27,81.56,78.78,81.05,4470909,-0.029689931761043953
2013-04-25,80.955,81.19,79.39,80.32,2875147,-0.009006785934608352
2013-04-26,80.32,80.9,78.37,79.02,2965006,-0.016185258964143356
