date,open,high,low,close,volume,return
2013-02-08,41.24,41.58,41.16,41.4,4127525,0.0
2013-02-11,41.45,41.76,41.16,41.48,6863283,0.0019323671497584183
2013-02-12,41.91,41.95,41.59,41.95,4799075,0.011330761812922141
2013-02-13,41.6,41.6,40.97,41.48,6296675,-0.011203814064362438
2013-02-14,41.295,42.0,40.965,41.86,9037596,0.009161041465766795
2013-02-15,41.92,41.97,41.01,41.15,7522994,-0.01696129956999526
2013-02-19,41.31,41.7,41.31,41.7,6689998,0.013365735115431487
2013-02-20,41.73,41.99,41.6,41.6,4641461,-0.0023980815347721673
2013-02-21,41.47,41.74,41.36,41.62,4550423,0.00048076923076911804
2013-02-22,41.67,41.87,41.45,41.81,4310617,0.004565112926477877
2013-02-25,41.87,41.99,40.61,40.64,5133467,-0.027983735948337807
2013-02-26,40.76,40.99,40.41,40.8,4612166,0.003937007874015741
2013-02-27,40.72,41.265,40.67,41.17,3299973,0.009068627450980582
2013-02-28,41.02,41.23,40.67,40.94,6912880,-0.005586592178770999
2013-03-01,40.87,41.34,40.62,41.32,5195277,0.009281875915974735
2013-03-04,41.17,41.79,40.98,41.77,4534832,0.010890609874153023
2013-03-05,40.92,41.14,40.1,40.72,12870231,-0.025137658606655622
2013-03-06,40.71,40.74,39.87,39.96,7801126,-0.018664047151277008
2013-03-07,40.02,40.3,39.74,40.13,5753310,0.004254254254254297
2013-03-08,40.16,40.68,40.15,40.64,5582239,0.012708696735609148
2013-03-11,40.52,41.35,40.454,41.28,4686949,0.015748031496062964
2013-03-12,41.18,41.22,40.78,41.04,4970609,-0.005813953488372103
2013-03-13,41.56,42.91,41.56,42.78,11756591,0.042397660818713545
2013-03-14,42.84,42.95,42.42,42.72,5354367,-0.0014025245441795509
2013-03-15,42.51,42.71,42.21,42.58,5246918,-0.0032771535580524702
2013-03-18,42.24,42.71,42.13,42.43,2767529,-0.003522780648191559
2013-03-19,43.11,45.8,43.1,44.74,23809425,0.05444261135988682
2013-03-20,45.25,46.33,45.16,46.02,15551550,0.028609745194456915
2013-03-21,45.82,46.25,45.66,45.81,6611434,-0.0045632333767927635
2013-03-22,45.97,46.49,45.91,46.49,5328564,0.014843920541366407
2013-03-25,46.43,47.24,46.091,46.19,8230608,-0.006453000645300189
2013-03-26,46.49,47.61,46.37,47.57,8848476,0.02987659666594511
2013-03-27,47.45,47.54,47.071000000000005,47.24,4404886,-0.006937145259617417
2013-03-28,47.33,47.76,47.17,47.68,6150934,0.009314140558848383
2013-04-01,47.4,47.68,46.89,46.97,5016063,-0.014890939597315467
2013-04-02,47.52,47.87,47.12,47.32,6175210,0.007451564828613977
2013-04-03,47.91,48.18,46.095,46.3,7343168,-0.021555367709213957
2013-04-04,46.21,46.705,46.19,46.59,4624994,0.0062634989200864855
