date,open,high,low,close,volume,return
2013-02-08,35.84,36.22,35.8001,36.0,5508827,0.0
2013-02-11,36.03,36.03,35.54,35.74,2789688,-0.00722222222222213
2013-02-12,35.67,35.88,35.45,35.84,3701167,0.002797985450475604
2013-02-13,35.94,35.94,35.55,35.64,3761733,-0.005580357142857206
2013-02-14,35.59,35.72,35.445,35.46,5304120,-0.005050505050505083
2013-02-15,35.46,35.5737,34.98,35.11,8842293,-0.009870276367738295
2013-02-19,35.23,35.56,35.02,35.45,5283847,0.00968385075477074
2013-02-20,35.47,35.48,34.76,34.82,6629114,-0.017771509167842092
2013-02-21,34.15,35.06,33.54,34.08,12465966,-0.0212521539345204
2013-02-22,34.21,34.44,34.15,34.44,16989129,0.010563380281690016
2013-02-25,34.56,34.75,33.55,33.57,21003883,-0.025261324041811806
2013-02-26,33.75,33.8755,33.09,33.79,19850886,0.0065534703604408495
2013-02-27,33.71,34.51,33.64,34.35,5569678,0.01657295057709396
2013-02-28,34.3,34.85,34.24,34.71,7022763,0.010480349344978102
2013-03-01,34.53,34.65,33.7,33.83,15129352,-0.025352924229328777
2013-03-04,33.75,33.88,33.39,33.57,10186350,-0.007685486254803364
2013-03-05,33.67,33.97,33.34,33.71,8429970,0.00417039022937149
2013-03-06,33.59,33.91,33.47,33.72,6947214,0.00029664787896765965
2013-03-07,33.77,34.42,33.59,34.31,7672119,0.017497034400949074
2013-03-08,34.43,34.78,34.41,34.71,10559659,0.01165840862722245
2013-03-11,34.65,35.17,34.59,35.03,6475445,0.009219245174301394
2013-03-12,35.09,35.1,34.725,34.79,4673595,-0.0068512703397088925
2013-03-13,34.71,34.86,34.515,34.8,4942401,0.00028743891922955456
2013-03-14,34.81,35.64,34.8,35.42,10417725,0.017816091954023117
2013-03-15,35.28,35.66,35.2,35.43,7040168,0.00028232636928282595
2013-03-18,35.15,35.465,34.82,35.19,4623840,-0.006773920406435319
2013-03-19,35.26,35.42,35.01,35.29,4642582,0.0028417163967036085
2013-03-20,35.64,36.15,35.4975,35.98,5188035,0.0195522810994615
2013-03-21,35.9,36.78,35.785,36.55,9469045,0.015842134519177264
2013-03-22,36.82,37.28,36.62,36.87,6062522,0.008755129958960328
2013-03-25,37.09,37.32,36.75,36.99,4844739,0.0032546786004883366
2013-03-26,37.18,37.26,36.815,37.18,4645244,0.005136523384698499
2013-03-27,36.95,38.0,36.53,36.99,6190731,-0.005110274341043497
2013-03-28,37.01,37.68,37.01,37.46,6452221,0.012706136793728007
2013-04-01,37.84,38.24,37.635,37.94,5161541,0.012813667912439763
2013-04-02,38.0,38.12,37.46,37.67,5795661,-0.007116499736425808
2013-04-03,37.7,37.74,36.74,36.74,6696146,-0.024688080700822956
2013-04-04,36.65,37.1,36.52,36.88,3713097,0.003810560696788201
2013-04-05,36.5,37.06,36.11,36.91,3324176,0.0008134490238609349
2013-04-08,36.79,37.24,36.79,37.2,3532897,0.007856949336223495
2013-04-09,37.25,37.8601,37.17,37.66,4618669,0.012365591397849318
2013-04-10,37.81,38.15,37.7416,37.79,4242782,0.0034519383961764127
2013-04-11,37.93,38.19,37.72,37.81,4579730,0.000529240539825393
