date,open,high,low,close,volume,return
2013-02-08,75.02,75.99,74.96,75.85,911179,0.0
2013-02-11,75.75,75.98,75.35,75.65,665462,-0.002636783124587816
2013-02-12,75.65,75.82,75.35,75.44,1048252,-0.002775941837409257
2013-02-13,75.74,76.75,75.66,76.0,931746,0.007423117709437932
2013-02-14,75.86,76.4,75.75,76.34,860104,0.004473684210526407
2013-02-15,76.22,76.4,75.35,75.9,1176884,-0.0057636887608069065
2013-02-19,75.74,76.31,74.82,76.11,1074873,0.002766798418972316
2013-02-20,75.87,76.18,75.23,75.31,1610357,-0.010511102351859147
2013-02-21,75.15,75.27,73.54,73.87,1029191,-0.019120966671092754
2013-02-22,74.23,74.39,73.74,74.14,675761,0.003655069717070525
2013-02-25,74.5,74.87,73.07,73.07,796377,-0.014432155381710388
2013-02-26,73.51,73.93,72.54,73.53,862508,0.006295333242096746
2013-02-27,73.52,74.6,73.31,74.45,769397,0.012511899904800838
2013-02-28,74.45,75.33,74.4,74.96,1197257,0.006850235057085152
2013-03-01,74.57,75.05,73.95,74.99,941871,0.0004002134471718932
2013-03-04,74.76,74.97,74.13,74.86,896993,-0.001733564475263294
2013-03-05,75.06,75.87,74.97,75.83,775541,0.012957520705316528
2013-03-06,76.0,76.42,75.21,75.29,845747,-0.0071211921403137035
2013-03-07,75.34,75.69,74.61,74.89,721975,-0.005312790543232859
2013-03-08,75.21,75.52,74.74,75.4,593274,0.006809987982374199
2013-03-11,75.13,75.98100000000001,74.98,75.74,508494,0.004509283819628562
2013-03-12,75.53,76.25,75.09,76.2,681002,0.006073409030895371
2013-03-13,76.04,76.32,75.63,76.06,1032128,-0.0018372703412073976
2013-03-14,75.71,75.71,73.66,74.85,2229313,-0.0159084932947674
2013-03-15,74.54,74.55,73.09,73.97,1961898,-0.011756847027387995
2013-03-18,73.15,73.68,72.62,73.24,919446,-0.00986886575638779
2013-03-19,73.42,73.62,72.49,73.0,770900,-0.003276897870016282
2013-03-20,73.65,73.87,73.1,73.21,1025649,0.0028767123287669616
2013-03-21,72.91,73.35,72.24,72.38,901118,-0.011337249009698125
2013-03-22,72.59,73.45,72.35,73.45,810584,0.014783089251174442
2013-03-25,73.66,73.83,72.61,72.92,601172,-0.0072157930565009964
2013-03-26,73.11,74.23,72.98,74.21,1176336,0.017690619857377854
2013-03-27,73.77,74.22,73.29,74.22,1315650,0.00013475272874274857
2013-03-28,74.05,75.46,73.42,75.22,1670188,0.0134734572891404
2013-04-01,75.03,75.36,74.44,75.13,693613,-0.001196490295134356
2013-04-02,75.45,75.93,75.06,75.33,802182,0.002662052442433227
2013-04-03,75.39,75.42,74.17,74.46,1076684,-0.011549183592194368
2013-04-04,74.71,75.43,74.41,75.25,1150754,0.010609723341391541
2013-04-05,74.32,74.37,73.43,74.03,1421359,-0.016212624584717616
2013-04-08,73.77,74.42,73.46,74.31,803538,0.003782250439011259
2013-04-09,74.93,75.58,74.58,75.37,962698,0.014264567352980873
2013-04-10,75.49,76.17,74.97,75.85,1038593,0.006368581663791728
2013-04-11,75.97,77.53,75.81,76.3,1472190,0.005932762030323113
2013-04-12,75.94,76.16,74.83,75.46,920864,-0.011009174311926606
2013-04-15,75.18,75.38,73.69,73.69,822616,-0.023456135701033665
2013-04-16,73.19,73.61,72.31,73.5,1450604,-0.002578368842448109
2013-04-17,73.14,73.61,72.65,73.18,1816777,-0.004353741496598507
2013-04-18,73.43,73.6,72.6501,72.97,1274658,-0.002869636512708551
2013-04-19,73.14,73.95,72.67,73.93,636049,0.013156091544470394
2013-04-22,73.88,73.934,73.21,73.36,790520,-0.007709995942107528
2013-04-23,73.54,74.52,73.4,74.46,826084,0.014994547437295447
2013-04-24,74.33,75.24,74.15,74.53,1400618,0.0009401020682247019
2013-04-25,74.9,76.13,74.82,75.49,1187800,0.01288071917348721
2013-04-26,75.47,75.96,74.97,74.97,905301,-0.006888329580076791
2013-04-29,74.99,76.4,74.94,76.17,1107340,0.01600640256102448
2013-04-30,75.93,76.56,75.5,76.45,1836240,0.0036759879217540536
2013-05-01,76.05,76.41,75.2016,75.3,617727,-0.015042511445389262
